site_id,entity_id,site_name,site_type,country_code,grid_region,floor_area_m2,fleet_size,data_source
SITE-00019,ENT-LU-009,BRANCH-LU-019,branch,LU,LU,1138,2,synthetic_site_inventory
SITE-00020,ENT-UK-005,DATA_CENTRE-GB-020,data_centre,GB,GB,6258,8,synthetic_site_inventory
SITE-00021,ENT-ES-006,BRANCH-ES-021,branch,ES,ES,1247,4,synthetic_site_inventory
SITE-00022,ENT-NL-004,BRANCH-NL-022,branch,NL,NL,1172,5,synthetic_site_inventory
SITE-00023,ENT-FR-002,OFFICE-FR-023,office,FR,FR,2155,18,synthetic_site_inventory
SITE-00024,ENT-US-010,BRANCH-US-024,branch,US,US,493,5,synthetic_site_inventory
SITE-00025,ENT-BE-008,HQ-BE-025,hq,BE,BE,8861,69,synthetic_site_inventory
SITE-00026,ENT-IT-007,BRANCH-IT-026,branch,IT,IT,622,5,synthetic_site_inventory
SITE-00027,ENT-UK-005,DATA_CENTRE-GB-027,data_centre,GB,GB,7310,4,synthetic_site_inventory
SITE-00028,ENT-LU-009,BRANCH-LU-028,branch,LU,LU,553,2,synthetic_site_inventory
SITE-00029,ENT-ES-006,BRANCH-ES-029,branch,ES,ES,551,1,synthetic_site_inventory
SITE-00030,ENT-UK-005,BRANCH-GB-030,branch,GB,GB,337,6,synthetic_site_inventory
SITE-00031,ENT-UK-005,BRANCH-GB-031,branch,GB,GB,1446,2,synthetic_site_inventory
SITE-00032,ENT-DE-003,BRANCH-DE-032,branch,DE,DE,323,4,synthetic_site_inventory
SITE-00033,ENT-GROUP-001,BRANCH-FR-033,branch,FR,FR,239,1,synthetic_site_inventory
SITE-00034,ENT-ES-006,BRANCH-ES-034,branch,ES,ES,1411,3,synthetic_site_inventory
SITE-00035,ENT-LU-009,BRANCH-LU-035,branch,LU,LU,885,4,synthetic_site_inventory
SITE-00036,ENT-GROUP-001,BRANCH-FR-036,branch,FR,FR,724,5,synthetic_site_inventory
SITE-00037,ENT-LU-009,BRANCH-LU-037,branch,LU,LU,1137,4,synthetic_site_inventory
SITE-00038,ENT-LU-009,BRANCH-LU-038,branch,LU,LU,648,2,synthetic_site_inventory
SITE-00039,ENT-DE-003,BRANCH-DE-039,branch,DE,DE,296,7,synthetic_site_inventory
SITE-00040,ENT-IT-007,OFFICE-IT-040,office,IT,IT,7642,9,synthetic_site_inventory
SITE-00041,ENT-FR-002,OFFICE-FR-041,office,FR,FR,5695,0,synthetic_site_inventory
SITE-00042,ENT-BE-008,BRANCH-BE-042,branch,BE,BE,883,5,synthetic_site_inventory
SITE-00043,ENT-BE-008,BRANCH-BE-043,branch,BE,BE,1429,4,synthetic_site_inventory
SITE-00044,ENT-NL-004,OFFICE-NL-044,office,NL,NL,4366,4,synthetic_site_inventory
SITE-00045,ENT-GROUP-001,DATA_CENTRE-FR-045,data_centre,FR,FR,5187,16,synthetic_site_inventory
SITE-00046,ENT-US-010,DATA_CENTRE-US-046,data_centre,US,US,5103,16,synthetic_site_inventory
SITE-00047,ENT-UK-005,BRANCH-GB-047,branch,GB,GB,965,6,synthetic_site_inventory
SITE-00048,ENT-LU-009,BRANCH-LU-048,branch,LU,LU,781,4,synthetic_site_inventory
SITE-00049,ENT-IT-007,BRANCH-IT-049,branch,IT,IT,313,5,synthetic_site_inventory
SITE-00050,ENT-BE-008,OFFICE-BE-050,office,BE,BE,6939,12,synthetic_site_inventory
SITE-00051,ENT-BE-008,BRANCH-BE-051,branch,BE,BE,1019,2,synthetic_site_inventory
SITE-00052,ENT-FR-002,BRANCH-FR-052,branch,FR,FR,1481,6,synthetic_site_inventory
SITE-00053,ENT-NL-004,BRANCH-NL-053,branch,NL,NL,126,1,synthetic_site_inventory
SITE-00054,ENT-UK-005,BRANCH-GB-054,branch,GB,GB,1110,2,synthetic_site_inventory
SITE-00055,ENT-UK-005,BRANCH-GB-055,branch,GB,GB,1287,4,synthetic_site_inventory
SITE-00056,ENT-GROUP-001,OFFICE-FR-056,office,FR,FR,4729,1,synthetic_site_inventory
SITE-00057,ENT-ES-006,DATA_CENTRE-ES-057,data_centre,ES,ES,6556,14,synthetic_site_inventory
SITE-00058,ENT-FR-002,DATA_CENTRE-FR-058,data_centre,FR,FR,3154,7,synthetic_site_inventory
SITE-00059,ENT-BE-008,BRANCH-BE-059,branch,BE,BE,493,0,synthetic_site_inventory
SITE-00060,ENT-IT-007,BRANCH-IT-060,branch,IT,IT,1293,0,synthetic_site_inventory
SITE-00061,ENT-US-010,BRANCH-US-061,branch,US,US,1331,0,synthetic_site_inventory
SITE-00062,ENT-BE-008,BRANCH-BE-062,branch,BE,BE,999,0,synthetic_site_inventory
SITE-00063,ENT-NL-004,BRANCH-NL-063,branch,NL,NL,289,6,synthetic_site_inventory
SITE-00064,ENT-US-010,BRANCH-US-064,branch,US,US,288,6,synthetic_site_inventory
SITE-00065,ENT-UK-005,HQ-GB-065,hq,GB,GB,19259,42,synthetic_site_inventory
SITE-00066,ENT-NL-004,BRANCH-NL-066,branch,NL,NL,931,0,synthetic_site_inventory
SITE-00067,ENT-US-010,BRANCH-US-067,branch,US,US,164,0,synthetic_site_inventory
SITE-00068,ENT-NL-004,BRANCH-NL-068,branch,NL,NL,1066,2,synthetic_site_inventory
SITE-00069,ENT-GROUP-001,BRANCH-FR-069,branch,FR,FR,871,4,synthetic_site_inventory
SITE-00070,ENT-UK-005,BRANCH-GB-070,branch,GB,GB,136,2,synthetic_site_inventory
SITE-00071,ENT-BE-008,BRANCH-BE-071,branch,BE,BE,252,3,synthetic_site_inventory
SITE-00072,ENT-FR-002,OFFICE-FR-072,office,FR,FR,5300,10,synthetic_site_inventory
SITE-00073,ENT-UK-005,BRANCH-GB-073,branch,GB,GB,1117,5,synthetic_site_inventory
SITE-00074,ENT-FR-002,BRANCH-FR-074,branch,FR,FR,1259,2,synthetic_site_inventory
SITE-00075,ENT-IT-007,BRANCH-IT-075,branch,IT,IT,715,0,synthetic_site_inventory
SITE-00076,ENT-UK-005,HQ-GB-076,hq,GB,GB,11341,42,synthetic_site_inventory
SITE-00077,ENT-NL-004,OFFICE-NL-077,office,NL,NL,5065,2,synthetic_site_inventory
SITE-00078,ENT-DE-003,BRANCH-DE-078,branch,DE,DE,752,0,synthetic_site_inventory
SITE-00079,ENT-ES-006,DATA_CENTRE-ES-079,data_centre,ES,ES,9926,7,synthetic_site_inventory
SITE-00080,ENT-IT-007,BRANCH-IT-080,branch,IT,IT,730,6,synthetic_site_inventory
SITE-00081,ENT-US-010,BRANCH-US-081,branch,US,US,136,5,synthetic_site_inventory
SITE-00082,ENT-UK-005,BRANCH-GB-082,branch,GB,GB,536,6,synthetic_site_inventory
SITE-00083,ENT-FR-002,OFFICE-FR-083,office,FR,FR,7719,16,synthetic_site_inventory
SITE-00084,ENT-LU-009,BRANCH-LU-084,branch,LU,LU,1387,2,synthetic_site_inventory
SITE-00085,ENT-IT-007,BRANCH-IT-085,branch,IT,IT,1138,5,synthetic_site_inventory
SITE-00086,ENT-BE-008,BRANCH-BE-086,branch,BE,BE,1198,1,synthetic_site_inventory
SITE-00087,ENT-GROUP-001,BRANCH-FR-087,branch,FR,FR,871,1,synthetic_site_inventory
SITE-00088,ENT-NL-004,BRANCH-NL-088,branch,NL,NL,272,4,synthetic_site_inventory
SITE-00089,ENT-BE-008,BRANCH-BE-089,branch,BE,BE,659,5,synthetic_site_inventory
SITE-00090,ENT-LU-009,HQ-LU-090,hq,LU,LU,15734,50,synthetic_site_inventory
SITE-00091,ENT-UK-005,OFFICE-GB-091,office,GB,GB,7976,12,synthetic_site_inventory
SITE-00092,ENT-LU-009,OFFICE-LU-092,office,LU,LU,6565,12,synthetic_site_inventory
SITE-00093,ENT-LU-009,BRANCH-LU-093,branch,LU,LU,1064,4,synthetic_site_inventory
SITE-00094,ENT-NL-004,BRANCH-NL-094,branch,NL,NL,511,7,synthetic_site_inventory
SITE-00095,ENT-LU-009,BRANCH-LU-095,branch,LU,LU,1193,0,synthetic_site_inventory
SITE-00096,ENT-DE-003,BRANCH-DE-096,branch,DE,DE,1274,7,synthetic_site_inventory
SITE-00097,ENT-DE-003,BRANCH-DE-097,branch,DE,DE,179,3,synthetic_site_inventory
SITE-00098,ENT-IT-007,BRANCH-IT-098,branch,IT,IT,266,6,synthetic_site_inventory
SITE-00099,ENT-IT-007,DATA_CENTRE-IT-099,data_centre,IT,IT,10935,5,synthetic_site_inventory
SITE-00100,ENT-FR-002,DATA_CENTRE-FR-100,data_centre,FR,FR,3016,0,synthetic_site_inventory
SITE-00101,ENT-LU-009,BRANCH-LU-101,branch,LU,LU,153,6,synthetic_site_inventory
SITE-00102,ENT-FR-002,OFFICE-FR-102,office,FR,FR,5313,18,synthetic_site_inventory
SITE-00103,ENT-LU-009,BRANCH-LU-103,branch,LU,LU,308,1,synthetic_site_inventory
SITE-00104,ENT-GROUP-001,HQ-FR-104,hq,FR,FR,19316,43,synthetic_site_inventory
SITE-00105,ENT-BE-008,BRANCH-BE-105,branch,BE,BE,980,6,synthetic_site_inventory
SITE-00106,ENT-BE-008,BRANCH-BE-106,branch,BE,BE,244,3,synthetic_site_inventory
SITE-00107,ENT-BE-008,OFFICE-BE-107,office,BE,BE,1054,2,synthetic_site_inventory
SITE-00108,ENT-IT-007,OFFICE-IT-108,office,IT,IT,5007,11,synthetic_site_inventory
SITE-00109,ENT-UK-005,BRANCH-GB-109,branch,GB,GB,1311,2,synthetic_site_inventory
SITE-00110,ENT-BE-008,OFFICE-BE-110,office,BE,BE,4261,0,synthetic_site_inventory
SITE-00111,ENT-DE-003,BRANCH-DE-111,branch,DE,DE,459,5,synthetic_site_inventory
SITE-00112,ENT-BE-008,BRANCH-BE-112,branch,BE,BE,452,1,synthetic_site_inventory
SITE-00113,ENT-ES-006,BRANCH-ES-113,branch,ES,ES,745,6,synthetic_site_inventory
SITE-00114,ENT-UK-005,OFFICE-GB-114,office,GB,GB,6347,14,synthetic_site_inventory
SITE-00115,ENT-ES-006,BRANCH-ES-115,branch,ES,ES,1298,3,synthetic_site_inventory
SITE-00116,ENT-ES-006,HQ-ES-116,hq,ES,ES,29188,52,synthetic_site_inventory
SITE-00117,ENT-GROUP-001,BRANCH-FR-117,branch,FR,FR,1235,5,synthetic_site_inventory
SITE-00118,ENT-FR-002,OFFICE-FR-118,office,FR,FR,4445,19,synthetic_site_inventory
SITE-00119,ENT-DE-003,OFFICE-DE-119,office,DE,DE,2649,16,synthetic_site_inventory
SITE-00120,ENT-FR-002,DATA_CENTRE-FR-120,data_centre,FR,FR,8424,12,synthetic_site_inventory
