meeting_id,entity_id,entity_legal_name,country_code,committee_name,meeting_type,meeting_date,reporting_year,board_size,members_present,attendance_rate_pct,esg_agenda_flag,decision_made_flag,esg_topics_discussed,linked_kpi_code,linked_kpi_name,linked_erm_risk_id,linked_erm_risk_name,decision_summary,action_owner_function,action_due_date,action_status,minutes_status,data_source,created_from
MTG-000011,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2020-07-09,2020,12,10,83.3,True,False,Green bond framework update,FIN-010,Real estate exposure,,,Discussion only; no formal decision recorded for Green bond framework update,Compliance,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000012,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2020-10-13,2020,11,11,100.0,True,True,Project finance emissions methodology review,FIN-009,Project finance exposure,RISK-009,Market repricing of high-emission collateral,Decision recorded: Project finance emissions methodology review | linked KPI FIN-009 | linked risk RISK-009,Market Risk,2021-03-08,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000013,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2020-03-20,2020,9,9,100.0,True,True,Physical risk exposure review,FIN-009,Project finance exposure,RISK-003,Chronic heat - commercial real estate,Decision recorded: Physical risk exposure review | linked KPI FIN-009 | linked risk RISK-003,Portfolio Risk,2020-06-15,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000014,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2020-06-17,2020,8,5,62.5,True,False,IFRS S2 climate disclosure approval; Supplier ESG policy update,ENV-004,Energy consumption,RISK-013,Board climate competence gap,Committee review completed; action items assigned,Board Secretariat,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000015,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2020-09-11,2020,7,7,100.0,True,True,Climate risk model validation,FIN-004,Average PCAF data quality score,RISK-005,Carbon pricing - industrial loans,Decision recorded: Climate risk model validation | linked KPI FIN-004 | linked risk RISK-005,Credit Risk,2020-10-22,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000016,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2020-12-18,2020,8,7,87.5,True,True,Sovereign bond financed emissions review,FIN-011,Motor vehicle exposure,RISK-011,Supply chain - Scope 3 data gaps,Decision recorded: Sovereign bond financed emissions review | linked KPI FIN-011 | linked risk RISK-011,Sustainability Office,2021-05-26,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000017,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2021-01-20,2021,10,9,90.0,True,True,Annual sustainability report sign-off,FIN-001,Financed emissions Scope 1 and 2,,,Decision recorded: Annual sustainability report sign-off | linked KPI FIN-001,Sustainability Office,2021-06-13,not_started,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000018,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2021-04-16,2021,10,9,90.0,True,False,Green bond framework update,FIN-008,Sovereign bond exposure,,,Discussion only; no formal decision recorded for Green bond framework update,Risk Management,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000019,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2021-07-23,2021,9,8,88.9,True,True,Green bond framework update,FIN-011,Motor vehicle exposure,,,Decision recorded: Green bond framework update | linked KPI FIN-011,Finance,2021-11-02,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000020,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2021-10-06,2021,9,8,88.9,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000021,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2021-03-16,2021,9,8,88.9,True,True,Transition risk appetite approval; ESG remuneration KPI setting; Motor vehicle portfolio emissions review,FIN-003,High-emission sector exposure,RISK-010,Client transition plan credibility risk,Decision recorded: Transition risk appetite approval | linked KPI FIN-003 | linked risk RISK-010,Relationship Banking,2021-04-16,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000022,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2021-06-17,2021,7,5,71.4,True,False,IFRS S2 climate disclosure approval; Climate scenario analysis review; ESG remuneration KPI setting,ENV-003,Total operational Scope 1 and 2 emissions,RISK-006,Mandatory climate disclosure non-compliance,Committee review completed; action items assigned,Compliance,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000023,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2021-09-10,2021,9,6,66.7,True,True,Green bond framework update,ENV-004,Energy consumption,,,Decision recorded: Green bond framework update | linked KPI ENV-004,Credit Risk,2022-02-12,deferred,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000024,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2021-12-10,2021,8,7,87.5,True,False,Real estate collateral emissions review; Physical risk exposure review,FIN-010,Real estate exposure,RISK-001,Flood risk - mortgage book,Committee review completed; action items assigned,Credit Risk,,monitored,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000025,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2022-01-05,2022,12,11,91.7,True,True,Annual sustainability report sign-off,ENV-001,Scope 1 emissions,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-001,Board Secretariat,2022-06-11,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000026,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2022-04-05,2022,11,8,72.7,True,True,Sovereign bond financed emissions review,FIN-011,Motor vehicle exposure,RISK-013,Board climate competence gap,Decision recorded: Sovereign bond financed emissions review | linked KPI FIN-011 | linked risk RISK-013,Board Secretariat,2022-08-24,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000027,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2022-07-05,2022,9,9,100.0,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000028,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2022-10-12,2022,11,11,100.0,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000029,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2022-03-22,2022,7,7,100.0,True,True,Physical risk exposure review; ESG remuneration KPI setting; Real estate collateral emissions review,FIN-010,Real estate exposure,RISK-004,Water stress - agribusiness borrowers,Decision recorded: Physical risk exposure review | linked KPI FIN-010 | linked risk RISK-004,Sector Risk,2022-05-25,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000030,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2022-06-17,2022,7,7,100.0,True,False,Motor vehicle portfolio emissions review; Annual sustainability report sign-off; Climate risk model validation,FIN-009,Project finance exposure,RISK-006,Mandatory climate disclosure non-compliance,Committee review completed; action items assigned,Compliance,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000031,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2022-09-19,2022,8,8,100.0,True,True,IFRS S2 climate disclosure approval; Project finance emissions methodology review,FIN-001,Financed emissions Scope 1 and 2,RISK-011,Supply chain - Scope 3 data gaps,Decision recorded: IFRS S2 climate disclosure approval | linked KPI FIN-001 | linked risk RISK-011,Sustainability Office,2023-01-03,monitored,draft,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000032,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2022-12-15,2022,9,6,66.7,True,True,Annual sustainability report sign-off,FIN-012,"Financed emissions Scope 1, 2 and 3",,,Decision recorded: Annual sustainability report sign-off | linked KPI FIN-012,Data Governance,2023-01-29,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000033,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2023-01-13,2023,10,10,100.0,True,True,Annual sustainability report sign-off,FIN-012,"Financed emissions Scope 1, 2 and 3",,,Decision recorded: Annual sustainability report sign-off | linked KPI FIN-012,Data Governance,2023-04-18,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000034,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2023-04-11,2023,12,11,91.7,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000035,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2023-07-21,2023,11,10,90.9,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000036,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2023-10-06,2023,10,10,100.0,True,False,Supplier ESG policy update,SOC-002,ESG training completion,,,Discussion only; no formal decision recorded for Supplier ESG policy update,Data Governance,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000037,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2023-03-14,2023,7,7,100.0,True,True,Sovereign bond financed emissions review; PCAF data quality remediation; Project finance emissions methodology review,FIN-011,Motor vehicle exposure,RISK-007,Greenwashing litigation and conduct risk,Decision recorded: Sovereign bond financed emissions review | linked KPI FIN-011 | linked risk RISK-007,Legal,2023-06-06,deferred,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000038,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2023-06-21,2023,7,7,100.0,True,True,Motor vehicle portfolio emissions review; Green bond framework update; Transition risk appetite approval,FIN-009,Project finance exposure,RISK-005,Carbon pricing - industrial loans,Decision recorded: Motor vehicle portfolio emissions review | linked KPI FIN-009 | linked risk RISK-005,Credit Risk,2023-07-24,not_started,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000039,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2023-09-08,2023,9,9,100.0,True,True,Sovereign bond financed emissions review; PCAF data quality remediation,FIN-011,Motor vehicle exposure,RISK-011,Supply chain - Scope 3 data gaps,Decision recorded: Sovereign bond financed emissions review | linked KPI FIN-011 | linked risk RISK-011,Sustainability Office,2024-01-27,deferred,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000040,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2023-12-21,2023,7,6,85.7,True,True,Climate scenario analysis review,FIN-007,High transition risk exposure,RISK-008,Stranded assets - fossil fuel sector,Decision recorded: Climate scenario analysis review | linked KPI FIN-007 | linked risk RISK-008,Sector Risk,2024-03-22,not_started,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000041,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2024-01-12,2024,12,9,75.0,True,True,Annual sustainability report sign-off,FIN-001,Financed emissions Scope 1 and 2,,,Decision recorded: Annual sustainability report sign-off | linked KPI FIN-001,Sustainability Office,2024-04-12,in_progress,draft,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000042,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2024-04-10,2024,12,10,83.3,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000043,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2024-07-17,2024,12,11,91.7,True,False,Sovereign bond financed emissions review,FIN-012,"Financed emissions Scope 1, 2 and 3",RISK-011,Supply chain - Scope 3 data gaps,Discussion only; no formal decision recorded for Sovereign bond financed emissions review,Sustainability Office,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000044,ENT-GROUP-001,Atlas Banking Group SA,FR,Board of Directors,full_board,2024-10-23,2024,11,10,90.9,True,True,Net-zero target progress review,ENV-003,Total operational Scope 1 and 2 emissions,,,Decision recorded: Net-zero target progress review | linked KPI ENV-003,Finance,2025-02-02,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000045,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2024-03-11,2024,9,9,100.0,True,True,Motor vehicle portfolio emissions review; Financed emissions methodology review; ESG remuneration KPI setting,FIN-009,Project finance exposure,RISK-007,Greenwashing litigation and conduct risk,Decision recorded: Motor vehicle portfolio emissions review | linked KPI FIN-009 | linked risk RISK-007,Legal,2024-07-20,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000046,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2024-06-21,2024,7,6,85.7,True,True,Financed emissions methodology review; Annual sustainability report sign-off; Climate scenario analysis review,FIN-005,Financed emissions data coverage,RISK-006,Mandatory climate disclosure non-compliance,Decision recorded: Financed emissions methodology review | linked KPI FIN-005 | linked risk RISK-006,Compliance,2024-09-02,completed,draft,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000047,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2024-09-11,2024,8,8,100.0,True,False,Annual sustainability report sign-off; IFRS S2 climate disclosure approval; Real estate collateral emissions review,ENV-005,Energy cost,,,Committee review completed; action items assigned,Sustainability Office,,monitored,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000048,ENT-GROUP-001,Atlas Banking Group SA,FR,Board ESG & Sustainability Committee,esg_committee,2024-12-20,2024,9,9,100.0,True,True,Sovereign bond financed emissions review,FIN-002,Outstanding loan exposure,RISK-012,ESG data quality and lineage weakness,Decision recorded: Sovereign bond financed emissions review | linked KPI FIN-002 | linked risk RISK-012,Data Governance,2025-06-18,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000049,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2019-01-04,2019,10,9,90.0,True,True,Annual sustainability report sign-off,ENV-005,Energy cost,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-005,Risk Management,2019-04-29,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000050,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2019-04-12,2019,11,10,90.9,False,False,,,,,,,,,,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000051,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2019-07-15,2019,12,10,83.3,True,True,Climate risk model validation,FIN-004,Average PCAF data quality score,RISK-009,Market repricing of high-emission collateral,Decision recorded: Climate risk model validation | linked KPI FIN-004 | linked risk RISK-009,Market Risk,2019-11-21,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000052,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2019-10-21,2019,12,11,91.7,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000053,ENT-FR-002,Atlas Retail Bank France SA,FR,Board ESG & Sustainability Committee,esg_committee,2019-03-19,2019,8,7,87.5,True,True,Supplier ESG policy update; ESG remuneration KPI setting,SOC-002,ESG training completion,,,Decision recorded: Supplier ESG policy update | linked KPI SOC-002,Human Resources,2019-07-10,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000054,ENT-FR-002,Atlas Retail Bank France SA,FR,Board ESG & Sustainability Committee,esg_committee,2019-06-21,2019,9,6,66.7,True,False,Annual sustainability report sign-off; Supplier ESG policy update; Climate risk model validation,ENV-003,Total operational Scope 1 and 2 emissions,,,Committee review completed; action items assigned,Sustainability Office,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000055,ENT-FR-002,Atlas Retail Bank France SA,FR,Board ESG & Sustainability Committee,esg_committee,2019-09-12,2019,7,7,100.0,True,False,Annual sustainability report sign-off; IFRS S2 climate disclosure approval; Sovereign bond financed emissions review,ENV-003,Total operational Scope 1 and 2 emissions,,,Committee review completed; action items assigned,Compliance,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000056,ENT-FR-002,Atlas Retail Bank France SA,FR,Board ESG & Sustainability Committee,esg_committee,2019-12-13,2019,9,9,100.0,True,True,Motor vehicle portfolio emissions review,FIN-009,Project finance exposure,RISK-005,Carbon pricing - industrial loans,Decision recorded: Motor vehicle portfolio emissions review | linked KPI FIN-009 | linked risk RISK-005,Credit Risk,2020-02-26,monitored,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000057,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2020-01-21,2020,12,6,50.0,True,True,Annual sustainability report sign-off,ENV-001,Scope 1 emissions,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-001,Credit Risk,2020-06-16,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000058,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2020-04-07,2020,9,9,100.0,True,False,PCAF data quality remediation,FIN-001,Financed emissions Scope 1 and 2,RISK-012,ESG data quality and lineage weakness,Discussion only; no formal decision recorded for PCAF data quality remediation,Data Governance,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000059,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2020-07-10,2020,9,9,100.0,True,False,ESG remuneration KPI setting,FIN-006,SBTi-aligned exposure,,,Discussion only; no formal decision recorded for ESG remuneration KPI setting,Human Resources,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000060,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2020-10-22,2020,11,11,100.0,False,False,,,,,,,,,,draft,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000061,ENT-FR-002,Atlas Retail Bank France SA,FR,Board ESG & Sustainability Committee,esg_committee,2020-03-11,2020,9,8,88.9,True,False,PCAF data quality remediation,FIN-004,Average PCAF data quality score,RISK-013,Board climate competence gap,Committee review completed; action items assigned,Board Secretariat,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000062,ENT-FR-002,Atlas Retail Bank France SA,FR,Board ESG & Sustainability Committee,esg_committee,2020-06-12,2020,8,6,75.0,True,True,Physical risk exposure review,FIN-003,High-emission sector exposure,RISK-003,Chronic heat - commercial real estate,Decision recorded: Physical risk exposure review | linked KPI FIN-003 | linked risk RISK-003,Portfolio Risk,2020-09-26,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000063,ENT-FR-002,Atlas Retail Bank France SA,FR,Board ESG & Sustainability Committee,esg_committee,2020-09-17,2020,9,9,100.0,True,False,Net-zero target progress review; Climate scenario analysis review; PCAF data quality remediation,FIN-006,SBTi-aligned exposure,,,Committee review completed; action items assigned,Human Resources,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000064,ENT-FR-002,Atlas Retail Bank France SA,FR,Board ESG & Sustainability Committee,esg_committee,2020-12-17,2020,8,8,100.0,True,False,Net-zero target progress review,FIN-006,SBTi-aligned exposure,,,Committee review completed; action items assigned,Board Secretariat,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000065,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2021-01-08,2021,12,10,83.3,True,True,Annual sustainability report sign-off,ENV-005,Energy cost,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-005,Compliance,2021-04-29,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000066,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2021-04-09,2021,10,7,70.0,True,False,Motor vehicle portfolio emissions review,FIN-009,Project finance exposure,RISK-007,Greenwashing litigation and conduct risk,Discussion only; no formal decision recorded for Motor vehicle portfolio emissions review,Legal,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000067,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2021-07-16,2021,12,11,91.7,True,True,Real estate collateral emissions review,FIN-009,Project finance exposure,RISK-010,Client transition plan credibility risk,Decision recorded: Real estate collateral emissions review | linked KPI FIN-009 | linked risk RISK-010,Relationship Banking,2021-09-02,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000068,ENT-FR-002,Atlas Retail Bank France SA,FR,Board of Directors,full_board,2021-10-08,2021,10,10,100.0,True,False,Motor vehicle portfolio emissions review,FIN-011,Motor vehicle exposure,RISK-006,Mandatory climate disclosure non-compliance,Discussion only; no formal decision recorded for Motor vehicle portfolio emissions review,Compliance,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000069,ENT-FR-002,Atlas Retail Bank France SA,FR,Board ESG & Sustainability Committee,esg_committee,2021-03-17,2021,7,6,85.7,True,True,Real estate collateral emissions review,FIN-001,Financed emissions Scope 1 and 2,RISK-001,Flood risk - mortgage book,Decision recorded: Real estate collateral emissions review | linked KPI FIN-001 | linked risk RISK-001,Credit Risk,2021-06-26,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
