bill_id,site_id,entity_id,site_name,site_type,country_code,grid_region,meter_type,scope_category,billing_period_start,billing_period_end,quantity,unit,unit_price_eur,cost_eur,floor_area_m2,fleet_size,emission_factor_key,emission_factor_country_code,invoice_status,data_source,reporting_year
BILL-00000064,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2020-10-01,2020-12-31,544.02,litres,1.1,598.42,1405,3,scope1_diesel_combustion,BE,corrected,synthetic_utility_invoice,2020
BILL-00000065,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2021-01-01,2021-03-31,60566.68,kWh,0.165,9993.5,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2021
BILL-00000066,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2021-01-01,2021-03-31,521.1,litres,1.3,677.43,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2021
BILL-00000067,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2021-04-01,2021-06-30,48386.82,kWh,0.165,7983.83,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2021
BILL-00000068,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2021-04-01,2021-06-30,458.72,litres,1.3,596.33,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2021
BILL-00000069,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2021-07-01,2021-09-30,46412.33,kWh,0.165,7658.03,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2021
BILL-00000070,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2021-07-01,2021-09-30,366.65,litres,1.3,476.64,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2021
BILL-00000071,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2021-10-01,2021-12-31,67533.98,kWh,0.165,11143.11,1405,3,scope2_location_electricity_grid,BE,estimated,synthetic_utility_invoice,2021
BILL-00000072,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2021-10-01,2021-12-31,536.62,litres,1.3,697.6,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2021
BILL-00000073,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2022-01-01,2022-03-31,68556.36,kWh,0.26,17824.65,1405,3,scope2_location_electricity_grid,BE,corrected,synthetic_utility_invoice,2022
BILL-00000074,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2022-01-01,2022-03-31,536.07,litres,1.75,938.12,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2022
BILL-00000075,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2022-04-01,2022-06-30,48540.78,kWh,0.26,12620.6,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2022
BILL-00000076,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2022-04-01,2022-06-30,519.08,litres,1.75,908.38,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2022
BILL-00000077,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2022-07-01,2022-09-30,55097.53,kWh,0.26,14325.36,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2022
BILL-00000078,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2022-07-01,2022-09-30,560.6,litres,1.75,981.06,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2022
BILL-00000079,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2022-10-01,2022-12-31,64218.56,kWh,0.26,16696.83,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2022
BILL-00000080,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2022-10-01,2022-12-31,506.71,litres,1.75,886.74,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2022
BILL-00000081,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2023-01-01,2023-03-31,56776.28,kWh,0.235,13342.43,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2023
BILL-00000082,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2023-01-01,2023-03-31,471.61,litres,1.65,778.15,1405,3,scope1_diesel_combustion,BE,estimated,synthetic_utility_invoice,2023
BILL-00000083,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2023-04-01,2023-06-30,47678.75,kWh,0.235,11204.51,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2023
BILL-00000084,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2023-04-01,2023-06-30,531.35,litres,1.65,876.73,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2023
BILL-00000085,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2023-07-01,2023-09-30,52956.23,kWh,0.235,12444.71,1405,3,scope2_location_electricity_grid,BE,corrected,synthetic_utility_invoice,2023
BILL-00000086,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2023-07-01,2023-09-30,590.46,litres,1.65,974.25,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2023
BILL-00000087,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2023-10-01,2023-12-31,60150.87,kWh,0.235,14135.45,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2023
BILL-00000088,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2023-10-01,2023-12-31,521.89,litres,1.65,861.12,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2023
BILL-00000089,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2024-01-01,2024-03-31,60593.95,kWh,0.22,13330.67,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2024
BILL-00000090,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2024-01-01,2024-03-31,448.66,litres,1.58,708.88,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2024
BILL-00000091,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2024-04-01,2024-06-30,47791.47,kWh,0.22,10514.12,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2024
BILL-00000092,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2024-04-01,2024-06-30,551.52,litres,1.58,871.4,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2024
BILL-00000093,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2024-07-01,2024-09-30,52468.31,kWh,0.22,11543.03,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2024
BILL-00000094,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2024-07-01,2024-09-30,501.85,litres,1.58,792.92,1405,3,scope1_diesel_combustion,BE,submitted,synthetic_utility_invoice,2024
BILL-00000095,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,electricity,scope2_location,2024-10-01,2024-12-31,66037.45,kWh,0.22,14528.24,1405,3,scope2_location_electricity_grid,BE,submitted,synthetic_utility_invoice,2024
BILL-00000096,SITE-00002,ENT-BE-008,BRANCH-BE-002,branch,BE,BE,diesel_fleet,scope1,2024-10-01,2024-12-31,516.95,litres,1.58,816.79,1405,3,scope1_diesel_combustion,BE,estimated,synthetic_utility_invoice,2024
BILL-00000097,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,electricity,scope2_location,2019-01-01,2019-03-31,56847.41,kWh,0.145,8242.87,1286,6,scope2_location_electricity_grid,IT,submitted,synthetic_utility_invoice,2019
BILL-00000098,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,diesel_fleet,scope1,2019-01-01,2019-03-31,1104.14,litres,1.25,1380.18,1286,6,scope1_diesel_combustion,IT,submitted,synthetic_utility_invoice,2019
BILL-00000099,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,electricity,scope2_location,2019-04-01,2019-06-30,45357.25,kWh,0.145,6576.8,1286,6,scope2_location_electricity_grid,IT,estimated,synthetic_utility_invoice,2019
BILL-00000100,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,diesel_fleet,scope1,2019-04-01,2019-06-30,917.57,litres,1.25,1146.97,1286,6,scope1_diesel_combustion,IT,submitted,synthetic_utility_invoice,2019
BILL-00000101,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,electricity,scope2_location,2019-07-01,2019-09-30,51327.13,kWh,0.145,7442.43,1286,6,scope2_location_electricity_grid,IT,estimated,synthetic_utility_invoice,2019
BILL-00000102,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,diesel_fleet,scope1,2019-07-01,2019-09-30,1240.79,litres,1.25,1550.98,1286,6,scope1_diesel_combustion,IT,submitted,synthetic_utility_invoice,2019
BILL-00000103,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,electricity,scope2_location,2019-10-01,2019-12-31,56194.41,kWh,0.145,8148.19,1286,6,scope2_location_electricity_grid,IT,corrected,synthetic_utility_invoice,2019
BILL-00000104,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,diesel_fleet,scope1,2019-10-01,2019-12-31,876.96,litres,1.25,1096.2,1286,6,scope1_diesel_combustion,IT,submitted,synthetic_utility_invoice,2019
BILL-00000105,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,electricity,scope2_location,2020-01-01,2020-03-31,59065.04,kWh,0.15,8859.76,1286,6,scope2_location_electricity_grid,IT,submitted,synthetic_utility_invoice,2020
BILL-00000106,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,diesel_fleet,scope1,2020-01-01,2020-03-31,1381.5,litres,1.1,1519.66,1286,6,scope1_diesel_combustion,IT,submitted,synthetic_utility_invoice,2020
BILL-00000107,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,electricity,scope2_location,2020-04-01,2020-06-30,45250.48,kWh,0.15,6787.57,1286,6,scope2_location_electricity_grid,IT,estimated,synthetic_utility_invoice,2020
BILL-00000108,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,diesel_fleet,scope1,2020-04-01,2020-06-30,1083.72,litres,1.1,1192.09,1286,6,scope1_diesel_combustion,IT,corrected,synthetic_utility_invoice,2020
BILL-00000109,SITE-00003,ENT-IT-007,BRANCH-IT-003,branch,IT,IT,electricity,scope2_location,2020-07-01,2020-09-30,47840.24,kWh,0.15,7176.04,1286,6,scope2_location_electricity_grid,IT,submitted,synthetic_utility_invoice,2020
