requirement_id,standard,paragraph_id,page,report_section,official_section_heading,nearest_pdf_heading,clean_requirement_text,source_paragraph_text,clause_path,obligation_type,mandatory,evidence_tags,banking_relevance,paragraph_quality_score,requirement_quality_score
IFRS_S1_20_C01,IFRS S1,20,9,General Requirements,Reporting entity,Reporting entity,An entity’s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38).,An entity’s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38).,,mandatory,True,"[""connected_information""]",general,1.0,1.0
IFRS_S1_21_C01,IFRS S1,21,9,General Requirements,Connected information,Connected information,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections: (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; and (b) the connections between disclosures provided by the entity: (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets; and (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).",(a),mandatory,True,"[""connected_information""]",general,1.0,1.0
IFRS_S1_21_C03,IFRS S1,21,9,General Requirements,Connected information,Connected information,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (b) the connections between disclosures provided by the entity: — (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets","An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections: (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; and (b) the connections between disclosures provided by the entity: (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets; and (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).",(b)>(i),mandatory,True,"[""metrics"", ""targets"", ""connected_information""]",general,1.0,1.0
IFRS_S1_21_C04,IFRS S1,21,9,General Requirements,Connected information,Connected information,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (b) the connections between disclosures provided by the entity: — (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections: (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; and (b) the connections between disclosures provided by the entity: (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets; and (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).",(b)>(ii),mandatory,True,"[""connected_information""]",general,1.0,1.0
IFRS_S1_22_C01,IFRS S1,22,9,General Requirements,Connected information,Connected information,An entity shall identify the financial statements to which the sustainability-related financial disclosures relate.,An entity shall identify the financial statements to which the sustainability-related financial disclosures relate.,,mandatory,True,"[""connected_information""]",general,1.0,1.0
IFRS_S1_23_C01,IFRS S1,23,10,General Requirements,Connected information,Connected information,Data and assumptions used in preparing the sustainability-related financial disclosures shall be consistent—to the extent possible considering the requirements of IFRS Accounting Standards or other applicable GAAP— with the corresponding data and assumptions used in preparing the related financial statements (see paragraph B42).,Data and assumptions used in preparing the sustainability-related financial disclosures shall be consistent—to the extent possible considering the requirements of IFRS Accounting Standards or other applicable GAAP— with the corresponding data and assumptions used in preparing the related financial statements (see paragraph B42).,,mandatory,True,"[""connected_information""]",general,1.0,1.0
IFRS_S1_24_C01,IFRS S1,24,10,General Requirements,Connected information,Connected information,"When currency is specified as the unit of measure in the sustainability-related financial disclosures, the entity shall use the presentation currency of its related financial statements.","When currency is specified as the unit of measure in the sustainability-related financial disclosures, the entity shall use the presentation currency of its related financial statements.",,mandatory,True,"[""connected_information""]",general,1.0,1.0
IFRS_S1_25_C01,IFRS S1,25,10,General Requirements,CORE CONTENT,Core content,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about — (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27)","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27); (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42); (c) risk management—the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities (see paragraphs 43–44); and (d) metrics and targets—the entity’s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law or regulation (see paragraphs 45–53).",(a),mandatory,True,[],general,1.0,1.0
IFRS_S1_25_C02,IFRS S1,25,10,General Requirements,CORE CONTENT,Core content,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about — (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42)","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27); (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42); (c) risk management—the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities (see paragraphs 43–44); and (d) metrics and targets—the entity’s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law or regulation (see paragraphs 45–53).",(b),mandatory,True,[],general,1.0,1.0
IFRS_S1_25_C03,IFRS S1,25,10,General Requirements,CORE CONTENT,Core content,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about — (c) risk management—the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities (see paragraphs 43–44)","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27); (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42); (c) risk management—the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities (see paragraphs 43–44); and (d) metrics and targets—the entity’s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law or regulation (see paragraphs 45–53).",(c),mandatory,True,"[""risk_process""]",general,1.0,1.0
IFRS_S1_25_C04,IFRS S1,25,10,General Requirements,CORE CONTENT,Core content,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about — (d) metrics and targets—the entity’s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law or regulation (see paragraphs 45–53).","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27); (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42); (c) risk management—the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities (see paragraphs 43–44); and (d) metrics and targets—the entity’s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law or regulation (see paragraphs 45–53).",(d),mandatory,True,"[""metrics"", ""targets""]",general,1.0,1.0
IFRS_S1_54_C01,IFRS S1,54,17,General Requirements,Sources of guidance,Identifying sustainability-related risks and opportunities,"In identifying sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply IFRS Sustainability Disclosure Standards.","In identifying sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply IFRS Sustainability Disclosure Standards.",,mandatory,True,"[""source_guidance""]",general,1.0,1.0
IFRS_S1_55_C01,IFRS S1,55,17,General Requirements,Sources of guidance,Identifying sustainability-related risks and opportunities,In addition to IFRS Sustainability Disclosure Standards — (a) an entity shall refer to and consider the applicability of the disclosure topics in the SASB Standards. An entity might conclude that the disclosure topics in the SASB Standards are not applicable in the entity’s circumstances.,In addition to IFRS Sustainability Disclosure Standards: (a) an entity shall refer to and consider the applicability of the disclosure topics in the SASB Standards. An entity might conclude that the disclosure topics in the SASB Standards are not applicable in the entity’s circumstances. (b) an entity may refer to and consider the applicability of: (i) the CDSB Framework Application Guidance for Water-related Disclosures and the CDSB Framework Application Guidance for Biodiversity-related Disclosures (collectively referred to as ‘CDSB Framework Application Guidance’); (ii) the most recent pronouncements of other standard-setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and (iii) the sustainability-related risks and opportunities identified by entities that operate in the same industry(s) or geographical region(s).,(a),mandatory,True,"[""source_guidance""]",general,1.0,1.0
IFRS_S1_56_C01,IFRS S1,56,18,General Requirements,Sources of guidance,Identifying applicable disclosure requirements,"In identifying applicable disclosure requirements about a sustainability-related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.","In identifying applicable disclosure requirements about a sustainability-related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.",,mandatory,True,"[""source_guidance""]",general,1.0,1.0
IFRS_S1_57_C01,IFRS S1,57,18,General Requirements,Sources of guidance,Identifying applicable disclosure requirements,"In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply judgement to identify information that — (a) is relevant to the decision-making of users of general purpose financial reports","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply judgement to identify information that: (a) is relevant to the decision-making of users of general purpose financial reports; and (b) faithfully represents that sustainability-related risk or opportunity.",(a),mandatory,True,"[""source_guidance""]",general,1.0,1.0
IFRS_S1_57_C02,IFRS S1,57,18,General Requirements,Sources of guidance,Identifying applicable disclosure requirements,"In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply judgement to identify information that — (b) faithfully represents that sustainability-related risk or opportunity.","In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply judgement to identify information that: (a) is relevant to the decision-making of users of general purpose financial reports; and (b) faithfully represents that sustainability-related risk or opportunity.",(b),mandatory,True,"[""source_guidance""]",general,1.0,1.0
IFRS_S1_58_C01,IFRS S1,58,18,General Requirements,Sources of guidance,Identifying applicable disclosure requirements,In making the judgement described in paragraph 57 — (a) an entity shall refer to and consider the applicability of the metrics associated with the disclosure topics included in the SASB Standards. An entity might conclude that the metrics specified in the SASB Standards are not applicable in the entity’s circumstances.,"In making the judgement described in paragraph 57: (a) an entity shall refer to and consider the applicability of the metrics associated with the disclosure topics included in the SASB Standards. An entity might conclude that the metrics specified in the SASB Standards are not applicable in the entity’s circumstances. (b) an entity may—to the extent that these sources do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of: (i) the CDSB Framework Application Guidance; (ii) the most recent pronouncements of other standard-setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and (iii) the information, including metrics, disclosed by entities that operate in the same industry(s) or geographical region(s). (c) an entity may—to the extent that these sources assist the entity in meeting the objective of this Standard (see paragraphs 1–4) and do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of the sources specified in Appendix C.",(a),mandatory,True,"[""metrics"", ""source_guidance""]",general,1.0,1.0
IFRS_S1_59_C01,IFRS S1,59,19,General Requirements,Sources of guidance,Disclosure of information about sources of guidance,"An entity shall identify — (a) the specific standards, pronouncements, industry practice and other sources of guidance that the entity has applied in preparing its sustainability-related financial disclosures, including, if applicable, identifying the disclosure topics in the SASB Standards","An entity shall identify: (a) the specific standards, pronouncements, industry practice and other sources of guidance that the entity has applied in preparing its sustainability-related financial disclosures, including, if applicable, identifying the disclosure topics in the SASB Standards; and (b) the industry(s) specified in the IFRS Sustainability Disclosure Standards, the SASB Standards or other sources of guidance relating to a particular industry(s) that the entity has applied in preparing its sustainability-related financial disclosures, including in identifying applicable metrics.",(a),mandatory,True,"[""source_guidance""]",general,1.0,1.0
IFRS_S1_59_C02,IFRS S1,59,19,General Requirements,Sources of guidance,Disclosure of information about sources of guidance,"An entity shall identify — (b) the industry(s) specified in the IFRS Sustainability Disclosure Standards, the SASB Standards or other sources of guidance relating to a particular industry(s) that the entity has applied in preparing its sustainability-related financial disclosures, including in identifying applicable metrics.","An entity shall identify: (a) the specific standards, pronouncements, industry practice and other sources of guidance that the entity has applied in preparing its sustainability-related financial disclosures, including, if applicable, identifying the disclosure topics in the SASB Standards; and (b) the industry(s) specified in the IFRS Sustainability Disclosure Standards, the SASB Standards or other sources of guidance relating to a particular industry(s) that the entity has applied in preparing its sustainability-related financial disclosures, including in identifying applicable metrics.",(b),mandatory,True,"[""metrics"", ""source_guidance""]",general,1.0,1.0
IFRS_S1_60_C01,IFRS S1,60,19,General Requirements,Location of disclosures,Location of disclosures,An entity is required to provide disclosures required by IFRS Sustainability Disclosure Standards as part of its general purpose financial reports.,An entity is required to provide disclosures required by IFRS Sustainability Disclosure Standards as part of its general purpose financial reports.,,mandatory,True,[],general,1.0,1.0
IFRS_S1_63_C01,IFRS S1,63,19,General Requirements,Location of disclosures,Location of disclosures,"Information required by an IFRS Sustainability Disclosure Standard may be included in sustainability-related financial disclosures by cross-reference to another report published by the entity. If an entity includes information by cross-reference, the entity shall apply the requirements in paragraphs B45–B47.","Information required by an IFRS Sustainability Disclosure Standard may be included in sustainability-related financial disclosures by cross-reference to another report published by the entity. If an entity includes information by cross-reference, the entity shall apply the requirements in paragraphs B45–B47.",,mandatory,True,"[""connected_information""]",general,1.0,1.0
IFRS_S1_64_C01,IFRS S1,64,20,General Requirements,Timing of reporting,Timing of reporting,An entity shall report its sustainability-related financial disclosures at the same time as its related financial statements. The entity’s sustainability-related financial disclosures shall cover the same reporting period as the related financial statements.,An entity shall report its sustainability-related financial disclosures at the same time as its related financial statements. The entity’s sustainability-related financial disclosures shall cover the same reporting period as the related financial statements.,,mandatory,True,"[""connected_information""]",general,1.0,1.0
IFRS_S1_66_C01,IFRS S1,66,20,General Requirements,Timing of reporting,Timing of reporting,"When an entity changes the end of its reporting period and provides sustainability-related financial disclosures for a period longer or shorter than 12 months, it shall disclose — (a) the period covered by the sustainability-related financial disclosures","When an entity changes the end of its reporting period and provides sustainability-related financial disclosures for a period longer or shorter than 12 months, it shall disclose: (a) the period covered by the sustainability-related financial disclosures; (b) the reason for using a longer or shorter period; and (c) the fact that the amounts disclosed in the sustainability-related financial disclosures are not entirely comparable.",(a),mandatory,True,[],general,1.0,1.0
IFRS_S1_66_C02,IFRS S1,66,20,General Requirements,Timing of reporting,Timing of reporting,"When an entity changes the end of its reporting period and provides sustainability-related financial disclosures for a period longer or shorter than 12 months, it shall disclose — (b) the reason for using a longer or shorter period","When an entity changes the end of its reporting period and provides sustainability-related financial disclosures for a period longer or shorter than 12 months, it shall disclose: (a) the period covered by the sustainability-related financial disclosures; (b) the reason for using a longer or shorter period; and (c) the fact that the amounts disclosed in the sustainability-related financial disclosures are not entirely comparable.",(b),mandatory,True,[],general,1.0,1.0
IFRS_S1_66_C03,IFRS S1,66,20,General Requirements,Timing of reporting,Timing of reporting,"When an entity changes the end of its reporting period and provides sustainability-related financial disclosures for a period longer or shorter than 12 months, it shall disclose — (c) the fact that the amounts disclosed in the sustainability-related financial disclosures are not entirely comparable.","When an entity changes the end of its reporting period and provides sustainability-related financial disclosures for a period longer or shorter than 12 months, it shall disclose: (a) the period covered by the sustainability-related financial disclosures; (b) the reason for using a longer or shorter period; and (c) the fact that the amounts disclosed in the sustainability-related financial disclosures are not entirely comparable.",(c),mandatory,True,[],general,1.0,1.0
IFRS_S1_67_C01,IFRS S1,67,20,General Requirements,Timing of reporting,Timing of reporting,"If, after the end of the reporting period but before the date on which the sustainability-related financial disclosures are authorised for issue, an entity receives information about conditions that existed at the end of the reporting period, it shall update disclosures that relate to those conditions in the light of the new information.","If, after the end of the reporting period but before the date on which the sustainability-related financial disclosures are authorised for issue, an entity receives information about conditions that existed at the end of the reporting period, it shall update disclosures that relate to those conditions in the light of the new information.",,mandatory,True,[],general,1.0,1.0
IFRS_S1_68_C01,IFRS S1,68,20,General Requirements,Timing of reporting,Timing of reporting,"An entity shall disclose information about transactions, other events and conditions that occur after the end of the reporting period, but before the date on which the sustainability-related financial disclosures are authorised for issue, if non-disclosure of that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports.","An entity shall disclose information about transactions, other events and conditions that occur after the end of the reporting period, but before the date on which the sustainability-related financial disclosures are authorised for issue, if non-disclosure of that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports.",,mandatory,True,[],general,1.0,1.0
IFRS_S1_69_C01,IFRS S1,69,20,General Requirements,Timing of reporting,Timing of reporting,"This Standard does not mandate which entities would be required to provide interim sustainability-related financial disclosures, how frequently, or how soon after the end of an interim period. However, governments, securities regulators, stock exchanges and accountancy bodies may require entities whose debt or equity securities are publicly traded to publish interim general purpose financial reports. If an entity is required or elects to publish interim sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards, the entity shall apply paragraph B48.","This Standard does not mandate which entities would be required to provide interim sustainability-related financial disclosures, how frequently, or how soon after the end of an interim period. However, governments, securities regulators, stock exchanges and accountancy bodies may require entities whose debt or equity securities are publicly traded to publish interim general purpose financial reports. If an entity is required or elects to publish interim sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards, the entity shall apply paragraph B48.",,mandatory,True,[],general,1.0,1.0
IFRS_S1_70_C01,IFRS S1,70,20,General Requirements,Comparative information,Comparative information,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise, an entity shall disclose comparative information in respect of the preceding period for all amounts disclosed in the reporting period. If such information would be useful for an understanding of the sustainability-related financial disclosures for the reporting period, the entity shall also disclose comparative information for narrative and descriptive sustainability-related financial information (see paragraphs B49–B59).","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise, an entity shall disclose comparative information in respect of the preceding period for all amounts disclosed in the reporting period. If such information would be useful for an understanding of the sustainability-related financial disclosures for the reporting period, the entity shall also disclose comparative information for narrative and descriptive sustainability-related financial information (see paragraphs B49–B59).",,mandatory,True,[],general,1.0,1.0
IFRS_S1_72_C01,IFRS S1,72,21,General Requirements,Statement of compliance,Statement of compliance,An entity whose sustainability-related financial disclosures comply with all the requirements of IFRS Sustainability Disclosure Standards shall make an explicit and unreserved statement of compliance. An entity shall not describe sustainability-related financial disclosures as complying with IFRS Sustainability Disclosure Standards unless they comply with all the requirements of IFRS Sustainability Disclosure Standards.,An entity whose sustainability-related financial disclosures comply with all the requirements of IFRS Sustainability Disclosure Standards shall make an explicit and unreserved statement of compliance. An entity shall not describe sustainability-related financial disclosures as complying with IFRS Sustainability Disclosure Standards unless they comply with all the requirements of IFRS Sustainability Disclosure Standards.,,prohibition,True,[],general,1.0,1.0
IFRS_S1_73_C01,IFRS S1,73,21,General Requirements,Statement of compliance,Statement of compliance,This Standard relieves an entity from disclosing information otherwise required by an IFRS Sustainability Disclosure Standard if law or regulation prohibits the entity from disclosing that information (see paragraph B33). This Standard also relieves an entity from disclosing information about a sustainability-related opportunity otherwise required by an IFRS Sustainability Disclosure Standard if that information is commercially sensitive as described in this Standard (see paragraphs B34–B37). An entity using these exemptions is not prevented from asserting compliance with IFRS Sustainability Disclosure Standards.,This Standard relieves an entity from disclosing information otherwise required by an IFRS Sustainability Disclosure Standard if law or regulation prohibits the entity from disclosing that information (see paragraph B33). This Standard also relieves an entity from disclosing information about a sustainability-related opportunity otherwise required by an IFRS Sustainability Disclosure Standard if that information is commercially sensitive as described in this Standard (see paragraphs B34–B37). An entity using these exemptions is not prevented from asserting compliance with IFRS Sustainability Disclosure Standards.,,mandatory,True,[],general,1.0,1.0
IFRS_S1_74_C01,IFRS S1,74,21,General Requirements,Judgements,Judgements,"An entity shall disclose information to enable users of general purpose financial reports to understand the judgements, apart from those involving estimations of amounts (see paragraph 77), that the entity has made in the process of preparing its sustainability-related financial disclosures and that have the most significant effect on the information included in those disclosures.","An entity shall disclose information to enable users of general purpose financial reports to understand the judgements, apart from those involving estimations of amounts (see paragraph 77), that the entity has made in the process of preparing its sustainability-related financial disclosures and that have the most significant effect on the information included in those disclosures.",,mandatory,True,[],general,1.0,1.0
IFRS_S1_77_C01,IFRS S1,77,22,General Requirements,Measurement uncertainty,Measurement uncertainty,An entity shall disclose information to enable users of general purpose financial reports to understand the most significant uncertainties affecting the amounts reported in its sustainability-related financial disclosures.,An entity shall disclose information to enable users of general purpose financial reports to understand the most significant uncertainties affecting the amounts reported in its sustainability-related financial disclosures.,,mandatory,True,[],general,1.0,1.0
IFRS_S1_78_C01,IFRS S1,78,22,General Requirements,Measurement uncertainty,Measurement uncertainty,An entity shall — (a) identify the amounts that it has disclosed that are subject to a high level of measurement uncertainty,"An entity shall: (a) identify the amounts that it has disclosed that are subject to a high level of measurement uncertainty; and (b) in relation to each amount identified in paragraph 78(a), disclose information about: (i) the sources of measurement uncertainty—for example, the dependence of the amount on the outcome of a future event, on a measurement technique or on the availability and quality of data from the entity’s value chain; and (ii) the assumptions, approximations and judgements the entity has made in measuring the amount.",(a),mandatory,True,[],general,1.0,1.0
IFRS_S1_78_C03,IFRS S1,78,22,General Requirements,Measurement uncertainty,Measurement uncertainty,"An entity shall — (b) in relation to each amount identified in paragraph 78(a), disclose information about: — (i) the sources of measurement uncertainty—for example, the dependence of the amount on the outcome of a future event, on a measurement technique or on the availability and quality of data from the entity’s value chain","An entity shall: (a) identify the amounts that it has disclosed that are subject to a high level of measurement uncertainty; and (b) in relation to each amount identified in paragraph 78(a), disclose information about: (i) the sources of measurement uncertainty—for example, the dependence of the amount on the outcome of a future event, on a measurement technique or on the availability and quality of data from the entity’s value chain; and (ii) the assumptions, approximations and judgements the entity has made in measuring the amount.",(b)>(i),mandatory,True,"[""business_model_value_chain""]",general,1.0,1.0
IFRS_S1_78_C04,IFRS S1,78,22,General Requirements,Measurement uncertainty,Measurement uncertainty,"An entity shall — (b) in relation to each amount identified in paragraph 78(a), disclose information about: — (ii) the assumptions, approximations and judgements the entity has made in measuring the amount.","An entity shall: (a) identify the amounts that it has disclosed that are subject to a high level of measurement uncertainty; and (b) in relation to each amount identified in paragraph 78(a), disclose information about: (i) the sources of measurement uncertainty—for example, the dependence of the amount on the outcome of a future event, on a measurement technique or on the availability and quality of data from the entity’s value chain; and (ii) the assumptions, approximations and judgements the entity has made in measuring the amount.",(b)>(ii),mandatory,True,[],general,1.0,1.0
