rec_id,bank_id,certificate_type,energy_source,country_of_generation,volume_mwh,issuing_registry,issue_date,expiry_date,cancellation_date,associated_facility_ids,reporting_year,price_eur_per_mwh
REC-BANK02-2024-0002,BANK02,GO,wind_onshore,FR,4823.3,EECS,2024-04-07,2025-04-07,2024-07-09,"FAC0050,FAC0031,FAC0030",2024,7.68
REC-BANK02-2024-0003,BANK02,GO,wind_onshore,FR,4823.3,EECS,2024-07-14,2025-07-14,2024-10-23,"FAC0038,FAC0043,FAC0047",2024,
REC-BANK02-2024-0004,BANK02,GO,wind_offshore,FR,4823.3,EECS,2024-10-25,2025-10-25,,"FAC0029,FAC0050",2024,2.48
REC-BANK03-2022-0001,BANK03,GO,hydro,IT,1403.4,EECS,2022-01-09,2023-01-09,,"FAC0052,FAC0057,FAC0062,FAC0060",2022,
REC-BANK03-2022-0002,BANK03,GO,wind_onshore,IT,1403.4,EECS,2022-04-11,2023-04-11,2023-01-04,"FAC0056,FAC0057,FAC0054",2022,
REC-BANK03-2022-0003,BANK03,GO,hydro,IT,1403.4,EECS,2022-07-07,2023-07-07,2023-01-05,"FAC0052,FAC0064,FAC0057,FAC0059",2022,
REC-BANK03-2022-0004,BANK03,GO,wind_onshore,IT,1403.4,EECS,2022-10-03,2023-10-03,,FAC0057,2022,
REC-BANK03-2023-0001,BANK03,GO,geothermal,IT,1607.6,EECS,2023-01-05,2024-01-05,,FAC0057,2023,3.88
REC-BANK03-2023-0002,BANK03,GO,solar,IT,1607.6,EECS,2023-04-26,2024-04-25,,"FAC0052,FAC0058,FAC0062",2023,
REC-BANK03-2023-0003,BANK03,GO,wind_offshore,IT,1607.6,EECS,2023-07-25,2024-07-24,2024-01-03,"FAC0057,FAC0053",2023,5.91
REC-BANK03-2023-0004,BANK03,GO,hydro,IT,1607.6,EECS,2023-10-21,2024-10-20,2024-03-31,"FAC0061,FAC0064,FAC0063",2023,5.43
REC-BANK03-2024-0001,BANK03,GO,wind_onshore,IT,1961.5,EECS,2024-01-10,2025-01-09,2024-06-11,"FAC0053,FAC0060",2024,
REC-BANK03-2024-0002,BANK03,GO,solar,IT,1961.5,EECS,2024-04-07,2025-04-07,,FAC0064,2024,7.23
REC-BANK03-2024-0003,BANK03,GO,wind_onshore,IT,1961.5,EECS,2024-07-13,2025-07-13,2025-01-26,"FAC0052,FAC0053,FAC0054",2024,
REC-BANK03-2024-0004,BANK03,GO,wind_onshore,IT,1961.5,EECS,2024-10-22,2025-10-22,2025-04-17,"FAC0064,FAC0063",2024,7.3
REC-BANK04-2022-0001,BANK04,GO,solar,NL,585.4,APX,2022-01-05,2023-01-05,2022-10-19,"FAC0065,FAC0070",2022,4.34
REC-BANK04-2022-0002,BANK04,PPA,solar,NL,585.4,APX,2022-04-07,2023-04-07,2022-12-08,"FAC0067,FAC0065",2022,
REC-BANK04-2022-0003,BANK04,PPA,solar,NL,585.4,APX,2022-07-28,2023-07-28,2022-12-14,"FAC0070,FAC0066,FAC0065,FAC0068",2022,
REC-BANK04-2022-0004,BANK04,PPA,wind_offshore,NL,585.4,APX,2022-10-12,2023-10-12,2023-03-04,"FAC0065,FAC0070,FAC0068",2022,1.54
REC-BANK04-2023-0001,BANK04,GO,solar,NL,562.2,APX,2023-01-07,2024-01-07,2023-04-06,FAC0067,2023,
REC-BANK04-2023-0002,BANK04,GO,wind_offshore,NL,562.2,APX,2023-04-03,2024-04-02,2023-10-12,"FAC0067,FAC0068",2023,
REC-BANK04-2023-0003,BANK04,GO,wind_onshore,NL,562.2,APX,2023-07-16,2024-07-15,,"FAC0065,FAC0067,FAC0068",2023,2.01
REC-BANK04-2023-0004,BANK04,PPA,wind_onshore,NL,562.2,APX,2023-10-06,2024-10-05,2024-04-09,"FAC0070,FAC0069,FAC0066",2023,
REC-BANK04-2024-0001,BANK04,GO,hydro,NL,540.4,APX,2024-01-22,2025-01-21,,"FAC0070,FAC0068,FAC0066,FAC0065",2024,
REC-BANK04-2024-0002,BANK04,GO,hydro,NL,540.4,APX,2024-04-14,2025-04-14,2024-09-16,"FAC0070,FAC0066,FAC0067,FAC0069",2024,2.81
REC-BANK04-2024-0003,BANK04,GO,hydro,NL,540.4,APX,2024-07-01,2025-07-01,2024-08-29,"FAC0066,FAC0069",2024,
REC-BANK04-2024-0004,BANK04,GO,geothermal,NL,540.4,APX,2024-10-12,2025-10-12,2025-06-08,FAC0068,2024,7.11
