facility_id,bank_id,facility_type,country,city,floor_area_sqm,headcount,year_built,epc_rating,ownership
FAC0037,BANK02,training_center,FR,Amsterdam,7772,995,1996,C,leased
FAC0038,BANK02,branch,FR,Rotterdam,3873,271,1995,C,owned
FAC0039,BANK02,branch,FR,Paris,6454,941,2016,B,leased
FAC0040,BANK02,operations_center,FR,Hamburg,6936,164,1993,E,leased
FAC0041,BANK02,back_office,IT,Hamburg,4058,365,2019,C,leased
FAC0042,BANK02,branch,FR,Amsterdam,890,730,2003,C,owned
FAC0043,BANK02,back_office,FR,Barcelona,3053,676,2017,B,leased
FAC0044,BANK02,data_center,FR,Hamburg,14721,776,1996,B,owned
FAC0045,BANK02,training_center,FR,Madrid,10790,916,2018,C,owned
FAC0046,BANK02,branch,FR,Vienna,14745,74,1971,A,leased
FAC0047,BANK02,branch,FR,Frankfurt,3989,334,1992,F,leased
FAC0048,BANK02,branch,ES,Rome,12027,199,2007,F,owned
FAC0049,BANK02,branch,FR,Munich,9221,952,1979,D,leased
FAC0050,BANK02,branch,FR,Milan,11804,888,2000,D,leased
FAC0051,BANK03,headquarters,LU,Munich,17580,158,2012,G,leased
FAC0052,BANK03,branch,IT,Madrid,13901,391,2019,C,leased
FAC0053,BANK03,back_office,LU,Paris,6133,926,1971,B,leased
FAC0054,BANK03,branch,IT,Milan,11598,423,1981,C,leased
FAC0055,BANK03,branch,IT,Lyon,5754,319,2012,F,leased
FAC0056,BANK03,training_center,ES,Paris,10171,447,2008,B,leased
FAC0057,BANK03,branch,IT,Rotterdam,884,521,2002,C,leased
FAC0058,BANK03,branch,IT,Amsterdam,7593,365,2014,D,owned
FAC0059,BANK03,back_office,IT,Rome,9532,52,1999,E,owned
FAC0060,BANK03,training_center,IT,Milan,6736,224,2017,D,leased
FAC0061,BANK03,branch,IT,Turin,5999,395,2013,A,leased
FAC0062,BANK03,operations_center,IT,Frankfurt,6172,756,1996,E,owned
FAC0063,BANK03,branch,LU,Munich,13696,702,1975,C,leased
FAC0064,BANK03,operations_center,IE,Munich,4480,96,1971,F,owned
FAC0065,BANK04,headquarters,IE,Vienna,19942,29,2023,A,leased
FAC0066,BANK04,back_office,NL,Lyon,14776,491,2007,A,leased
FAC0067,BANK04,branch,NL,Frankfurt,3768,960,2008,B,leased
FAC0068,BANK04,branch,NL,Barcelona,11732,258,2007,A,owned
FAC0069,BANK04,back_office,NL,Vienna,3732,745,2021,A,leased
FAC0070,BANK04,back_office,NL,Paris,14672,901,2014,A,owned
FAC0071,BANK05,headquarters,ES,Hamburg,32253,167,1965,C,leased
FAC0072,BANK05,back_office,ES,Munich,3583,211,1972,C,leased
FAC0073,BANK05,data_center,ES,Paris,5361,635,1990,C,leased
FAC0074,BANK05,back_office,AT,Rotterdam,614,690,1981,C,leased
FAC0075,BANK05,back_office,ES,Munich,8592,372,1975,D,leased
FAC0076,BANK05,branch,ES,Barcelona,12232,476,1992,E,owned
FAC0077,BANK05,back_office,LU,Madrid,11658,640,2002,B,leased
FAC0078,BANK05,branch,ES,Madrid,13786,511,1985,C,leased
FAC0079,BANK05,branch,FR,Paris,3294,63,1999,D,leased
FAC0080,BANK05,branch,PT,Turin,8096,909,1985,F,leased
