standard,paragraph_id,page,appendix,appendix_title,nearest_heading,text,paragraph_prefix,paragraph_number,paragraph_suffix,report_section,official_section_heading,mapping_method,paragraph_quality_score,paragraph_quality_issues
IFRS S1,26,10,,,Governance,"The objective of sustainability-related financial disclosures on governance is to enable users of general purpose financial reports to understand the governance processes, controls and procedures an entity uses to monitor, manage and oversee sustainability-related risks and opportunities.",,26,,Governance,Governance,auto_toc_body_range,1.0,[]
IFRS S1,27,10,,,Governance,"To achieve this objective, an entity shall disclose information about: (a) the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of sustainability-related risks and opportunities. Specifically, the entity shall identify that body(s) or individual(s) and disclose information about: (i) how responsibilities for sustainability-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s); (ii) how the body(s) or individual(s) determines whether appropriate skills and competencies are available or will be developed to oversee strategies designed to respond to sustainability-related risks and opportunities; (iii) how and how often the body(s) or individual(s) is informed about sustainability-related risks and opportunities; (iv) how the body(s) or individual(s) takes into account sustainability-related risks and opportunities when overseeing the entity’s strategy, its decisions on major transactions and its risk management processes and related policies, including whether the body(s) or individual(s) has considered trade-offs associated with those risks and opportunities; and (v) how the body(s) or individual(s) oversees the setting of targets related to sustainability-related risks and opportunities, and monitors progress towards those targets (see paragraph 51), including whether and how related performance metrics are included in remuneration policies. (b) management’s role in the governance processes, controls and procedures used to monitor, manage and oversee sustainability-related risks and opportunities, including information about: (i) whether the role is delegated to a specific management-level position or management-level committee and how oversight is exercised over that position or committee; and (ii) whether management uses controls and procedures to support the oversight of sustainability-related risks and opportunities and, if so, how these controls and procedures are integrated with other internal functions.",,27,,Governance,Governance,auto_toc_body_range,1.0,[]
IFRS S1,28,11,,,Strategy,The objective of sustainability-related financial disclosures on strategy is to enable users of general purpose financial reports to understand an entity’s strategy for managing sustainability-related risks and opportunities.,,28,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,29,11,,,Strategy,"Specifically, an entity shall disclose information to enable users of general purpose financial reports to understand: (a) the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects (see paragraphs 30–31); (b) the current and anticipated effects of those sustainability-related risks and opportunities on the entity’s business model and value chain (see paragraph 32); (c) the effects of those sustainability-related risks and opportunities on the entity’s strategy and decision-making (see paragraph 33); (d) the effects of those sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period, and their anticipated effects on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how those sustainability-related risks and opportunities have been factored into the entityʼs financial planning (see paragraphs 34–40); and (e) the resilience of the entity’s strategy and its business model to those sustainability-related risks (see paragraphs 41–42).",,29,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,30,12,,,Sustainability-related risks and opportunities,"An entity shall disclose information that enables users of general purpose financial reports to understand the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Specifically, the entity shall: (a) describe sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; (b) specify the time horizons—short, medium or long term—over which the effects of each of those sustainability-related risks and opportunities could reasonably be expected to occur; and (c) explain how the entity defines ‘short term’, ‘medium term’ and ‘long term’ and how these definitions are linked to the planning horizons used by the entity for strategic decision-making.",,30,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,31,12,,,Sustainability-related risks and opportunities,"Short-, medium-and long-term time horizons can vary between entities and depend on many factors, including industry-specific characteristics, such as cash flow, investment and business cycles, the planning horizons typically used in an entity’s industry for strategic decision-making and capital allocation plans, and the time horizons over which users of general purpose financial reports conduct their assessments of entities in that industry.",,31,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,32,12,,,Business model and value chain,"An entity shall disclose information that enables users of general purpose financial reports to understand the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain. Specifically, the entity shall disclose: (a) a description of the current and anticipated effects of sustainability-related risks and opportunities on the entity’s business model and value chain; and (b) a description of where in the entity’s business model and value chain sustainability-related risks and opportunities are concentrated (for example, geographical areas, facilities and types of assets).",,32,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,33,13,,,Strategy and decision-making,"An entity shall disclose information that enables users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on its strategy and decision-making. Specifically, the entity shall disclose information about: (a) how the entity has responded to, and plans to respond to, sustainability-related risks and opportunities in its strategy and decision-making; (b) the progress against plans the entity has disclosed in previous reporting periods, including quantitative and qualitative information; and (c) trade-offs between sustainability-related risks and opportunities that the entity considered (for example, in making a decision on the location of new operations, an entity might have considered the environmental impacts of those operations and the employment opportunities they would create in a community).",,33,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,34,13,,,"Financial position, financial performance and cash flows","An entity shall disclose information that enables users of general purpose financial reports to understand: (a) the effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows for the reporting period (current financial effects); and (b) the anticipated effects of sustainability-related risks and opportunities on the entity’s financial position, financial performance and cash flows over the short, medium and long term, taking into consideration how sustainability-related risks and opportunities are included in the entity’s financial planning (anticipated financial effects).",,34,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,35,13,,,"Financial position, financial performance and cash flows","Specifically, an entity shall disclose quantitative and qualitative information about: (a) how sustainability-related risks and opportunities have affected its financial position, financial performance and cash flows for the reporting period; (b) the sustainability-related risks and opportunities identified in paragraph 35(a) for which there is a significant risk of a material adjustment within the next annual reporting period to the carrying amounts of assets and liabilities reported in the related financial statements; (c) how the entity expects its financial position to change over the short, medium and long term, given its strategy to manage sustainability-related risks and opportunities, taking into consideration: (i) its investment and disposal plans (for example, plans for capital expenditure, major acquisitions and divestments, joint ventures, business transformation, innovation, new business areas, and asset retirements), including plans the entity is not contractually committed to; and (ii) its planned sources of funding to implement its strategy; and (d) how the entity expects its financial performance and cash flows to change over the short, medium and long term, given its strategy to manage sustainability-related risks and opportunities.",,35,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,36,14,,,"Financial position, financial performance and cash flows","In providing quantitative information, an entity may disclose a single amount or a range.",,36,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,37,14,,,"Financial position, financial performance and cash flows","In preparing disclosures about the anticipated financial effects of a sustainability-related risk or opportunity, an entity shall: (a) use all reasonable and supportable information that is available to the entity at the reporting date without undue cost or effort (see paragraphs B8–B10); and (b) use an approach that is commensurate with the skills, capabilities and resources that are available to the entity for preparing those disclosures.",,37,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,38,14,,,"Financial position, financial performance and cash flows",An entity need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity if the entity determines that: (a) those effects are not separately identifiable; or (b) the level of measurement uncertainty involved in estimating those effects is so high that the resulting quantitative information would not be useful (see paragraphs 77–82).,,38,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,39,14,,,"Financial position, financial performance and cash flows","In addition, an entity need not provide quantitative information about the anticipated financial effects of a sustainability-related risk or opportunity if the entity does not have the skills, capabilities or resources to provide that quantitative information.",,39,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,40,14,,,"Financial position, financial performance and cash flows","If an entity determines that it need not provide quantitative information about the current or anticipated financial effects of a sustainability-related risk or opportunity applying the criteria set out in paragraphs 38–39, the entity shall: (a) explain why it has not provided quantitative information; (b) provide qualitative information about those financial effects, including identifying line items, totals and subtotals within the related financial statements that are likely to be affected, or have been affected, by that sustainability-related risk or opportunity; and (c) provide quantitative information about the combined financial effects of that sustainability-related risk or opportunity with other sustainability-related risks or opportunities and other factors unless the entity determines that quantitative information about the combined financial effects would not be useful.",,40,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,41,15,,,Resilience,"An entity shall disclose information that enables users of general purpose financial reports to understand its capacity to adjust to the uncertainties arising from sustainability-related risks. An entity shall disclose a qualitative and, if applicable, quantitative assessment of the resilience of its strategy and business model in relation to its sustainability-related risks, including information about how the assessment was carried out and its time horizon. When providing quantitative information, an entity may disclose a single amount or a range.",,41,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,42,15,,,Resilience,"Other IFRS Sustainability Disclosure Standards may specify the type of information an entity is required to disclose about its resilience to specific sustainability-related risks and how to prepare those disclosures, including whether a scenario analysis is required.",,42,,Strategy,Strategy,auto_toc_body_range,1.0,[]
IFRS S1,43,15,,,Risk management,"The objective of sustainability-related financial disclosures on risk management is to enable users of general purpose financial reports: (a) to understand an entity’s processes to identify, assess, prioritise and monitor sustainability-related risks and opportunities, including whether and how those processes are integrated into and inform the entity’s overall risk management process; and (b) to assess the entity’s overall risk profile and its overall risk management process.",,43,,Risk Management,Risk management,auto_toc_body_range,1.0,[]
IFRS S1,44,15,,,Risk management,"To achieve this objective, an entity shall disclose information about: (a) the processes and related policies the entity uses to identify, assess, prioritise and monitor sustainability-related risks, including information about: (i) the inputs and parameters the entity uses (for example, information about data sources and the scope of operations covered in the processes); (ii) whether and how the entity uses scenario analysis to inform its identification of sustainability-related risks; (iii) how the entity assesses the nature, likelihood and magnitude of the effects of those risks (for example, whether the entity considers qualitative factors, quantitative thresholds or other criteria); (iv) whether and how the entity prioritises sustainability-related risks relative to other types of risk; (v) how the entity monitors sustainability-related risks; and (vi) whether and how the entity has changed the processes it uses compared with the previous reporting period; (b) the processes the entity uses to identify, assess, prioritise and monitor sustainability-related opportunities; and (c) the extent to which, and how, the processes for identifying, assessing, prioritising and monitoring sustainability-related risks and opportunities are integrated into and inform the entity’s overall risk management process.",,44,,Risk Management,Risk management,auto_toc_body_range,1.0,[]
IFRS S1,45,16,,,Metrics and targets,"The objective of sustainability-related financial disclosures on metrics and targets is to enable users of general purpose financial reports to understand an entity’s performance in relation to its sustainability-related risks and opportunities, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",,45,,Metrics and Targets,Metrics and targets,auto_toc_body_range,1.0,[]
IFRS S1,46,16,,,Metrics and targets,"An entity shall disclose, for each sustainability-related risk and opportunity that could reasonably be expected to affect the entity’s prospects: (a) metrics required by an applicable IFRS Sustainability Disclosure Standard; and (b) metrics the entity uses to measure and monitor: (i) that sustainability-related risk or opportunity; and (ii) its performance in relation to that sustainability-related risk or opportunity, including progress towards any targets the entity has set, and any targets it is required to meet by law or regulation.",,46,,Metrics and Targets,Metrics and targets,auto_toc_body_range,1.0,[]
IFRS S1,47,16,,,Metrics and targets,"In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply paragraphs 57–58 to identify applicable metrics.",,47,,Metrics and Targets,Metrics and targets,auto_toc_body_range,1.0,[]
IFRS S1,48,16,,,Metrics and targets,"Metrics disclosed by an entity applying paragraphs 45–46 shall include metrics associated with particular business models, activities or other common features that characterise participation in an industry.",,48,,Metrics and Targets,Metrics and targets,auto_toc_body_range,1.0,[]
IFRS S1,49,16,,,Metrics and targets,"If an entity discloses a metric taken from a source other than IFRS Sustainability Disclosure Standards, the entity shall identify the source and the metric taken.",,49,,Metrics and Targets,Metrics and targets,auto_toc_body_range,1.0,[]
IFRS S1,50,16,,,Metrics and targets,"If a metric has been developed by an entity, the entity shall disclose information about: (a) how the metric is defined, including whether it is derived by adjusting a metric taken from a source other than IFRS Sustainability Disclosure Standards and, if so, which source and how the metric disclosed by the entity differs from the metric specified in that source; (b) whether the metric is an absolute measure, a measure expressed in relation to another metric or a qualitative measure (such as a red, amber, green—or RAG—status); (c) whether the metric is validated by a third party and, if so, which party; and (d) the method used to calculate the metric and the inputs to the calculation, including the limitations of the method used and the significant assumptions made.",,50,,Metrics and Targets,Metrics and targets,auto_toc_body_range,1.0,[]
IFRS S1,51,17,,,Metrics and targets,"An entity shall disclose information about the targets it has set to monitor progress towards achieving its strategic goals, and any targets it is required to meet by law or regulation. For each target, the entity shall disclose: (a) the metric used to set the target and to monitor progress towards reaching the target; (b) the specific quantitative or qualitative target the entity has set or is required to meet; (c) the period over which the target applies; (d) the base period from which progress is measured; (e) any milestones and interim targets; (f) performance against each target and an analysis of trends or changes in the entity’s performance; and (g) any revisions to the target and an explanation for those revisions.",,51,,Metrics and Targets,Metrics and targets,auto_toc_body_range,1.0,[]
IFRS S1,52,17,,,Metrics and targets,"The definition and calculation of metrics, including metrics used to set the entity’s targets and monitor progress towards reaching them, shall be consistent over time. If a metric is redefined or replaced, an entity shall apply paragraph B52.",,52,,Metrics and Targets,Metrics and targets,auto_toc_body_range,1.0,[]
IFRS S1,53,17,,,Metrics and targets,"An entity shall label and define metrics and targets using meaningful, clear and precise names and descriptions.",,53,,Metrics and Targets,Metrics and targets,auto_toc_body_range,1.0,[]
IFRS S1,54,17,,,Identifying sustainability-related risks and opportunities,"In identifying sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply IFRS Sustainability Disclosure Standards.",,54,,General Requirements,Sources of guidance,auto_toc_body_range,1.0,[]
IFRS S1,55,17,,,Identifying sustainability-related risks and opportunities,In addition to IFRS Sustainability Disclosure Standards: (a) an entity shall refer to and consider the applicability of the disclosure topics in the SASB Standards. An entity might conclude that the disclosure topics in the SASB Standards are not applicable in the entity’s circumstances. (b) an entity may refer to and consider the applicability of: (i) the CDSB Framework Application Guidance for Water-related Disclosures and the CDSB Framework Application Guidance for Biodiversity-related Disclosures (collectively referred to as ‘CDSB Framework Application Guidance’); (ii) the most recent pronouncements of other standard-setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and (iii) the sustainability-related risks and opportunities identified by entities that operate in the same industry(s) or geographical region(s).,,55,,General Requirements,Sources of guidance,auto_toc_body_range,1.0,[]
IFRS S1,56,18,,,Identifying applicable disclosure requirements,"In identifying applicable disclosure requirements about a sustainability-related risk or opportunity that could reasonably be expected to affect an entity’s prospects, an entity shall apply the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity.",,56,,General Requirements,Sources of guidance,auto_toc_body_range,1.0,[]
IFRS S1,57,18,,,Identifying applicable disclosure requirements,"In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply judgement to identify information that: (a) is relevant to the decision-making of users of general purpose financial reports; and (b) faithfully represents that sustainability-related risk or opportunity.",,57,,General Requirements,Sources of guidance,auto_toc_body_range,1.0,[]
IFRS S1,58,18,,,Identifying applicable disclosure requirements,"In making the judgement described in paragraph 57: (a) an entity shall refer to and consider the applicability of the metrics associated with the disclosure topics included in the SASB Standards. An entity might conclude that the metrics specified in the SASB Standards are not applicable in the entity’s circumstances. (b) an entity may—to the extent that these sources do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of: (i) the CDSB Framework Application Guidance; (ii) the most recent pronouncements of other standard-setting bodies whose requirements are designed to meet the information needs of users of general purpose financial reports; and (iii) the information, including metrics, disclosed by entities that operate in the same industry(s) or geographical region(s). (c) an entity may—to the extent that these sources assist the entity in meeting the objective of this Standard (see paragraphs 1–4) and do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of the sources specified in Appendix C.",,58,,General Requirements,Sources of guidance,auto_toc_body_range,1.0,[]
IFRS S1,59,19,,,Disclosure of information about sources of guidance,"An entity shall identify: (a) the specific standards, pronouncements, industry practice and other sources of guidance that the entity has applied in preparing its sustainability-related financial disclosures, including, if applicable, identifying the disclosure topics in the SASB Standards; and (b) the industry(s) specified in the IFRS Sustainability Disclosure Standards, the SASB Standards or other sources of guidance relating to a particular industry(s) that the entity has applied in preparing its sustainability-related financial disclosures, including in identifying applicable metrics.",,59,,General Requirements,Sources of guidance,auto_toc_body_range,1.0,[]
IFRS S1,60,19,,,Location of disclosures,An entity is required to provide disclosures required by IFRS Sustainability Disclosure Standards as part of its general purpose financial reports.,,60,,General Requirements,Location of disclosures,auto_toc_body_range,1.0,[]
IFRS S1,61,19,,,Location of disclosures,"Subject to any regulation or other requirements that apply to an entity, there are various possible locations in its general purpose financial reports in which to disclose sustainability-related financial information. Sustainability-related financial disclosures could be included in an entity’s management commentary or a similar report when it forms part of an entity’s general purpose financial reports. Management commentary or a similar report is a required report in many jurisdictions. It might be known by or included in reports with various names, such as ‘management report’, ‘management’s discussion and analysis’, ‘operating and financial review’, ‘integrated report’ or ‘strategic report’.",,61,,General Requirements,Location of disclosures,auto_toc_body_range,1.0,[]
IFRS S1,62,19,,,Location of disclosures,"An entity may disclose information required by an IFRS Sustainability Disclosure Standard in the same location as information disclosed to meet other requirements, such as information required by regulators. The entity shall ensure that the sustainability-related financial disclosures are clearly identifiable and not obscured by that additional information (see paragraph B27).",,62,,General Requirements,Location of disclosures,auto_toc_body_range,1.0,[]
IFRS S1,63,19,,,Location of disclosures,"Information required by an IFRS Sustainability Disclosure Standard may be included in sustainability-related financial disclosures by cross-reference to another report published by the entity. If an entity includes information by cross-reference, the entity shall apply the requirements in paragraphs B45–B47.",,63,,General Requirements,Location of disclosures,auto_toc_body_range,1.0,[]
IFRS S1,64,20,,,Timing of reporting,An entity shall report its sustainability-related financial disclosures at the same time as its related financial statements. The entity’s sustainability-related financial disclosures shall cover the same reporting period as the related financial statements.,,64,,General Requirements,Timing of reporting,auto_toc_body_range,1.0,[]
IFRS S1,65,20,,,Timing of reporting,"Normally, an entity prepares sustainability-related financial disclosures for a 12-month period. However, for practical reasons, some entities prefer to report, for example, for a 52-week period. This Standard does not preclude that practice.",,65,,General Requirements,Timing of reporting,auto_toc_body_range,1.0,[]
IFRS S1,66,20,,,Timing of reporting,"When an entity changes the end of its reporting period and provides sustainability-related financial disclosures for a period longer or shorter than 12 months, it shall disclose: (a) the period covered by the sustainability-related financial disclosures; (b) the reason for using a longer or shorter period; and (c) the fact that the amounts disclosed in the sustainability-related financial disclosures are not entirely comparable.",,66,,General Requirements,Timing of reporting,auto_toc_body_range,1.0,[]
IFRS S1,67,20,,,Timing of reporting,"If, after the end of the reporting period but before the date on which the sustainability-related financial disclosures are authorised for issue, an entity receives information about conditions that existed at the end of the reporting period, it shall update disclosures that relate to those conditions in the light of the new information.",,67,,General Requirements,Timing of reporting,auto_toc_body_range,1.0,[]
IFRS S1,68,20,,,Timing of reporting,"An entity shall disclose information about transactions, other events and conditions that occur after the end of the reporting period, but before the date on which the sustainability-related financial disclosures are authorised for issue, if non-disclosure of that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports.",,68,,General Requirements,Timing of reporting,auto_toc_body_range,1.0,[]
IFRS S1,69,20,,,Timing of reporting,"This Standard does not mandate which entities would be required to provide interim sustainability-related financial disclosures, how frequently, or how soon after the end of an interim period. However, governments, securities regulators, stock exchanges and accountancy bodies may require entities whose debt or equity securities are publicly traded to publish interim general purpose financial reports. If an entity is required or elects to publish interim sustainability-related financial disclosures in accordance with IFRS Sustainability Disclosure Standards, the entity shall apply paragraph B48.",,69,,General Requirements,Timing of reporting,auto_toc_body_range,1.0,[]
IFRS S1,70,20,,,Comparative information,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise, an entity shall disclose comparative information in respect of the preceding period for all amounts disclosed in the reporting period. If such information would be useful for an understanding of the sustainability-related financial disclosures for the reporting period, the entity shall also disclose comparative information for narrative and descriptive sustainability-related financial information (see paragraphs B49–B59).",,70,,General Requirements,Comparative information,auto_toc_body_range,1.0,[]
IFRS S1,71,21,,,Comparative information,"Amounts reported in sustainability-related financial disclosures might relate, for example, to metrics and targets or to current and anticipated financial effects of sustainability-related risks and opportunities.",,71,,General Requirements,Comparative information,auto_toc_body_range,1.0,[]
IFRS S1,72,21,,,Statement of compliance,An entity whose sustainability-related financial disclosures comply with all the requirements of IFRS Sustainability Disclosure Standards shall make an explicit and unreserved statement of compliance. An entity shall not describe sustainability-related financial disclosures as complying with IFRS Sustainability Disclosure Standards unless they comply with all the requirements of IFRS Sustainability Disclosure Standards.,,72,,General Requirements,Statement of compliance,auto_toc_body_range,1.0,[]
