scope3_id,bank_id,reporting_year,category_number,category_name,included_flag,emissions_tco2e,calculation_method,data_source,pcaf_data_quality_score,exclusion_reason,is_synthetic
S3-BANK02-2022-C05,BANK02,2022,5,Waste generated in operations,True,389.3,average_data_method,spend_based_estimate,4.0,,True
S3-BANK02-2022-C06,BANK02,2022,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK02-2022-C07,BANK02,2022,7,Employee commuting,True,18996.1,average_data_method,spend_based_estimate,4.0,,True
S3-BANK02-2022-C08,BANK02,2022,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2022-C09,BANK02,2022,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2022-C10,BANK02,2022,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2022-C11,BANK02,2022,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2022-C12,BANK02,2022,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2022-C13,BANK02,2022,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2022-C14,BANK02,2022,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2022-C15,BANK02,2022,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK02-2023-C01,BANK02,2023,1,Purchased goods and services,True,11663.7,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK02-2023-C02,BANK02,2023,2,Capital goods,True,3169.3,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK02-2023-C03,BANK02,2023,3,Fuel- and energy-related activities,True,2496.6,average_data_method,spend_based_estimate,4.0,,True
S3-BANK02-2023-C04,BANK02,2023,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2023-C05,BANK02,2023,5,Waste generated in operations,True,413.0,average_data_method,spend_based_estimate,4.0,,True
S3-BANK02-2023-C06,BANK02,2023,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK02-2023-C07,BANK02,2023,7,Employee commuting,True,20483.8,average_data_method,spend_based_estimate,4.0,,True
S3-BANK02-2023-C08,BANK02,2023,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2023-C09,BANK02,2023,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2023-C10,BANK02,2023,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2023-C11,BANK02,2023,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2023-C12,BANK02,2023,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2023-C13,BANK02,2023,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2023-C14,BANK02,2023,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2023-C15,BANK02,2023,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK02-2024-C01,BANK02,2024,1,Purchased goods and services,True,11414.2,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK02-2024-C02,BANK02,2024,2,Capital goods,True,2643.2,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK02-2024-C03,BANK02,2024,3,Fuel- and energy-related activities,True,2156.3,average_data_method,spend_based_estimate,4.0,,True
S3-BANK02-2024-C04,BANK02,2024,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2024-C05,BANK02,2024,5,Waste generated in operations,True,375.7,average_data_method,spend_based_estimate,4.0,,True
S3-BANK02-2024-C06,BANK02,2024,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK02-2024-C07,BANK02,2024,7,Employee commuting,True,21069.0,average_data_method,spend_based_estimate,4.0,,True
S3-BANK02-2024-C08,BANK02,2024,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2024-C09,BANK02,2024,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2024-C10,BANK02,2024,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2024-C11,BANK02,2024,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2024-C12,BANK02,2024,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2024-C13,BANK02,2024,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2024-C14,BANK02,2024,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK02-2024-C15,BANK02,2024,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK03-2022-C01,BANK03,2022,1,Purchased goods and services,True,2005.6,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK03-2022-C02,BANK03,2022,2,Capital goods,True,516.4,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK03-2022-C03,BANK03,2022,3,Fuel- and energy-related activities,True,407.7,average_data_method,spend_based_estimate,4.0,,True
S3-BANK03-2022-C04,BANK03,2022,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2022-C05,BANK03,2022,5,Waste generated in operations,True,65.9,average_data_method,spend_based_estimate,4.0,,True
S3-BANK03-2022-C06,BANK03,2022,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK03-2022-C07,BANK03,2022,7,Employee commuting,True,5213.5,average_data_method,spend_based_estimate,4.0,,True
S3-BANK03-2022-C08,BANK03,2022,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2022-C09,BANK03,2022,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2022-C10,BANK03,2022,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2022-C11,BANK03,2022,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2022-C12,BANK03,2022,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2022-C13,BANK03,2022,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2022-C14,BANK03,2022,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2022-C15,BANK03,2022,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK03-2023-C01,BANK03,2023,1,Purchased goods and services,True,2339.4,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK03-2023-C02,BANK03,2023,2,Capital goods,True,630.6,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK03-2023-C03,BANK03,2023,3,Fuel- and energy-related activities,True,498.1,average_data_method,spend_based_estimate,4.0,,True
S3-BANK03-2023-C04,BANK03,2023,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2023-C05,BANK03,2023,5,Waste generated in operations,True,82.5,average_data_method,spend_based_estimate,4.0,,True
S3-BANK03-2023-C06,BANK03,2023,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK03-2023-C07,BANK03,2023,7,Employee commuting,True,5370.7,average_data_method,spend_based_estimate,4.0,,True
S3-BANK03-2023-C08,BANK03,2023,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2023-C09,BANK03,2023,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2023-C10,BANK03,2023,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2023-C11,BANK03,2023,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2023-C12,BANK03,2023,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2023-C13,BANK03,2023,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2023-C14,BANK03,2023,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2023-C15,BANK03,2023,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK03-2024-C01,BANK03,2024,1,Purchased goods and services,True,1923.2,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK03-2024-C02,BANK03,2024,2,Capital goods,True,462.0,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK03-2024-C03,BANK03,2024,3,Fuel- and energy-related activities,True,350.0,average_data_method,spend_based_estimate,4.0,,True
S3-BANK03-2024-C04,BANK03,2024,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2024-C05,BANK03,2024,5,Waste generated in operations,True,62.6,average_data_method,spend_based_estimate,4.0,,True
S3-BANK03-2024-C06,BANK03,2024,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK03-2024-C07,BANK03,2024,7,Employee commuting,True,5241.3,average_data_method,spend_based_estimate,4.0,,True
S3-BANK03-2024-C08,BANK03,2024,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2024-C09,BANK03,2024,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2024-C10,BANK03,2024,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2024-C11,BANK03,2024,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2024-C12,BANK03,2024,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2024-C13,BANK03,2024,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2024-C14,BANK03,2024,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK03-2024-C15,BANK03,2024,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK04-2022-C01,BANK04,2022,1,Purchased goods and services,True,321.0,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK04-2022-C02,BANK04,2022,2,Capital goods,True,84.2,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK04-2022-C03,BANK04,2022,3,Fuel- and energy-related activities,True,67.4,average_data_method,spend_based_estimate,4.0,,True
S3-BANK04-2022-C04,BANK04,2022,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2022-C05,BANK04,2022,5,Waste generated in operations,True,11.3,average_data_method,spend_based_estimate,4.0,,True
S3-BANK04-2022-C06,BANK04,2022,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK04-2022-C07,BANK04,2022,7,Employee commuting,True,547.3,average_data_method,spend_based_estimate,4.0,,True
S3-BANK04-2022-C08,BANK04,2022,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2022-C09,BANK04,2022,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2022-C10,BANK04,2022,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2022-C11,BANK04,2022,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2022-C12,BANK04,2022,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2022-C13,BANK04,2022,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2022-C14,BANK04,2022,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2022-C15,BANK04,2022,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK04-2023-C01,BANK04,2023,1,Purchased goods and services,True,294.8,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK04-2023-C02,BANK04,2023,2,Capital goods,True,73.3,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK04-2023-C03,BANK04,2023,3,Fuel- and energy-related activities,True,62.2,average_data_method,spend_based_estimate,4.0,,True
S3-BANK04-2023-C04,BANK04,2023,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2023-C05,BANK04,2023,5,Waste generated in operations,True,10.3,average_data_method,spend_based_estimate,4.0,,True
S3-BANK04-2023-C06,BANK04,2023,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK04-2023-C07,BANK04,2023,7,Employee commuting,True,530.9,average_data_method,spend_based_estimate,4.0,,True
S3-BANK04-2023-C08,BANK04,2023,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2023-C09,BANK04,2023,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2023-C10,BANK04,2023,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2023-C11,BANK04,2023,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2023-C12,BANK04,2023,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2023-C13,BANK04,2023,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2023-C14,BANK04,2023,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2023-C15,BANK04,2023,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK04-2024-C01,BANK04,2024,1,Purchased goods and services,True,335.5,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK04-2024-C02,BANK04,2024,2,Capital goods,True,88.4,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK04-2024-C03,BANK04,2024,3,Fuel- and energy-related activities,True,71.9,average_data_method,spend_based_estimate,4.0,,True
S3-BANK04-2024-C04,BANK04,2024,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2024-C05,BANK04,2024,5,Waste generated in operations,True,11.2,average_data_method,spend_based_estimate,4.0,,True
S3-BANK04-2024-C06,BANK04,2024,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK04-2024-C07,BANK04,2024,7,Employee commuting,True,527.6,average_data_method,spend_based_estimate,4.0,,True
S3-BANK04-2024-C08,BANK04,2024,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2024-C09,BANK04,2024,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2024-C10,BANK04,2024,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2024-C11,BANK04,2024,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2024-C12,BANK04,2024,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2024-C13,BANK04,2024,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2024-C14,BANK04,2024,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK04-2024-C15,BANK04,2024,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK05-2022-C01,BANK05,2022,1,Purchased goods and services,True,1091.4,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK05-2022-C02,BANK05,2022,2,Capital goods,True,290.7,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK05-2022-C03,BANK05,2022,3,Fuel- and energy-related activities,True,226.0,average_data_method,spend_based_estimate,4.0,,True
S3-BANK05-2022-C04,BANK05,2022,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2022-C05,BANK05,2022,5,Waste generated in operations,True,36.0,average_data_method,spend_based_estimate,4.0,,True
S3-BANK05-2022-C06,BANK05,2022,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK05-2022-C07,BANK05,2022,7,Employee commuting,True,1235.0,average_data_method,spend_based_estimate,4.0,,True
S3-BANK05-2022-C08,BANK05,2022,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2022-C09,BANK05,2022,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2022-C10,BANK05,2022,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2022-C11,BANK05,2022,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2022-C12,BANK05,2022,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2022-C13,BANK05,2022,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2022-C14,BANK05,2022,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2022-C15,BANK05,2022,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK05-2023-C01,BANK05,2023,1,Purchased goods and services,True,1106.0,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK05-2023-C02,BANK05,2023,2,Capital goods,True,289.9,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK05-2023-C03,BANK05,2023,3,Fuel- and energy-related activities,True,241.0,average_data_method,spend_based_estimate,4.0,,True
S3-BANK05-2023-C04,BANK05,2023,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2023-C05,BANK05,2023,5,Waste generated in operations,True,40.4,average_data_method,spend_based_estimate,4.0,,True
S3-BANK05-2023-C06,BANK05,2023,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK05-2023-C07,BANK05,2023,7,Employee commuting,True,1184.5,average_data_method,spend_based_estimate,4.0,,True
S3-BANK05-2023-C08,BANK05,2023,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2023-C09,BANK05,2023,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2023-C10,BANK05,2023,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2023-C11,BANK05,2023,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2023-C12,BANK05,2023,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2023-C13,BANK05,2023,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2023-C14,BANK05,2023,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2023-C15,BANK05,2023,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
S3-BANK05-2024-C01,BANK05,2024,1,Purchased goods and services,True,1167.9,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK05-2024-C02,BANK05,2024,2,Capital goods,True,304.8,spend_based_eeio,spend_based_estimate,4.0,,True
S3-BANK05-2024-C03,BANK05,2024,3,Fuel- and energy-related activities,True,241.7,average_data_method,spend_based_estimate,4.0,,True
S3-BANK05-2024-C04,BANK05,2024,4,Upstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2024-C05,BANK05,2024,5,Waste generated in operations,True,40.0,average_data_method,spend_based_estimate,4.0,,True
S3-BANK05-2024-C06,BANK05,2024,6,Business travel (reported in operational Scope 3 travel),True,,reported_separately,cross_reference,,,True
S3-BANK05-2024-C07,BANK05,2024,7,Employee commuting,True,1191.7,average_data_method,spend_based_estimate,4.0,,True
S3-BANK05-2024-C08,BANK05,2024,8,Upstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2024-C09,BANK05,2024,9,Downstream transportation and distribution,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2024-C10,BANK05,2024,10,Processing of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2024-C11,BANK05,2024,11,Use of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2024-C12,BANK05,2024,12,End-of-life treatment of sold products,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2024-C13,BANK05,2024,13,Downstream leased assets,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2024-C14,BANK05,2024,14,Franchises,False,,,,,Not relevant to a banking business model / assessed not material,True
S3-BANK05-2024-C15,BANK05,2024,15,Financed emissions (reported in the financed-emissions section),True,,reported_separately,cross_reference,,,True
