vehicle_id,bank_id,vehicle_type,fuel_type,registration_year,emissions_g_co2_per_km,annual_km_2024,annual_fuel_consumption_l,annual_electricity_consumption_kwh,annual_km_2022,annual_km_2023,scope1_tco2e_2024,emission_factor_source,scope1_check,scope1_delta_pct,scope1_recalc,delta_pct,scope1_fuel_path,delta_fuel_path,scope1_tco2e_2024_clean,scope1_tco2e_2024_original
VEH0012,BANK01,executive,diesel,2019,168,21704,1154.5,0.0,21157,21954,3.082515,WLTP,3.646272,15.4616002316887,3.646272,0.0004866180048621,0.0,,3.082515,3.0825
VEH0013,BANK01,sedan,electric,2021,0,20430,0.0,3677.4,21685,21303,0.0,manufacturer_declared,0.0,,0.0,,0.0,,0.0,0.0
VEH0014,BANK01,van,diesel,2023,142,28579,2025.6,0.0,27887,28265,5.408352,WLTP,4.058218,33.270317168767185,4.058218,0.0008875083203996,0.0,,5.408352,5.4084
VEH0015,BANK01,van,electric,2019,4,33889,0.0,6100.0,31552,32935,0.0,WLTP,0.135556,0.0324589099707784,0.135556,100.0,0.0,,0.0,0.1356
VEH0016,BANK01,suv,hybrid,2018,91,23610,2096.2,0.0,24878,24011,5.596854,DEFRA_fleet_average,2.14851,160.5014638051487,2.14851,0.0008218835426633,5.617816,0.3723155048153894,5.596854,5.5969
VEH0017,BANK01,sedan,diesel,2022,165,14374,979.3,0.0,13651,14162,2.614731,manufacturer_declared,2.37171,10.24535040118732,2.37171,0.0011856044670475,0.0,,2.614731,2.6147
VEH0018,BANK01,suv,diesel,2024,160,28404,1684.9,0.0,28906,26779,4.498683,WLTP,4.54464,1.010861146317417,4.54464,0.0003778869451308,0.0,,4.498683,4.4987
VEH0019,BANK01,suv,diesel,2020,169,23608,2069.3,0.0,22127,24301,5.525031,NEDC,3.989752,38.47978520970727,3.989752,0.0005610859728487,0.0,,5.525031,5.525
VEH0020,BANK01,compact,hybrid,2023,90,13239,1145.1,0.0,12445,14023,3.057417,DEFRA_fleet_average,1.19151,156.59876962845462,1.19151,0.0005560279976501,3.068868,0.3736882785444096,3.057417,3.0574
VEH0021,BANK01,executive,diesel,2019,174,8878,590.2,0.0,9065,9198,1.575834,DEFRA_fleet_average,1.544772,2.0085812016271696,1.544772,0.0021576342175318,0.0,,1.575834,1.5758
VEH0022,BANK01,suv,petrol,2018,143,12939,937.2,0.0,13535,12965,2.502324,DEFRA_fleet_average,1.850277,35.239210129077975,1.850277,0.0009591176118069,2.1649320000000003,15.583307004561789,2.502324,2.5023
VEH0023,BANK01,executive,petrol,2022,150,11972,1003.4,0.0,12314,11841,2.679078,DEFRA_fleet_average,1.7958,49.18699186991869,1.7958,0.0008211712888644,2.317854,15.585364738244964,2.679078,2.6791
VEH0024,BANK01,van,electric,2022,2,29075,0.0,5233.5,28978,29250,0.0,NEDC,0.05815,0.085984522785901,0.05815,100.0,0.0,,0.0,0.0582
VEH0025,BANK01,van,diesel,2024,143,10470,783.4,0.0,9993,10079,2.091678,WLTP,1.49721,39.70652079534601,1.49721,0.001051776067312,0.0,,2.091678,2.0917
VEH0026,BANK01,sedan,hybrid,2021,96,19494,1256.0,0.0,21013,18976,3.35352,DEFRA_fleet_average,1.871424,79.19509421702404,1.871424,0.0005963918294358,3.36608,0.3737284913014621,3.35352,3.3535
VEH0027,BANK01,executive,hybrid,2022,86,8450,604.5,0.0,7939,8433,1.614015,DEFRA_fleet_average,0.7267,122.0999036741434,0.7267,0.0009293680297321,1.6200600000000005,0.374060219991863,1.614015,1.614
VEH0028,BANK01,compact,hybrid,2020,108,10196,514.6,0.0,9827,9806,1.373982,WLTP,1.101168,24.776600845647547,1.101168,0.0013100436681276,1.379128,0.3718291558144002,1.373982,1.374
VEH0029,BANK01,sedan,electric,2021,5,8787,0.0,1581.7,8517,8749,0.0,WLTP,0.043935,0.0796631387276665,0.043935,100.0,0.0,,0.0,0.0439
VEH0030,BANK01,executive,petrol,2023,171,19454,1580.7,0.0,19302,19943,4.220469,DEFRA_fleet_average,3.326634,26.869983292421125,3.326634,0.0007345101291501,3.651417,15.585264569891631,4.220469,4.2205
VEH0031,BANK01,van,diesel,2022,130,27257,2183.9,0.0,27961,26074,5.831013,DEFRA_fleet_average,3.54341,64.55899825309518,3.54341,0.0002229463213711,0.0,,5.831013,5.831
VEH0032,BANK01,suv,diesel,2021,158,13766,915.3,0.0,13729,13382,2.443851,NEDC,2.175028,12.361771894430785,2.175028,0.0020049920209578,0.0,,2.443851,2.4439
VEH0033,BANK01,compact,diesel,2020,141,24439,1324.0,0.0,25834,25698,3.53508,DEFRA_fleet_average,3.445899,2.5886133052651887,3.445899,0.0005657548584235,0.0,,3.53508,3.5351
VEH0034,BANK01,van,electric,2024,2,9289,0.0,1672.0,9739,8840,0.0,DEFRA_fleet_average,0.018578,0.1184196361287421,0.018578,100.0,0.0,,0.0,0.0186
VEH0035,BANK01,van,electric,2018,1,33081,0.0,5954.6,30990,32918,0.0,DEFRA_fleet_average,0.033081,0.0574347812943931,0.033081,100.0,0.0,,0.0,0.0331
VEH0036,BANK01,sedan,petrol,2021,198,12791,1088.1,0.0,12395,13219,2.905227,NEDC,2.532618,14.711338227873291,2.532618,0.0009293680297473,2.513511,15.583341389793,2.905227,2.9052
VEH0037,BANK01,executive,diesel,2020,168,14592,791.8,0.0,13898,15364,2.114106,NEDC,2.451456,13.761454417293226,2.451456,0.0002838087129251,0.0,,2.114106,2.1141
VEH0038,BANK01,van,hybrid,2018,104,22717,1537.1,0.0,24231,23213,4.104057,DEFRA_fleet_average,2.362568,73.71351851036668,2.362568,0.0010477327550447,4.119428,0.37209049411715,4.104057,4.1041
VEH0039,BANK01,executive,hybrid,2022,101,21745,1727.2,0.0,20698,22852,4.611624,manufacturer_declared,2.196245,109.97657365184668,2.196245,0.0005204267499306,4.628896000000001,0.3736528105189847,4.611624,4.6116
VEH0040,BANK01,van,hybrid,2021,108,25462,1548.8,0.0,24389,24317,4.135296,DEFRA_fleet_average,2.749896,50.38023256152232,2.749896,9.672816965325209e-05,4.150784000000001,0.3730379610213569,4.135296,4.1353
VEH0041,BANK01,compact,diesel,2021,171,34576,2615.5,0.0,33483,35247,6.983385,manufacturer_declared,5.912496,18.112553479951607,5.912496,0.0002147950854803,0.0,,6.983385,6.9834
VEH0042,BANK01,executive,electric,2019,2,22666,0.0,4079.9,21023,21932,0.0,DEFRA_fleet_average,0.045332,0.0705903114797434,0.045332,100.0,0.0,,0.0,0.0453
VEH0043,BANK01,compact,petrol,2021,179,15098,786.5,0.0,14124,15453,2.099955,manufacturer_declared,2.702542,22.29537968327597,2.702542,0.0021428571428606,1.816815,15.58689244639658,2.099955,2.1
VEH0044,BANK01,van,electric,2020,2,22128,0.0,3983.0,23733,21809,0.0,manufacturer_declared,0.044256,0.0994215473608152,0.044256,100.0,0.0,,0.0,0.0443
VEH0045,BANK01,compact,petrol,2022,149,16088,813.8,0.0,16564,15643,2.172846,manufacturer_declared,2.397112,9.357593637677333,2.397112,0.0021170839469701,1.879878,15.581968617112391,2.172846,2.1728
VEH0046,BANK01,suv,diesel,2021,170,27306,1741.6,0.0,27753,26314,4.650072,WLTP,4.64202,0.1740621539760822,4.64202,0.0006021375884467,0.0,,4.650072,4.6501
VEH0047,BANK01,suv,hybrid,2021,91,27002,2322.1,0.0,25592,27981,6.200007,NEDC,2.457182,152.32156185418907,2.457182,0.0001129032258079,6.223228,0.3732468101763198,6.200007,6.2
VEH0048,BANK01,suv,hybrid,2023,104,33474,2971.2,0.0,35293,33329,7.933104,WLTP,3.481296,127.8777788501753,3.481296,5.04216510640117e-05,7.962816,0.3731845618434548,7.933104,7.9331
VEH0049,BANK01,compact,petrol,2018,153,33438,1860.5,0.0,35949,33147,4.967535,manufacturer_declared,5.116014,2.9029240342188194,5.116014,0.0007045797684864,4.297755,15.583601205745785,4.967535,4.9675
VEH0050,BANK01,sedan,diesel,2018,139,16164,1165.5,0.0,17169,16899,3.111885,DEFRA_fleet_average,2.246796,38.50389621487666,2.246796,0.000482020630479,0.0,,3.111885,3.1119
VEH0051,BANK01,executive,diesel,2018,166,19433,1257.2,0.0,18219,19689,3.356724,NEDC,3.225878,4.055392051404307,3.225878,0.0007149879345727,0.0,,3.356724,3.3567
VEH0052,BANK01,compact,diesel,2018,179,20725,1042.0,0.0,20616,20314,2.78214,WLTP,3.709775,25.0062335316832,3.709775,0.0014377628410287,0.0,,2.78214,2.7821
VEH0053,BANK01,executive,petrol,2019,140,24092,1597.1,0.0,22980,23189,4.264257,manufacturer_declared,3.37288,26.42904580062144,3.37288,0.0010083718312661,3.689301,15.585581116856568,4.264257,4.2643
VEH0054,BANK01,van,petrol,2018,153,14625,1211.6,0.0,14191,14697,3.234972,manufacturer_declared,2.237625,44.57292888665437,2.237625,0.000865533230291,2.798796,15.585416014600566,3.234972,3.235
VEH0055,BANK01,suv,electric,2022,5,14194,0.0,2554.9,14823,13540,0.0,DEFRA_fleet_average,0.07097,0.0422713822741839,0.07097,100.0,0.0,,0.0,0.071
VEH0056,BANK01,executive,petrol,2023,199,16747,1240.7,0.0,16451,16705,3.312669,WLTP,3.332653,0.5987121971594435,3.332653,0.0009357925559178,2.8660170000000003,15.585497224894327,3.312669,3.3127
VEH0057,BANK01,compact,hybrid,2024,105,32129,1662.4,0.0,32354,32014,4.438608,DEFRA_fleet_average,3.373545,31.570795706000663,3.373545,0.0001802370116755,4.4552320000000005,0.3733138925200847,4.438608,4.4386
VEH0058,BANK01,van,diesel,2024,154,11254,670.6,0.0,11975,11461,1.790502,DEFRA_fleet_average,1.733116,3.311030536905774,1.733116,0.0001117006422819,0.0,,1.790502,1.7905
VEH0059,BANK01,executive,hybrid,2018,81,32027,2536.0,0.0,30765,30926,6.77112,DEFRA_fleet_average,2.594187,161.01048228211766,2.594187,0.0002953729822352,6.796480000000001,0.3734285983332706,6.77112,6.7711
VEH0060,BANK01,compact,petrol,2022,200,14454,975.8,0.0,15004,14761,2.605386,DEFRA_fleet_average,2.8908,9.872699598727,2.8908,0.0005373455131548,2.254098,15.58503667542405,2.605386,2.6054
VEH0061,BANK01,executive,petrol,2023,194,15810,1080.4,0.0,17051,16041,2.884668,manufacturer_declared,3.06714,5.948212341138655,3.06714,0.0011093007938444,2.495724,15.5856977774786,2.884668,2.8847
VEH0062,BANK01,compact,diesel,2024,160,31195,1935.4,0.0,33098,30791,5.167518,manufacturer_declared,4.9912,3.532216701394461,4.9912,0.0003483309143657,0.0,,5.167518,5.1675
VEH0063,BANK01,compact,diesel,2018,162,22323,1583.6,0.0,20597,21514,4.228212,NEDC,3.616326,16.91976884827309,3.616326,0.0002838087129251,0.0,,4.228212,4.2282
VEH0064,BANK01,van,diesel,2019,149,10197,709.3,0.0,9963,9943,1.893831,NEDC,1.519353,24.645161460174165,1.519353,0.0016369204773531,0.0,,1.893831,1.8938
VEH0065,BANK01,executive,diesel,2022,146,11566,809.9,0.0,12039,11509,2.162433,WLTP,1.688636,28.056016808832684,1.688636,0.0015260821309735,0.0,,2.162433,2.1624
VEH0066,BANK01,suv,diesel,2018,173,26741,2014.1,0.0,26010,26679,5.377647,DEFRA_fleet_average,4.626193,16.24244816418166,4.626193,0.000873995834563,0.0,,5.377647,5.3776
VEH0067,BANK01,executive,diesel,2024,167,34247,2831.8,0.0,36159,34135,7.560906,WLTP,5.719249,32.200923582799085,5.719249,7.935563226534525e-05,0.0,,7.560906,7.5609
VEH0068,BANK01,compact,diesel,2023,131,8468,701.9,0.0,8396,8630,1.874073,DEFRA_fleet_average,1.109308,68.94316096160851,1.109308,0.0014406915319352,0.0,,1.874073,1.8741
VEH0069,BANK01,van,diesel,2022,130,17485,1055.1,0.0,16775,17005,2.817117,NEDC,2.27305,23.934801258221327,2.27305,0.0006034574562548,0.0,,2.817117,2.8171
VEH0070,BANK01,sedan,hybrid,2020,94,23826,1982.4,0.0,22662,23455,5.293008,NEDC,2.239644,136.33220279651584,2.239644,0.0001511430190861,5.312832,0.3732849071832136,5.293008,5.293
VEH0071,BANK01,compact,petrol,2021,200,29296,1473.1,0.0,28530,30312,3.933177,WLTP,5.8592,32.87138175860186,5.8592,0.0005847655852654,3.402861,15.585091486252308,3.933177,3.9332
VEH0072,BANK01,sedan,diesel,2018,144,26898,1777.3,0.0,27771,27669,4.745391,NEDC,3.873312,22.51530473145464,3.873312,0.0001896573523911,0.0,,4.745391,4.7454
VEH0073,BANK01,compact,hybrid,2024,91,21129,1748.8,0.0,19919,22002,4.669296,WLTP,1.922739,142.84627294708224,1.922739,8.566594563791003e-05,4.686784,0.3730489819885128,4.669296,4.6693
VEH0074,BANK01,compact,electric,2021,3,31579,0.0,5684.2,31053,31571,0.0,NEDC,0.094737,0.0390554904630665,0.094737,100.0,0.0,,0.0,0.0947
VEH0075,BANK01,van,diesel,2019,132,26420,1329.9,0.0,24760,26709,3.550833,NEDC,3.48744,1.81680545041636,3.48744,0.0009293680297321,0.0,,3.550833,3.5508
VEH0076,BANK01,compact,petrol,2020,181,27205,1718.8,0.0,28977,26210,4.589196,manufacturer_declared,4.924105,6.801337501941977,4.924105,8.716116097949388e-05,3.970428,15.584516329221934,4.589196,4.5892
VEH0077,BANK01,van,diesel,2022,153,10032,751.7,0.0,10581,10532,2.007039,manufacturer_declared,1.534896,30.75804484473216,1.534896,0.0019431988041693,0.0,,2.007039,2.007
VEH0078,BANK01,compact,petrol,2019,177,24425,1678.5,0.0,25153,23632,4.481595,manufacturer_declared,4.323225,3.6633531680632014,4.323225,0.0001115672973895,3.877335,15.58454453896814,4.481595,4.4816
VEH0079,BANK01,sedan,diesel,2023,130,22127,1725.8,0.0,21761,21262,4.607886,manufacturer_declared,2.87651,60.19064769460213,2.87651,0.0003038260378953,0.0,,4.607886,4.6079
VEH0080,BANK01,executive,diesel,2024,168,13576,970.0,0.0,13641,14046,2.5899,WLTP,2.280768,13.553855543395906,2.280768,0.0,0.0,,2.5899,2.5899
VEH0081,BANK01,van,hybrid,2018,100,33726,1769.5,0.0,31549,35132,4.724565,DEFRA_fleet_average,3.3726,40.087766115163376,3.3726,0.0007408034542514,4.74226,0.3723962836284858,4.724565,4.7246
VEH0082,BANK01,executive,hybrid,2018,89,14624,875.0,0.0,14314,13776,2.33625,NEDC,1.301536,79.50329456887862,1.301536,0.0021401361126517,2.345,0.3710021321961685,2.33625,2.3363
VEH0083,BANK01,sedan,hybrid,2022,88,14356,1117.6,0.0,14581,14169,2.983992,DEFRA_fleet_average,1.263328,136.20152486131866,1.263328,0.0002680965147381,2.995168,0.3728672314875181,2.983992,2.984
VEH0084,BANK01,sedan,electric,2018,1,10588,0.0,1905.8,9833,10281,0.0,NEDC,0.010588,0.1133358519078188,0.010588,100.0,0.0,,0.0,0.0106
VEH0085,BANK01,van,hybrid,2020,88,21123,1480.1,0.0,20080,21880,3.951867,manufacturer_declared,1.858824,112.60216136654142,1.858824,0.0008350413725087,3.966668,0.3723023958647437,3.951867,3.9519
VEH0086,BANK01,van,diesel,2020,153,12372,694.6,0.0,12199,13048,1.854582,WLTP,1.892916,2.024178568938084,1.892916,0.0009705596894248,0.0,,1.854582,1.8546
VEH0087,BANK01,executive,diesel,2021,142,21502,1880.5,0.0,22792,21883,5.020935,NEDC,3.053284,64.44261326493049,3.053284,0.0006970861797598,0.0,,5.020935,5.0209
VEH0088,BANK01,sedan,diesel,2021,143,18399,1624.7,0.0,17370,18398,4.337949,WLTP,2.631057,64.87290089116276,2.631057,0.0011295788284594,0.0,,4.337949,4.3379
VEH0089,BANK01,sedan,hybrid,2023,100,31351,1870.4,0.0,30590,31124,4.993968,WLTP,3.1351,59.29316449236068,3.1351,0.0006407689227078,5.012672,0.372495946273773,4.993968,4.994
VEH0090,BANK01,suv,diesel,2023,169,22156,1982.5,0.0,21276,22053,5.293275,NEDC,3.744364,41.3671320416498,3.744364,0.0004722951655855,0.0,,5.293275,5.2933
VEH0091,BANK01,executive,hybrid,2021,102,19645,1504.3,0.0,19898,18733,4.016481,NEDC,2.00379,100.44515642856786,2.00379,0.0004730486742186,4.031524,0.3726630425615814,4.016481,4.0165
VEH0092,BANK01,compact,diesel,2018,139,18715,1454.2,0.0,19766,17668,3.882714,NEDC,2.601385,49.25510833652073,2.601385,0.0003605738274958,0.0,,3.882714,3.8827
VEH0093,BANK01,compact,petrol,2019,147,34942,2115.7,0.0,33760,33169,5.648919,NEDC,5.136474,9.97622104190541,5.136474,0.0003363486696523,4.887267,15.584026819079064,5.648919,5.6489
VEH0094,BANK01,suv,diesel,2022,160,21792,1260.4,0.0,21479,22830,3.365268,WLTP,3.48672,3.482355910425847,3.48672,0.0009508810507245,0.0,,3.365268,3.3653
VEH0095,BANK01,compact,hybrid,2022,109,12501,1055.1,0.0,11718,13124,2.817117,manufacturer_declared,1.362609,106.74309358003651,1.362609,0.0006034574562548,2.827668,0.3737355304795376,2.817117,2.8171
VEH0096,BANK01,compact,hybrid,2021,110,14266,1035.5,0.0,13905,13916,2.764785,NEDC,1.56926,76.18495341753437,1.56926,0.0005425347222338,2.7751400000000004,0.3725938150868149,2.764785,2.7648
VEH0097,BANK01,compact,hybrid,2024,82,12296,652.7,0.0,11562,12800,1.742709,manufacturer_declared,1.008272,72.84026532522968,1.008272,0.0005164400068943,1.7492360000000002,0.3736488386930247,1.742709,1.7427
VEH0098,BANK01,suv,hybrid,2024,105,31602,1591.5,0.0,30320,32224,4.249305,manufacturer_declared,3.31821,28.06000825746411,3.31821,0.0001176664391737,4.26522,0.3732515556055813,4.249305,4.2493
VEH0099,BANK01,sedan,petrol,2024,150,12214,1031.1,0.0,11835,12667,2.753037,manufacturer_declared,1.8321,50.26472354129141,1.8321,0.001343988376311,2.381841,15.582862164183084,2.753037,2.753
VEH0100,BANK01,van,diesel,2023,170,16978,1389.8,0.0,18106,17573,3.710766,DEFRA_fleet_average,2.88626,28.56776589773616,2.88626,0.0009162444755812,0.0,,3.710766,3.7108
VEH0101,BANK01,suv,diesel,2019,147,21666,1114.2,0.0,22657,22409,2.974914,DEFRA_fleet_average,3.184902,6.593672269978801,3.184902,0.0004706040539238,0.0,,2.974914,2.9749
VEH0102,BANK01,suv,diesel,2022,170,33951,1985.6,0.0,32607,33455,5.301552,NEDC,5.77167,8.144436532234183,5.77167,0.0009053870529576,0.0,,5.301552,5.3016
VEH0103,BANK01,suv,petrol,2021,149,14180,781.7,0.0,15240,13360,2.087139,WLTP,2.11282,1.2173303925559291,2.11282,0.0018686215322755,1.805727,15.58225578949641,2.087139,2.0871
VEH0104,BANK01,sedan,diesel,2023,130,15701,1095.6,0.0,14803,15693,2.925252,WLTP,2.04113,43.31767207380226,2.04113,0.0016408573479659,0.0,,2.925252,2.9253
VEH0105,BANK01,van,diesel,2019,148,10147,532.2,0.0,10714,10554,1.420974,NEDC,1.501756,5.377438145744052,1.501756,0.0018296973962055,0.0,,1.420974,1.421
VEH0106,BANK01,sedan,hybrid,2021,89,19354,1184.5,0.0,18050,19084,3.162615,manufacturer_declared,1.722506,83.60458541218432,1.722506,0.0004742933029886,3.17446,0.3736068496689195,3.162615,3.1626
VEH0107,BANK01,suv,diesel,2022,177,16085,839.1,0.0,15352,15855,2.240397,NEDC,2.847045,21.30788238331322,2.847045,0.000133904659881,0.0,,2.240397,2.2404
VEH0108,BANK01,suv,petrol,2020,190,8800,535.0,0.0,9080,8714,1.42845,manufacturer_declared,1.672,14.569377990430624,1.672,0.0035004200504134,1.23585,15.580369785977243,1.42845,1.4284
VEH0109,BANK01,compact,diesel,2021,169,8394,452.0,0.0,8958,7970,1.20684,DEFRA_fleet_average,1.418586,14.92937333372808,1.418586,0.0033145508783408,0.0,,1.20684,1.2068
VEH0110,BANK01,suv,petrol,2019,161,30592,2455.3,0.0,31264,30742,6.555651,DEFRA_fleet_average,4.925312,33.10222783856129,4.925312,0.0007474411580722,5.671743,15.58527951636736,6.555651,6.5557
VEH0111,BANK01,van,petrol,2020,154,22292,1344.0,0.0,21909,22271,3.58848,DEFRA_fleet_average,3.432968,4.530540337107715,3.432968,0.0005573359342256,3.10464,15.585059781488352,3.58848,3.5885
VEH0112,BANK01,suv,diesel,2020,152,23591,1482.0,0.0,24518,23082,3.95694,NEDC,3.585832,10.348170243335444,3.585832,0.0010108923652308,0.0,,3.95694,3.9569
VEH0113,BANK01,compact,petrol,2021,169,13889,932.2,0.0,14036,14458,2.488974,NEDC,2.347241,6.039388371283561,2.347241,0.0010445962233861,2.153382,15.585622987468073,2.488974,2.489
VEH0114,BANK01,executive,diesel,2023,143,34169,2897.5,0.0,32871,35525,7.736325,NEDC,4.886167,58.330650589715816,4.886167,0.0003231518943156,0.0,,7.736325,7.7363
VEH0115,BANK01,sedan,petrol,2020,185,12549,657.0,0.0,13170,12710,1.75419,manufacturer_declared,2.321565,24.438902206054973,2.321565,0.0005700604264089,1.51767,15.585074489184072,1.75419,1.7542
VEH0116,BANK01,suv,petrol,2022,156,28859,1501.3,0.0,30202,28421,4.008471,WLTP,4.502004,10.961873867726474,4.502004,0.0007234626418763,3.468003,15.585251800531886,4.008471,4.0085
VEH0117,BANK01,van,diesel,2022,164,28087,1607.6,0.0,29548,26579,4.292292,WLTP,4.606268,6.81610362228164,4.606268,0.0001863802623355,0.0,,4.292292,4.2923
VEH0118,BANK01,executive,diesel,2018,143,31096,2588.9,0.0,33421,30612,6.912363,manufacturer_declared,4.446728,55.44913023688428,4.446728,0.0005352699496534,0.0,,6.912363,6.9124
VEH0119,BANK01,sedan,petrol,2023,142,22743,1683.4,0.0,23834,23134,4.494678,WLTP,3.229506,39.1760845157123,3.229506,0.0004894653703144,3.888654,15.584981332872497,4.494678,4.4947
VEH0120,BANK01,van,diesel,2020,145,26591,1820.9,0.0,27156,26291,4.861803,DEFRA_fleet_average,3.855695,26.093998617629243,3.855695,6.170554116622103e-05,0.0,,4.861803,4.8618
VEH0121,BANK01,sedan,electric,2021,2,33879,0.0,6098.2,32513,33667,0.0,DEFRA_fleet_average,0.067758,0.0619853006287085,0.067758,100.0,0.0,,0.0,0.0678
VEH0122,BANK01,van,electric,2022,1,20831,0.0,3749.6,19774,20919,0.0,WLTP,0.020831,0.1488166674667552,0.020831,100.0,0.0,,0.0,0.0208
VEH0123,BANK01,compact,diesel,2020,146,14212,1208.9,0.0,14105,14131,3.227763,NEDC,2.074952,55.56022500761462,2.074952,0.0011462915917913,0.0,,3.227763,3.2278
VEH0124,BANK01,executive,diesel,2024,140,32534,2660.5,0.0,31398,32656,7.103535,WLTP,4.55476,55.957723348760425,4.55476,0.0004927148588662,0.0,,7.103535,7.1035
VEH0125,BANK01,sedan,petrol,2023,150,32908,1719.6,0.0,31024,33975,4.591332,WLTP,4.9362,6.987156111988979,4.9362,0.0006969703569802,3.972276,15.583610000916362,4.591332,4.5913
VEH0126,BANK01,executive,petrol,2019,196,21040,1320.6,0.0,20592,20680,3.526002,WLTP,4.12384,14.497167688368137,4.12384,5.672149745546104e-05,3.050586,15.584350023241443,3.526002,3.526
VEH0127,BANK01,executive,petrol,2020,180,22615,1735.6,0.0,23402,21447,4.634052,manufacturer_declared,4.0707,13.840371434888338,4.0707,0.0010357998316931,4.009236,15.585612819998635,4.634052,4.6341
VEH0128,BANK01,van,diesel,2019,142,25708,1326.0,0.0,27217,24952,3.54042,WLTP,3.650536,3.016981615850379,3.650536,0.0005649079200127,0.0,,3.54042,3.5404
VEH0129,BANK01,suv,diesel,2023,172,21860,1946.0,0.0,22386,21670,5.19582,manufacturer_declared,3.75992,38.18911040660439,3.75992,0.0003849262866186,0.0,,5.19582,5.1958
VEH0130,BANK01,compact,diesel,2020,171,23592,1447.3,0.0,23814,24469,3.864291,WLTP,4.034232,4.212251551224624,4.034232,0.0002329011722673,0.0,,3.864291,3.8643
VEH0131,BANK01,van,diesel,2021,140,26112,1988.9,0.0,25877,24851,5.310363,WLTP,3.65568,45.264355742296914,3.65568,0.0006967460078307,0.0,,5.310363,5.3104
VEH0132,BANK01,suv,diesel,2019,170,15097,1184.7,0.0,15551,15469,3.163149,DEFRA_fleet_average,2.56649,23.246145513912,2.56649,0.0015491132117286,0.0,,3.163149,3.1631
VEH0133,BANK01,compact,hybrid,2024,100,29959,2533.2,0.0,28971,31259,6.763644,manufacturer_declared,2.9959,125.7618745619013,2.9959,0.0006505411319405,6.788976,0.3737824378816425,6.763644,6.7636
VEH0134,BANK01,suv,diesel,2020,177,21461,1177.0,0.0,20402,21013,3.14259,NEDC,3.798597,17.269455011942572,3.798597,0.0003182078533577,0.0,,3.14259,3.1426
VEH0135,BANK01,executive,diesel,2020,134,34791,1890.2,0.0,35480,34204,5.046834,NEDC,4.661994,8.254107577144033,4.661994,0.0006736942220698,0.0,,5.046834,5.0468
VEH0136,BANK01,van,hybrid,2023,92,20668,1708.8,0.0,20038,21605,4.562496,manufacturer_declared,1.901456,139.94770323373243,1.901456,8.767123286949991e-05,4.579584,0.373046984180215,4.562496,4.5625
VEH0137,BANK01,sedan,diesel,2018,180,21495,1750.2,0.0,21498,20517,4.673034,NEDC,3.8691,20.77744178232664,3.8691,0.0007275839931588,0.0,,4.673034,4.673
