travel_id,bank_id,employee_id_hash,travel_date,mode,distance_km,emission_factor_kg_co2e_per_km,emissions_kg_co2e,purpose
TR000070,BANK01,EMP19275,2024-04-17,car,754,0.171,128.9,audit
TR000071,BANK01,EMP26060,2024-03-10,rail,933,0.041,38.3,internal_meeting
TR000072,BANK01,EMP20448,2024-05-06,car,406,0.171,69.4,client_meeting
TR000073,BANK01,EMP33442,2024-06-07,air_long,6206,0.15,930.9,conference
TR000074,BANK01,EMP03551,2024-05-24,air_short,1288,0.255,328.4,conference
TR000075,BANK01,EMP13381,2024-08-11,rail,191,0.041,7.8,audit
TR000076,BANK01,EMP43459,2024-04-04,air_short,520,0.255,132.6,conference
TR000077,BANK01,EMP40884,2024-08-29,car,768,0.171,131.3,internal_meeting
TR000078,BANK01,EMP28309,2024-07-15,air_short,576,0.255,146.9,conference
TR000079,BANK01,EMP15356,2024-11-21,air_long,3846,0.15,576.9,internal_meeting
TR000080,BANK01,EMP18189,2024-04-23,air_short,533,0.255,135.9,training
TR000081,BANK01,EMP30564,2024-10-08,air_short,641,0.255,163.5,client_meeting
TR000082,BANK01,EMP21819,2024-08-19,air_long,3464,0.15,519.6,internal_meeting
TR000083,BANK01,EMP42829,2024-10-13,air_short,757,0.255,193.0,conference
TR000084,BANK01,EMP26789,2024-02-26,air_short,980,0.255,249.9,training
TR000085,BANK01,EMP23947,2024-09-11,air_short,1202,0.255,306.5,client_meeting
TR000086,BANK01,EMP36840,2024-07-23,air_long,6602,0.15,990.3,audit
TR000087,BANK01,EMP12515,2024-06-24,air_long,3869,0.15,580.4,audit
TR000088,BANK01,EMP11360,2024-06-11,rail,988,0.041,40.5,audit
TR000089,BANK01,EMP20555,2024-08-08,air_long,8661,0.15,1299.1,client_meeting
TR000090,BANK01,EMP24000,2024-02-14,air_short,683,0.255,174.2,conference
TR000091,BANK01,EMP38341,2024-04-12,rail,843,0.041,34.6,conference
TR000092,BANK01,EMP04386,2024-03-29,car,273,0.171,46.7,conference
TR000093,BANK01,EMP34732,2024-11-26,rail,614,0.041,25.2,client_meeting
TR000094,BANK01,EMP12935,2024-05-17,rail,426,0.041,17.5,conference
TR000095,BANK01,EMP20962,2024-03-17,rail,871,0.041,35.7,conference
TR000096,BANK01,EMP44247,2024-05-13,rail,389,0.041,15.9,conference
TR000097,BANK01,EMP17680,2024-09-27,air_short,1344,0.255,342.7,client_meeting
TR000098,BANK01,EMP02855,2024-10-11,air_short,1206,0.255,307.5,audit
TR000099,BANK01,EMP36295,2024-12-07,car,359,0.171,61.4,client_meeting
TR000100,BANK01,EMP39419,2024-05-07,rail,325,0.041,13.3,client_meeting
TR000101,BANK01,EMP33751,2024-10-04,rail,137,0.041,5.6,audit
TR000102,BANK01,EMP35816,2024-03-02,rail,1140,0.041,46.7,training
TR000103,BANK01,EMP02185,2024-10-10,air_short,743,0.255,189.5,client_meeting
TR000104,BANK01,EMP14507,2024-06-23,rail,871,0.041,35.7,audit
TR000105,BANK01,EMP12084,2024-02-24,rail,177,0.041,7.3,internal_meeting
TR000106,BANK01,EMP19888,2024-08-02,car,632,0.171,108.1,client_meeting
TR000107,BANK01,EMP29362,2024-08-04,car,490,0.171,83.8,training
TR000108,BANK01,EMP34321,2024-04-07,air_short,535,0.255,136.4,conference
TR000109,BANK01,EMP33375,2024-10-13,rail,647,0.041,26.5,training
TR000110,BANK01,EMP25480,2024-01-03,rail,253,0.041,10.4,audit
TR000111,BANK01,EMP17021,2024-08-09,air_short,801,0.255,204.3,training
TR000112,BANK01,EMP25608,2024-06-30,air_long,5558,0.15,833.7,conference
TR000113,BANK01,EMP01488,2024-05-26,car,266,0.171,45.5,audit
TR000114,BANK01,EMP37344,2024-12-11,rail,581,0.041,23.8,conference
TR000115,BANK01,EMP02587,2024-09-27,air_short,505,0.255,128.8,conference
TR000116,BANK01,EMP08532,2024-03-06,air_short,1454,0.255,370.8,internal_meeting
TR000117,BANK01,EMP16691,2024-02-18,air_short,602,0.255,153.5,internal_meeting
TR000118,BANK01,EMP32114,2024-05-08,air_long,6984,0.15,1047.6,training
TR000119,BANK01,EMP21163,2024-09-15,air_long,5628,0.15,844.2,internal_meeting
TR000120,BANK01,EMP14369,2024-07-07,rail,174,0.041,7.1,training
TR000121,BANK01,EMP41882,2024-08-30,rail,388,0.041,15.9,audit
TR000122,BANK01,EMP38635,2024-03-29,air_long,5970,0.15,895.5,client_meeting
TR000123,BANK01,EMP12855,2024-04-01,air_long,4554,0.15,683.1,training
TR000124,BANK01,EMP28547,2024-12-18,rail,390,0.041,16.0,internal_meeting
TR000125,BANK01,EMP11405,2024-08-28,air_short,1148,0.255,292.7,training
TR000126,BANK01,EMP40176,2024-11-06,air_short,820,0.255,209.1,training
TR000127,BANK01,EMP08796,2024-09-20,car,214,0.171,36.6,client_meeting
TR000128,BANK01,EMP01753,2024-08-03,air_short,1230,0.255,313.6,internal_meeting
TR000129,BANK01,EMP25335,2024-12-04,rail,136,0.041,5.6,audit
TR000130,BANK01,EMP13996,2024-05-22,air_short,1231,0.255,313.9,client_meeting
TR000131,BANK01,EMP04799,2024-01-16,car,686,0.171,117.3,internal_meeting
TR000132,BANK01,EMP28259,2024-12-05,air_short,788,0.255,200.9,conference
TR000133,BANK01,EMP27659,2024-11-23,car,484,0.171,82.8,conference
TR000134,BANK01,EMP41599,2024-03-10,car,711,0.171,121.6,client_meeting
TR000135,BANK01,EMP00101,2024-10-09,rail,225,0.041,9.2,internal_meeting
TR000136,BANK01,EMP11366,2024-07-20,air_long,7575,0.15,1136.2,client_meeting
TR000137,BANK01,EMP31175,2024-11-13,rail,1060,0.041,43.5,training
TR000138,BANK01,EMP08733,2024-06-15,rail,678,0.041,27.8,internal_meeting
TR000139,BANK01,EMP23599,2024-09-09,rail,640,0.041,26.2,conference
TR000140,BANK01,EMP23732,2024-08-16,air_long,5235,0.15,785.2,training
TR000141,BANK01,EMP22563,2024-04-05,air_short,518,0.255,132.1,client_meeting
TR000142,BANK01,EMP02284,2024-04-26,air_short,877,0.255,223.6,conference
TR000143,BANK01,EMP35012,2024-09-07,air_short,771,0.255,196.6,audit
TR000144,BANK01,EMP18702,2024-08-24,car,733,0.171,125.3,training
TR000145,BANK01,EMP32963,2024-10-31,car,729,0.171,124.7,training
TR000146,BANK01,EMP45978,2024-05-05,air_long,1958,0.15,293.7,audit
TR000147,BANK01,EMP41876,2024-01-28,air_short,997,0.255,254.2,internal_meeting
TR000148,BANK01,EMP27505,2024-12-30,car,133,0.171,22.7,conference
TR000149,BANK01,EMP29640,2024-09-25,rail,1011,0.041,41.5,client_meeting
TR000150,BANK01,EMP47028,2024-07-31,air_long,5733,0.15,859.9,client_meeting
TR000151,BANK01,EMP21498,2024-10-26,car,702,0.171,120.0,internal_meeting
TR000152,BANK01,EMP11333,2024-04-27,rail,786,0.041,32.2,training
TR000153,BANK01,EMP14010,2024-09-10,car,521,0.171,89.1,conference
TR000154,BANK01,EMP38235,2024-07-13,rail,502,0.041,20.6,training
TR000155,BANK01,EMP30459,2024-10-18,air_short,1452,0.255,370.3,client_meeting
TR000156,BANK01,EMP01333,2024-01-23,rail,414,0.041,17.0,audit
TR000157,BANK01,EMP16746,2024-04-01,rail,161,0.041,6.6,audit
TR000158,BANK01,EMP11941,2024-06-12,rail,218,0.041,8.9,client_meeting
TR000159,BANK01,EMP16605,2024-10-25,air_short,962,0.255,245.3,client_meeting
TR000160,BANK01,EMP45698,2024-12-09,rail,301,0.041,12.3,client_meeting
TR000161,BANK01,EMP23137,2024-09-20,rail,643,0.041,26.4,conference
TR000162,BANK01,EMP44132,2024-11-24,car,545,0.171,93.2,training
TR000163,BANK01,EMP43204,2024-03-06,car,770,0.171,131.7,audit
TR000164,BANK01,EMP07535,2024-08-21,air_short,1357,0.255,346.0,client_meeting
TR000165,BANK01,EMP11800,2024-11-30,rail,779,0.041,31.9,internal_meeting
TR000166,BANK01,EMP15206,2024-08-09,car,385,0.171,65.8,conference
TR000167,BANK01,EMP29117,2024-04-18,air_long,7069,0.15,1060.3,training
TR000168,BANK01,EMP31596,2024-06-14,car,594,0.171,101.6,client_meeting
TR000169,BANK01,EMP42406,2024-10-29,air_short,442,0.255,112.7,conference
TR000170,BANK01,EMP04917,2024-11-18,rail,1063,0.041,43.6,internal_meeting
TR000171,BANK01,EMP43278,2024-10-22,car,137,0.171,23.4,audit
TR000172,BANK01,EMP27021,2024-11-05,air_short,841,0.255,214.5,conference
TR000173,BANK01,EMP30112,2024-03-02,car,142,0.171,24.3,internal_meeting
TR000174,BANK01,EMP32798,2024-12-02,air_short,771,0.255,196.6,internal_meeting
TR000175,BANK01,EMP12926,2024-07-17,rail,414,0.041,17.0,audit
TR000176,BANK01,EMP34867,2024-08-16,air_long,8738,0.15,1310.7,conference
TR000177,BANK01,EMP36716,2024-02-17,air_long,7474,0.15,1121.1,client_meeting
TR000178,BANK01,EMP39020,2024-06-01,rail,558,0.041,22.9,conference
TR000179,BANK01,EMP04718,2024-04-03,car,744,0.171,127.2,conference
TR000180,BANK01,EMP15502,2024-02-24,air_short,719,0.255,183.3,audit
TR000181,BANK01,EMP19538,2024-05-10,air_long,4234,0.15,635.1,internal_meeting
TR000182,BANK01,EMP41259,2024-11-05,rail,752,0.041,30.8,training
TR000183,BANK01,EMP42726,2024-07-20,air_long,3283,0.15,492.4,internal_meeting
TR000184,BANK01,EMP44488,2024-02-09,air_long,7992,0.15,1198.8,conference
TR000185,BANK01,EMP42466,2024-01-29,air_short,1212,0.255,309.1,training
TR000186,BANK01,EMP42863,2024-07-05,car,259,0.171,44.3,internal_meeting
TR000187,BANK01,EMP27238,2024-07-05,car,668,0.171,114.2,internal_meeting
TR000188,BANK01,EMP35660,2024-07-19,air_long,7770,0.15,1165.5,conference
TR000189,BANK01,EMP33871,2024-10-30,air_long,4241,0.15,636.1,audit
TR000190,BANK01,EMP45443,2024-10-27,rail,282,0.041,11.6,audit
TR000191,BANK01,EMP35986,2024-04-03,air_long,4167,0.15,625.0,conference
TR000192,BANK01,EMP45575,2024-02-23,air_short,560,0.255,142.8,internal_meeting
TR000193,BANK01,EMP17159,2024-08-03,car,532,0.171,91.0,client_meeting
TR000194,BANK01,EMP04964,2024-07-03,air_short,811,0.255,206.8,conference
TR000195,BANK01,EMP17427,2024-03-29,air_long,7577,0.15,1136.5,training
TR000196,BANK01,EMP30994,2024-08-11,air_short,1023,0.255,260.9,training
TR000197,BANK01,EMP24157,2024-07-04,air_short,620,0.255,158.1,internal_meeting
TR000198,BANK01,EMP01693,2024-08-11,rail,1104,0.041,45.3,internal_meeting
TR000199,BANK01,EMP46760,2024-03-31,air_short,609,0.255,155.3,audit
TR000200,BANK01,EMP28760,2024-09-26,car,606,0.171,103.6,audit
TR000201,BANK01,EMP39232,2024-11-28,air_long,7449,0.15,1117.3,conference
TR000202,BANK01,EMP20304,2024-09-12,air_short,620,0.255,158.1,training
TR000203,BANK01,EMP44857,2024-03-18,air_long,4129,0.15,619.4,audit
TR000204,BANK01,EMP44846,2024-01-26,air_short,320,0.255,81.6,audit
TR000205,BANK01,EMP20349,2024-06-28,rail,747,0.041,30.6,client_meeting
TR000206,BANK01,EMP00785,2024-06-12,rail,327,0.041,13.4,audit
TR000207,BANK01,EMP38964,2024-09-08,air_short,303,0.255,77.3,training
TR000208,BANK01,EMP34826,2024-10-07,air_short,1191,0.255,303.7,conference
TR000209,BANK01,EMP21660,2024-05-04,air_long,7937,0.15,1190.5,internal_meeting
TR000210,BANK01,EMP26767,2024-04-27,air_short,1209,0.255,308.3,internal_meeting
TR000211,BANK01,EMP45377,2024-08-08,car,209,0.171,35.7,internal_meeting
TR000212,BANK01,EMP14325,2024-09-05,air_long,4325,0.15,648.8,training
TR000213,BANK01,EMP03296,2024-06-14,air_short,1321,0.255,336.9,internal_meeting
TR000214,BANK01,EMP00256,2024-05-09,air_short,893,0.255,227.7,conference
TR000215,BANK01,EMP36941,2024-08-06,air_short,1153,0.255,294.0,internal_meeting
TR000216,BANK01,EMP15483,2024-07-28,rail,1096,0.041,44.9,conference
TR000217,BANK01,EMP07527,2024-11-06,air_short,1390,0.255,354.4,audit
TR000218,BANK01,EMP28564,2024-07-05,air_short,910,0.255,232.1,internal_meeting
TR000219,BANK01,EMP29518,2024-06-02,rail,816,0.041,33.5,audit
TR000220,BANK01,EMP07633,2024-05-05,rail,841,0.041,34.5,client_meeting
TR000221,BANK01,EMP47368,2024-11-03,rail,637,0.041,26.1,conference
TR000222,BANK01,EMP22214,2024-09-02,air_short,1191,0.255,303.7,training
TR000223,BANK01,EMP41957,2024-03-21,air_long,3774,0.15,566.1,client_meeting
TR000224,BANK01,EMP29123,2024-07-08,air_short,1339,0.255,341.4,conference
TR000225,BANK01,EMP36883,2024-09-22,car,611,0.171,104.5,conference
TR000226,BANK01,EMP47873,2024-04-05,air_short,1309,0.255,333.8,audit
TR000227,BANK01,EMP00806,2024-06-12,air_short,358,0.255,91.3,training
TR000228,BANK01,EMP21109,2024-10-08,air_short,532,0.255,135.7,training
TR000229,BANK01,EMP14688,2024-05-21,air_short,960,0.255,244.8,training
TR000230,BANK01,EMP30760,2024-02-22,car,723,0.171,123.6,internal_meeting
TR000231,BANK01,EMP22036,2024-05-01,air_short,779,0.255,198.6,internal_meeting
TR000232,BANK01,EMP30953,2024-06-09,air_long,8682,0.15,1302.3,audit
TR000233,BANK01,EMP33016,2024-04-05,rail,910,0.041,37.3,client_meeting
TR000234,BANK01,EMP32034,2024-11-18,rail,1103,0.041,45.2,training
TR000235,BANK01,EMP31202,2024-04-07,rail,399,0.041,16.4,conference
TR000236,BANK01,EMP30728,2024-08-21,car,652,0.171,111.5,internal_meeting
TR000237,BANK01,EMP25220,2024-07-29,rail,606,0.041,24.8,client_meeting
TR000238,BANK01,EMP21954,2024-01-06,rail,1130,0.041,46.3,client_meeting
TR000239,BANK01,EMP03039,2024-08-15,rail,845,0.041,34.6,internal_meeting
TR000240,BANK01,EMP05354,2024-01-09,rail,155,0.041,6.4,conference
TR000241,BANK01,EMP23311,2024-03-16,rail,402,0.041,16.5,conference
TR000242,BANK01,EMP01029,2024-06-19,air_long,3872,0.15,580.8,audit
TR000243,BANK01,EMP32760,2024-03-02,air_short,460,0.255,117.3,client_meeting
TR000244,BANK01,EMP18217,2024-11-22,air_long,3165,0.15,474.8,training
TR000245,BANK01,EMP43992,2024-09-13,rail,170,0.041,7.0,training
TR000246,BANK01,EMP45265,2024-10-08,air_short,974,0.255,248.4,client_meeting
TR000247,BANK01,EMP28665,2024-09-24,air_long,4274,0.15,641.1,internal_meeting
TR000248,BANK01,EMP01576,2024-06-27,car,764,0.171,130.6,client_meeting
TR000249,BANK01,EMP11907,2024-02-03,rail,950,0.041,39.0,internal_meeting
TR000250,BANK01,EMP29485,2024-01-15,air_long,4679,0.15,701.9,internal_meeting
TR000251,BANK01,EMP37301,2024-10-12,air_long,4232,0.15,634.8,internal_meeting
TR000252,BANK01,EMP14595,2024-08-30,air_short,1474,0.255,375.9,client_meeting
TR000253,BANK01,EMP12598,2024-10-16,air_long,8633,0.15,1295.0,client_meeting
TR000254,BANK01,EMP02185,2024-07-27,car,270,0.171,46.2,audit
TR000255,BANK01,EMP08102,2024-08-04,air_short,1327,0.255,338.4,conference
TR000256,BANK01,EMP43694,2024-07-30,air_short,1397,0.255,356.2,client_meeting
TR000257,BANK01,EMP36971,2024-07-01,car,408,0.171,69.8,conference
TR000258,BANK01,EMP20871,2024-11-23,rail,305,0.041,12.5,conference
TR000259,BANK01,EMP02563,2024-04-01,air_long,4398,0.15,659.7,training
TR000260,BANK01,EMP04240,2024-01-14,rail,1128,0.041,46.2,audit
TR000261,BANK01,EMP13844,2024-06-24,car,204,0.171,34.9,conference
TR000262,BANK01,EMP09764,2024-01-24,air_long,7924,0.15,1188.6,audit
TR000263,BANK01,EMP05613,2024-07-08,air_short,890,0.255,227.0,client_meeting
TR000264,BANK01,EMP26613,2024-07-13,rail,601,0.041,24.6,client_meeting
TR000265,BANK01,EMP22497,2024-11-21,air_long,5007,0.15,751.0,training
TR000266,BANK01,EMP18648,2024-01-09,rail,573,0.041,23.5,training
TR000267,BANK01,EMP20440,2024-06-20,air_long,1868,0.15,280.2,audit
TR000268,BANK01,EMP41039,2024-09-01,air_short,1434,0.255,365.7,client_meeting
TR000269,BANK01,EMP25194,2024-06-07,air_long,6603,0.15,990.4,audit
TR000270,BANK01,EMP22826,2024-12-22,rail,995,0.041,40.8,audit
TR000271,BANK01,EMP36859,2024-04-21,car,266,0.171,45.5,conference
TR000272,BANK01,EMP23778,2024-06-15,air_short,586,0.255,149.4,audit
TR000273,BANK01,EMP47812,2024-04-23,car,586,0.171,100.2,internal_meeting
TR000274,BANK01,EMP17836,2024-11-27,air_short,907,0.255,231.3,audit
TR000275,BANK01,EMP39812,2024-01-19,rail,607,0.041,24.9,client_meeting
TR000276,BANK01,EMP46535,2024-10-07,rail,533,0.041,21.9,client_meeting
TR000277,BANK01,EMP41417,2024-03-25,air_short,1426,0.255,363.6,training
TR000278,BANK01,EMP28674,2024-01-27,air_short,320,0.255,81.6,audit
TR000279,BANK01,EMP00912,2024-10-29,rail,250,0.041,10.2,audit
TR000280,BANK01,EMP06728,2024-04-24,car,624,0.171,106.7,client_meeting
TR000281,BANK01,EMP07117,2024-12-13,air_short,1417,0.255,361.3,internal_meeting
TR000282,BANK01,EMP16541,2024-06-15,rail,307,0.041,12.6,training
TR000283,BANK01,EMP15181,2024-02-27,car,499,0.171,85.3,internal_meeting
TR000284,BANK01,EMP28926,2024-07-25,car,180,0.171,30.8,audit
TR000285,BANK01,EMP23243,2024-09-12,air_long,2910,0.15,436.5,audit
TR000286,BANK01,EMP36397,2024-01-31,car,88,0.171,15.0,audit
TR000287,BANK01,EMP42732,2024-04-22,rail,1054,0.041,43.2,client_meeting
TR000288,BANK01,EMP18203,2024-03-29,rail,968,0.041,39.7,conference
TR000289,BANK01,EMP05739,2024-08-01,car,508,0.171,86.9,training
TR000290,BANK01,EMP12148,2024-08-08,air_short,842,0.255,214.7,training
TR000291,BANK01,EMP09401,2024-11-02,air_short,1006,0.255,256.5,conference
TR000292,BANK01,EMP05657,2024-12-03,rail,855,0.041,35.1,audit
TR000293,BANK01,EMP30338,2024-10-12,rail,548,0.041,22.5,client_meeting
TR000294,BANK01,EMP01371,2024-11-04,air_short,1336,0.255,340.7,internal_meeting
TR000295,BANK01,EMP25702,2024-06-15,rail,604,0.041,24.8,internal_meeting
TR000296,BANK01,EMP27322,2024-01-02,air_short,655,0.255,167.0,conference
TR000297,BANK01,EMP17712,2024-01-02,air_short,547,0.255,139.5,internal_meeting
TR000298,BANK01,EMP18509,2024-03-20,air_long,3059,0.15,458.8,training
TR000299,BANK01,EMP28197,2024-03-19,air_short,1089,0.255,277.7,client_meeting
TR000300,BANK01,EMP04745,2024-01-05,air_short,823,0.255,209.9,audit
TR000301,BANK01,EMP31539,2024-06-22,rail,841,0.041,34.5,client_meeting
TR000302,BANK01,EMP17949,2024-11-27,air_long,5623,0.15,843.4,audit
TR000303,BANK01,EMP04707,2024-03-18,car,532,0.171,91.0,conference
TR000304,BANK01,EMP40522,2024-04-18,air_short,928,0.255,236.6,conference
TR000305,BANK01,EMP26655,2024-08-28,air_long,7507,0.15,1126.0,internal_meeting
TR000306,BANK01,EMP29415,2024-08-16,air_long,2766,0.15,414.9,conference
TR000307,BANK01,EMP33339,2024-03-04,air_long,8726,0.15,1308.9,audit
TR000308,BANK01,EMP29252,2024-11-23,rail,888,0.041,36.4,conference
TR000309,BANK01,EMP18975,2024-05-17,rail,409,0.041,16.8,audit
TR000310,BANK01,EMP22714,2024-11-22,rail,954,0.041,39.1,conference
TR000311,BANK01,EMP46486,2024-11-05,air_short,1125,0.255,286.9,client_meeting
TR000312,BANK01,EMP27702,2024-08-12,car,714,0.171,122.1,audit
TR000313,BANK01,EMP26007,2024-03-04,air_short,682,0.255,173.9,internal_meeting
TR000314,BANK01,EMP15947,2024-06-03,car,399,0.171,68.2,client_meeting
TR000315,BANK01,EMP12414,2024-04-12,car,276,0.171,47.2,client_meeting
TR000316,BANK01,EMP26085,2024-07-25,rail,132,0.041,5.4,training
TR000317,BANK01,EMP08859,2024-10-02,air_long,2790,0.15,418.5,client_meeting
TR000318,BANK01,EMP40279,2024-11-25,car,759,0.171,129.8,training
TR000319,BANK01,EMP43788,2024-05-03,car,332,0.171,56.8,audit
TR000320,BANK01,EMP17046,2024-02-14,air_long,4444,0.15,666.6,training
TR000321,BANK01,EMP00807,2024-09-13,rail,873,0.041,35.8,conference
TR000322,BANK01,EMP03907,2024-05-28,car,411,0.171,70.3,conference
TR000323,BANK01,EMP20378,2024-09-10,air_short,589,0.255,150.2,audit
TR000324,BANK01,EMP41834,2024-10-08,rail,789,0.041,32.3,internal_meeting
TR000325,BANK01,EMP22109,2024-01-23,car,300,0.171,51.3,conference
TR000326,BANK01,EMP05072,2024-06-14,air_short,423,0.255,107.9,conference
TR000327,BANK01,EMP08910,2024-12-29,car,454,0.171,77.6,audit
TR000328,BANK01,EMP23188,2024-04-04,car,707,0.171,120.9,conference
TR000329,BANK01,EMP14053,2024-08-02,air_long,4565,0.15,684.8,audit
TR000330,BANK01,EMP19066,2024-01-22,air_short,1101,0.255,280.8,conference
TR000331,BANK01,EMP44952,2024-08-20,car,588,0.171,100.5,client_meeting
TR000332,BANK01,EMP40575,2024-01-06,car,249,0.171,42.6,audit
TR000333,BANK01,EMP43579,2024-07-19,car,399,0.171,68.2,internal_meeting
TR000334,BANK01,EMP11618,2024-11-29,air_long,5451,0.15,817.6,training
TR000335,BANK01,EMP29419,2024-11-15,air_long,8261,0.15,1239.1,audit
TR000336,BANK01,EMP15142,2024-03-27,rail,451,0.041,18.5,conference
TR000337,BANK01,EMP10006,2024-11-01,air_short,540,0.255,137.7,internal_meeting
TR000338,BANK01,EMP16773,2024-01-20,air_short,1477,0.255,376.6,client_meeting
TR000339,BANK01,EMP24106,2024-05-29,air_short,809,0.255,206.3,internal_meeting
