physical_risk_id,counterparty_id,bank_id,hazard_type,country,acute_risk_score,chronic_risk_score,assessment_horizon,scenario_basis,data_source,hazard_category,exposure_amount_meur,high_risk_flag,financial_impact_meur,portfolio_pct,nace_code
PR000014,CP00008,BANK01,windstorm,IT,4,4,2030,RCP_4.5,ECB_climate_indicators,acute,168.31,True,7.8,0.54,B06
PR000015,CP00009,BANK01,heatwave,DE,3,3,2050,RCP_2.6,ECB_climate_indicators,acute,13.67,False,0.59,0.044,H49
PR000016,CP00009,BANK01,drought,DE,3,2,2030,RCP_4.5,ECB_climate_indicators,chronic,13.67,False,0.95,0.044,H49
PR000017,CP00009,BANK01,flood,DE,2,3,2030,RCP_8.5,ECB_climate_indicators,acute,13.67,False,1.19,0.044,H49
PR000018,CP00010,BANK01,flood,FI,2,3,2050,RCP_4.5,ECB_climate_indicators,acute,13.14,False,1.15,0.042,J58
PR000019,CP00011,BANK01,wildfire,IT,2,3,2030,RCP_4.5,ECB_climate_indicators,acute,4.73,False,0.32,0.015,C11
PR000020,CP00011,BANK01,drought,IT,2,4,2030,RCP_2.6,ECB_climate_indicators,chronic,4.73,True,0.2,0.015,C11
PR000021,CP00012,BANK01,heatwave,NL,2,1,2050,RCP_2.6,ECB_climate_indicators,acute,7.99,False,0.26,0.026,F42
PR000022,CP00012,BANK01,windstorm,NL,1,2,2030,RCP_2.6,ECB_climate_indicators,acute,7.99,False,0.28,0.026,F42
PR000023,CP00012,BANK01,sea_level_rise,NL,2,3,2030,RCP_4.5,ECB_climate_indicators,chronic,7.99,False,0.94,0.026,F42
PR000024,CP00013,BANK01,flood,FR,2,2,2050,RCP_8.5,ECB_climate_indicators,acute,478.16,False,66.51,1.535,C27
PR000025,CP00013,BANK01,windstorm,FR,3,5,2030,RCP_8.5,ECB_climate_indicators,acute,478.16,True,20.61,1.535,C27
PR000026,CP00013,BANK01,heatwave,FR,3,3,2050,RCP_8.5,ECB_climate_indicators,acute,478.16,False,20.33,1.535,C27
PR000027,CP00014,BANK01,flood,IE,2,2,2030,RCP_8.5,ECB_climate_indicators,acute,4.05,False,0.54,0.013,G47
PR000028,CP00015,BANK01,flood,DE,1,2,2030,RCP_8.5,ECB_climate_indicators,acute,217.3,False,30.44,0.698,C13
PR000029,CP00016,BANK01,wildfire,IT,4,4,2050,RCP_2.6,ECB_climate_indicators,acute,1438.59,True,103.3,4.618,F42
PR000030,CP00016,BANK01,drought,IT,5,5,2050,RCP_8.5,ECB_climate_indicators,chronic,1438.59,True,94.07,4.618,F42
PR000031,CP00017,BANK01,flood,NL,3,3,2030,RCP_4.5,ECB_climate_indicators,acute,131.76,False,12.92,0.423,H52
PR000032,CP00017,BANK01,windstorm,NL,3,4,2030,RCP_8.5,ECB_climate_indicators,acute,131.76,True,5.17,0.423,H52
PR000033,CP00017,BANK01,heatwave,NL,4,4,2030,RCP_2.6,ECB_climate_indicators,acute,131.76,True,4.55,0.423,H52
PR000034,CP00018,BANK01,sea_level_rise,PL,1,1,2030,RCP_2.6,ECB_climate_indicators,chronic,52.51,False,5.63,0.169,C20
PR000035,CP00019,BANK01,heatwave,FR,3,4,2030,RCP_8.5,ECB_climate_indicators,acute,7.95,True,0.36,0.026,J62
PR000036,CP00019,BANK01,windstorm,FR,3,2,2030,RCP_4.5,ECB_climate_indicators,acute,7.95,False,0.26,0.026,J62
PR000037,CP00019,BANK01,drought,FR,3,3,2050,RCP_4.5,ECB_climate_indicators,chronic,7.95,False,0.33,0.026,J62
PR000038,CP00020,BANK01,flood,IT,3,3,2030,RCP_2.6,ECB_climate_indicators,acute,2083.28,False,288.71,6.688,B05
PR000039,CP00020,BANK01,wildfire,IT,2,5,2050,RCP_8.5,ECB_climate_indicators,acute,2083.28,True,178.46,6.688,B05
PR000040,CP00021,BANK01,sea_level_rise,BE,2,5,2030,RCP_8.5,ECB_climate_indicators,chronic,6.66,True,0.63,0.021,M71
PR000041,CP00022,BANK01,drought,BE,3,3,2030,RCP_8.5,ECB_climate_indicators,chronic,10.79,False,0.43,0.035,C24
PR000042,CP00022,BANK01,sea_level_rise,BE,3,1,2030,RCP_8.5,ECB_climate_indicators,chronic,10.79,False,1.04,0.035,C24
PR000043,CP00022,BANK01,wildfire,BE,3,4,2030,RCP_2.6,ECB_climate_indicators,acute,10.79,True,0.83,0.035,C24
PR000044,CP00023,BANK01,heatwave,AT,1,4,2050,RCP_4.5,ECB_climate_indicators,acute,245.29,True,11.53,0.787,A01
PR000045,CP00023,BANK01,windstorm,AT,5,3,2030,RCP_2.6,ECB_climate_indicators,acute,245.29,True,13.45,0.787,A01
PR000046,CP00024,BANK01,sea_level_rise,FI,4,2,2030,RCP_2.6,ECB_climate_indicators,chronic,19.2,True,2.22,0.062,L68
PR000047,CP00025,BANK01,sea_level_rise,IT,4,2,2030,RCP_4.5,ECB_climate_indicators,chronic,4.6,True,0.44,0.015,C19
PR000048,CP00025,BANK01,heatwave,IT,2,2,2050,RCP_8.5,ECB_climate_indicators,acute,4.6,False,0.17,0.015,C19
PR000049,CP00025,BANK01,wildfire,IT,4,1,2050,RCP_8.5,ECB_climate_indicators,acute,4.6,True,0.4,0.015,C19
PR000050,CP00026,BANK01,sea_level_rise,NL,3,3,2030,RCP_2.6,ECB_climate_indicators,chronic,50.53,False,3.6,0.162,L68
PR000051,CP00026,BANK01,wildfire,NL,3,3,2030,RCP_2.6,ECB_climate_indicators,acute,50.53,False,4.47,0.162,L68
PR000052,CP00027,BANK01,sea_level_rise,PT,1,3,2030,RCP_8.5,ECB_climate_indicators,chronic,10.85,False,1.24,0.035,J63
PR000053,CP00028,BANK01,flood,DE,2,2,2050,RCP_8.5,ECB_climate_indicators,acute,157.64,False,19.73,0.506,E36
PR000054,CP00029,BANK01,heatwave,DE,5,1,2030,RCP_4.5,ECB_climate_indicators,acute,32.88,True,0.79,0.106,I55
PR000055,CP00029,BANK01,windstorm,DE,1,1,2050,RCP_2.6,ECB_climate_indicators,acute,32.88,False,1.87,0.106,I55
PR000056,CP00029,BANK01,wildfire,DE,1,5,2030,RCP_4.5,ECB_climate_indicators,acute,32.88,True,1.65,0.106,I55
PR000057,CP00030,BANK01,wildfire,NL,5,3,2050,RCP_4.5,ECB_climate_indicators,acute,3638.84,True,350.68,11.681,C29
PR000058,CP00030,BANK01,windstorm,NL,4,5,2050,RCP_2.6,ECB_climate_indicators,acute,3638.84,True,213.1,11.681,C29
PR000059,CP00030,BANK01,flood,NL,3,5,2050,RCP_8.5,ECB_climate_indicators,acute,3638.84,True,391.15,11.681,C29
PR000060,CP00031,BANK01,sea_level_rise,IT,5,2,2030,RCP_4.5,ECB_climate_indicators,chronic,2727.53,True,283.06,8.756,C19
PR000061,CP00032,BANK01,sea_level_rise,FR,3,4,2030,RCP_2.6,ECB_climate_indicators,chronic,6.54,True,0.33,0.021,C25
PR000062,CP00033,BANK01,windstorm,FR,5,2,2030,RCP_8.5,ECB_climate_indicators,acute,2.78,True,0.17,0.009,C23
PR000063,CP00034,BANK01,sea_level_rise,DE,3,2,2030,RCP_2.6,ECB_climate_indicators,chronic,16.87,False,1.31,0.054,B05
PR000064,CP00035,BANK01,drought,FR,2,2,2050,RCP_8.5,ECB_climate_indicators,chronic,2.24,False,0.14,0.007,F43
PR000065,CP00036,BANK01,wildfire,FR,4,2,2030,RCP_8.5,ECB_climate_indicators,acute,73.74,True,4.22,0.237,E36
PR000066,CP00037,BANK01,flood,ES,3,3,2030,RCP_4.5,ECB_climate_indicators,acute,42.62,False,5.54,0.137,B06
PR000067,CP00037,BANK01,windstorm,ES,2,3,2050,RCP_2.6,ECB_climate_indicators,acute,42.62,False,1.67,0.137,B06
PR000068,CP00037,BANK01,wildfire,ES,3,3,2050,RCP_8.5,ECB_climate_indicators,acute,42.62,False,1.95,0.137,B06
PR000069,CP00038,BANK01,drought,BE,3,1,2050,RCP_2.6,ECB_climate_indicators,chronic,157.34,False,9.84,0.505,B05
PR000070,CP00039,BANK01,wildfire,FR,3,4,2050,RCP_8.5,ECB_climate_indicators,acute,11.23,True,0.66,0.036,J62
PR000071,CP00040,BANK01,drought,ES,2,2,2050,RCP_4.5,ECB_climate_indicators,chronic,1171.52,False,55.32,3.761,C19
PR000072,CP00040,BANK01,wildfire,ES,1,2,2030,RCP_4.5,ECB_climate_indicators,acute,1171.52,False,104.17,3.761,C19
PR000073,CP00040,BANK01,heatwave,ES,3,1,2030,RCP_8.5,ECB_climate_indicators,acute,1171.52,False,25.12,3.761,C19
PR000074,CP00041,BANK01,flood,DE,2,4,2030,RCP_2.6,ECB_climate_indicators,acute,730.53,True,82.51,2.345,C30
PR000075,CP00042,BANK01,heatwave,FR,4,2,2030,RCP_2.6,ECB_climate_indicators,acute,83.78,True,3.53,0.269,J58
PR000076,CP00043,BANK01,flood,FR,2,2,2030,RCP_8.5,ECB_climate_indicators,acute,1.77,False,0.19,0.006,K65
PR000077,CP00043,BANK01,drought,FR,4,4,2050,RCP_2.6,ECB_climate_indicators,chronic,1.77,True,0.06,0.006,K65
PR000078,CP00044,BANK01,sea_level_rise,FR,3,3,2030,RCP_4.5,ECB_climate_indicators,chronic,350.92,False,37.47,1.127,I56
PR000079,CP00044,BANK01,heatwave,FR,1,1,2030,RCP_4.5,ECB_climate_indicators,acute,350.92,False,7.85,1.127,I56
PR000080,CP00044,BANK01,windstorm,FR,4,2,2050,RCP_8.5,ECB_climate_indicators,acute,350.92,True,18.04,1.127,I56
PR000081,CP00045,BANK01,windstorm,FR,4,4,2030,RCP_4.5,ECB_climate_indicators,acute,17.71,True,1.12,0.057,H50
PR000082,CP00046,BANK01,windstorm,DE,3,2,2050,RCP_8.5,ECB_climate_indicators,acute,14.73,False,0.96,0.047,H52
PR000083,CP00046,BANK01,wildfire,DE,2,2,2030,RCP_2.6,ECB_climate_indicators,acute,14.73,False,0.77,0.047,H52
PR000084,CP00047,BANK01,flood,PT,5,1,2050,RCP_8.5,ECB_climate_indicators,acute,7.86,True,0.91,0.025,C28
PR000085,CP00047,BANK01,heatwave,PT,4,3,2050,RCP_8.5,ECB_climate_indicators,acute,7.86,True,0.19,0.025,C28
PR000086,CP00048,BANK01,wildfire,DE,1,4,2030,RCP_8.5,ECB_climate_indicators,acute,4.38,True,0.32,0.014,J58
PR000087,CP00048,BANK01,heatwave,DE,2,5,2030,RCP_8.5,ECB_climate_indicators,acute,4.38,True,0.11,0.014,J58
PR000088,CP00048,BANK01,windstorm,DE,3,4,2050,RCP_8.5,ECB_climate_indicators,acute,4.38,True,0.31,0.014,J58
PR000089,CP00049,BANK01,sea_level_rise,FI,3,4,2030,RCP_4.5,ECB_climate_indicators,chronic,6.51,True,0.53,0.021,B07
PR000090,CP00050,BANK01,heatwave,BE,2,2,2030,RCP_8.5,ECB_climate_indicators,acute,35.43,False,1.59,0.114,B06
PR000091,CP00051,BANK01,drought,FR,3,3,2030,RCP_2.6,ECB_climate_indicators,chronic,26.09,False,1.97,0.084,H50
PR000092,CP00051,BANK01,wildfire,FR,4,1,2030,RCP_4.5,ECB_climate_indicators,acute,26.09,True,2.05,0.084,H50
PR000093,CP00051,BANK01,sea_level_rise,FR,2,4,2050,RCP_8.5,ECB_climate_indicators,chronic,26.09,True,1.33,0.084,H50
PR000094,CP00052,BANK01,sea_level_rise,LU,3,1,2030,RCP_8.5,ECB_climate_indicators,chronic,663.4,False,46.96,2.13,C27
PR000095,CP00052,BANK01,heatwave,LU,2,2,2030,RCP_8.5,ECB_climate_indicators,acute,663.4,False,13.84,2.13,C27
PR000096,CP00052,BANK01,drought,LU,2,5,2030,RCP_4.5,ECB_climate_indicators,chronic,663.4,True,37.92,2.13,C27
PR000097,CP00053,BANK01,flood,DE,1,4,2030,RCP_8.5,ECB_climate_indicators,acute,2.91,True,0.35,0.009,Q87
PR000098,CP00053,BANK01,heatwave,DE,3,5,2030,RCP_4.5,ECB_climate_indicators,acute,2.91,True,0.08,0.009,Q87
PR000099,CP00054,BANK01,flood,FI,3,3,2030,RCP_8.5,ECB_climate_indicators,acute,25.75,False,3.08,0.083,J63
PR000100,CP00055,BANK01,drought,IT,3,3,2030,RCP_2.6,ECB_climate_indicators,chronic,655.4,False,31.69,2.104,C30
PR000101,CP00055,BANK01,flood,IT,4,3,2030,RCP_4.5,ECB_climate_indicators,acute,655.4,True,65.88,2.104,C30
PR000102,CP00055,BANK01,sea_level_rise,IT,4,4,2050,RCP_2.6,ECB_climate_indicators,chronic,655.4,True,76.17,2.104,C30
PR000103,CP00056,BANK01,flood,IT,2,2,2030,RCP_8.5,ECB_climate_indicators,acute,126.66,False,15.87,0.407,G45
PR000104,CP00057,BANK01,wildfire,AT,1,5,2030,RCP_8.5,ECB_climate_indicators,acute,7.62,True,0.67,0.024,K64
PR000105,CP00057,BANK01,heatwave,AT,2,4,2030,RCP_4.5,ECB_climate_indicators,acute,7.62,True,0.27,0.024,K64
PR000106,CP00058,BANK01,windstorm,FR,3,1,2050,RCP_8.5,ECB_climate_indicators,acute,290.79,False,19.26,0.933,H50
PR000107,CP00059,BANK01,drought,BE,4,2,2030,RCP_8.5,ECB_climate_indicators,chronic,1290.09,True,52.0,4.141,B05
PR000108,CP00060,BANK01,wildfire,FR,1,1,2030,RCP_8.5,ECB_climate_indicators,acute,251.16,False,13.95,0.806,F42
PR000109,CP00061,BANK01,windstorm,LU,1,3,2050,RCP_4.5,ECB_climate_indicators,acute,47.02,False,1.68,0.151,B07
PR000110,CP00061,BANK01,wildfire,LU,5,3,2050,RCP_2.6,ECB_climate_indicators,acute,47.02,True,2.66,0.151,B07
PR000111,CP00062,BANK01,wildfire,FR,1,3,2030,RCP_8.5,ECB_climate_indicators,acute,1.85,False,0.18,0.006,E38
PR000112,CP00063,BANK01,drought,DE,2,2,2050,RCP_8.5,ECB_climate_indicators,chronic,25.11,False,1.32,0.081,P85
PR000113,CP00064,BANK01,sea_level_rise,IE,3,2,2050,RCP_8.5,ECB_climate_indicators,chronic,1295.96,False,139.12,4.16,B07
PR000114,CP00065,BANK01,windstorm,FR,2,2,2050,RCP_8.5,ECB_climate_indicators,acute,4.29,False,0.16,0.014,M70
PR000115,CP00066,BANK01,heatwave,DE,3,4,2030,RCP_8.5,ECB_climate_indicators,acute,348.38,True,15.37,1.118,J63
PR000116,CP00066,BANK01,drought,DE,3,4,2030,RCP_4.5,ECB_climate_indicators,chronic,348.38,True,22.77,1.118,J63
PR000117,CP00066,BANK01,sea_level_rise,DE,2,1,2050,RCP_8.5,ECB_climate_indicators,chronic,348.38,False,35.78,1.118,J63
PR000118,CP00067,BANK01,drought,AT,4,4,2030,RCP_8.5,ECB_climate_indicators,chronic,12.95,True,0.8,0.042,F43
PR000119,CP00067,BANK01,flood,AT,3,1,2030,RCP_4.5,ECB_climate_indicators,acute,12.95,False,1.76,0.042,F43
PR000120,CP00067,BANK01,wildfire,AT,3,3,2050,RCP_8.5,ECB_climate_indicators,acute,12.95,False,1.21,0.042,F43
PR000121,CP00068,BANK01,sea_level_rise,FI,3,2,2030,RCP_2.6,ECB_climate_indicators,chronic,1151.39,False,126.15,3.696,B07
PR000122,CP00068,BANK01,heatwave,FI,3,5,2030,RCP_2.6,ECB_climate_indicators,acute,1151.39,True,43.51,3.696,B07
PR000123,CP00068,BANK01,drought,FI,5,3,2030,RCP_2.6,ECB_climate_indicators,chronic,1151.39,True,78.8,3.696,B07
PR000124,CP00069,BANK01,flood,PT,1,2,2030,RCP_2.6,ECB_climate_indicators,acute,1392.98,False,117.37,4.472,C10
PR000125,CP00069,BANK01,heatwave,PT,3,1,2050,RCP_2.6,ECB_climate_indicators,acute,1392.98,False,34.4,4.472,C10
PR000126,CP00069,BANK01,windstorm,PT,3,3,2050,RCP_8.5,ECB_climate_indicators,acute,1392.98,False,50.79,4.472,C10
PR000127,CP00070,BANK01,heatwave,FI,4,5,2050,RCP_8.5,ECB_climate_indicators,acute,884.44,True,18.68,2.839,H51
PR000128,CP00070,BANK01,flood,FI,2,4,2050,RCP_2.6,ECB_climate_indicators,acute,884.44,True,112.21,2.839,H51
PR000129,CP00071,BANK01,wildfire,PT,2,5,2050,RCP_4.5,ECB_climate_indicators,acute,6.58,True,0.65,0.021,F43
PR000130,CP00072,BANK01,flood,FR,1,2,2030,RCP_8.5,ECB_climate_indicators,acute,2937.14,False,375.9,9.429,P85
PR000131,CP00072,BANK01,sea_level_rise,FR,3,3,2050,RCP_2.6,ECB_climate_indicators,chronic,2937.14,False,303.74,9.429,P85
PR000132,CP00073,BANK01,drought,IE,3,3,2050,RCP_8.5,ECB_climate_indicators,chronic,64.38,False,2.7,0.207,C10
PR000133,CP00074,BANK01,sea_level_rise,NL,2,4,2030,RCP_4.5,ECB_climate_indicators,chronic,23.84,True,1.57,0.077,C13
PR000134,CP00074,BANK01,flood,NL,1,3,2050,RCP_4.5,ECB_climate_indicators,acute,23.84,False,2.74,0.077,C13
PR000135,CP00074,BANK01,drought,NL,2,3,2050,RCP_8.5,ECB_climate_indicators,chronic,23.84,False,1.09,0.077,C13
PR000136,CP00075,BANK01,heatwave,IE,3,1,2030,RCP_2.6,ECB_climate_indicators,acute,232.76,False,9.97,0.747,C29
PR000137,CP00075,BANK01,sea_level_rise,IE,3,4,2030,RCP_4.5,ECB_climate_indicators,chronic,232.76,True,16.38,0.747,C29
PR000138,CP00076,BANK01,wildfire,DE,3,2,2030,RCP_4.5,ECB_climate_indicators,acute,76.56,False,5.52,0.246,C11
PR000139,CP00077,BANK01,wildfire,FI,2,2,2050,RCP_8.5,ECB_climate_indicators,acute,80.29,False,5.31,0.258,B07
PR000140,CP00077,BANK01,flood,FI,2,3,2030,RCP_2.6,ECB_climate_indicators,acute,80.29,False,10.76,0.258,B07
PR000141,CP00077,BANK01,heatwave,FI,2,4,2030,RCP_2.6,ECB_climate_indicators,acute,80.29,True,1.62,0.258,B07
PR000142,CP00078,BANK01,flood,IT,3,4,2030,RCP_4.5,ECB_climate_indicators,acute,0.8,True,0.1,0.003,C13
PR000143,CP00078,BANK01,sea_level_rise,IT,3,4,2050,RCP_2.6,ECB_climate_indicators,chronic,0.8,True,0.04,0.003,C13
PR000144,CP00078,BANK01,wildfire,IT,3,3,2030,RCP_4.5,ECB_climate_indicators,acute,0.8,False,0.05,0.003,C13
PR000145,CP00079,BANK01,drought,FI,3,4,2030,RCP_8.5,ECB_climate_indicators,chronic,111.45,True,5.94,0.358,F43
PR000146,CP00080,BANK01,wildfire,FR,5,3,2030,RCP_8.5,ECB_climate_indicators,acute,663.67,True,57.74,2.131,H51
PR000147,CP00080,BANK01,windstorm,FR,2,4,2050,RCP_2.6,ECB_climate_indicators,acute,663.67,True,27.79,2.131,H51
PR000148,CP00080,BANK01,drought,FR,3,4,2050,RCP_4.5,ECB_climate_indicators,chronic,663.67,True,31.93,2.131,H51
PR000149,CP00081,BANK01,heatwave,FR,2,2,2030,RCP_8.5,ECB_climate_indicators,acute,65.45,False,1.85,0.21,C25
PR000150,CP00082,BANK01,drought,BE,1,4,2050,RCP_4.5,ECB_climate_indicators,chronic,15.27,True,0.6,0.049,H52
PR000151,CP00083,BANK01,windstorm,PT,2,3,2030,RCP_4.5,ECB_climate_indicators,acute,301.74,False,12.31,0.969,C10
PR000152,CP00083,BANK01,drought,PT,1,4,2050,RCP_4.5,ECB_climate_indicators,chronic,301.74,True,19.7,0.969,C10
PR000153,CP00084,BANK01,windstorm,DE,5,1,2050,RCP_4.5,ECB_climate_indicators,acute,2102.44,True,125.17,6.749,B08
PR000154,CP00084,BANK01,flood,DE,3,2,2030,RCP_8.5,ECB_climate_indicators,acute,2102.44,False,283.69,6.749,B08
PR000155,CP00085,BANK01,drought,BE,1,3,2030,RCP_8.5,ECB_climate_indicators,chronic,5.91,False,0.24,0.019,C22
PR000156,CP00085,BANK01,wildfire,BE,2,3,2030,RCP_4.5,ECB_climate_indicators,acute,5.91,False,0.27,0.019,C22
PR000157,CP00086,BANK01,wildfire,FR,2,3,2030,RCP_4.5,ECB_climate_indicators,acute,362.93,False,31.72,1.165,C13
PR000158,CP00086,BANK01,drought,FR,1,3,2030,RCP_2.6,ECB_climate_indicators,chronic,362.93,False,21.11,1.165,C13
PR000159,CP00087,BANK01,windstorm,IT,3,4,2030,RCP_4.5,ECB_climate_indicators,acute,4.57,True,0.23,0.015,B07
PR000160,CP00087,BANK01,heatwave,IT,4,2,2030,RCP_2.6,ECB_climate_indicators,acute,4.57,True,0.17,0.015,B07
PR000161,CP00088,BANK01,wildfire,NL,2,1,2030,RCP_8.5,ECB_climate_indicators,acute,685.53,False,65.72,2.201,C27
PR000162,CP00089,BANK01,sea_level_rise,PL,5,3,2030,RCP_4.5,ECB_climate_indicators,chronic,121.17,True,12.11,0.389,F43
PR000163,CP00090,BANK01,sea_level_rise,FI,5,3,2030,RCP_2.6,ECB_climate_indicators,chronic,26.84,True,1.67,0.086,G45
PR000164,CP00091,BANK02,flood,AT,2,3,2050,RCP_4.5,ECB_climate_indicators,acute,37.41,False,3.48,0.19,K64
PR000165,CP00092,BANK02,drought,FR,3,3,2050,RCP_4.5,ECB_climate_indicators,chronic,282.06,False,13.63,1.436,G47
PR000166,CP00092,BANK02,wildfire,FR,3,2,2030,RCP_2.6,ECB_climate_indicators,acute,282.06,False,15.25,1.436,G47
PR000167,CP00093,BANK02,flood,IT,2,1,2050,RCP_4.5,ECB_climate_indicators,acute,9.15,False,0.91,0.047,B06
PR000168,CP00093,BANK02,sea_level_rise,IT,4,3,2030,RCP_4.5,ECB_climate_indicators,chronic,9.15,True,0.59,0.047,B06
PR000169,CP00094,BANK02,windstorm,FR,3,4,2030,RCP_4.5,ECB_climate_indicators,acute,7.73,True,0.5,0.039,B06
PR000170,CP00094,BANK02,drought,FR,2,4,2050,RCP_4.5,ECB_climate_indicators,chronic,7.73,True,0.59,0.039,B06
PR000171,CP00094,BANK02,wildfire,FR,2,2,2050,RCP_4.5,ECB_climate_indicators,acute,7.73,False,0.64,0.039,B06
PR000172,CP00095,BANK02,windstorm,IT,4,2,2050,RCP_4.5,ECB_climate_indicators,acute,91.79,True,4.8,0.467,B05
PR000173,CP00096,BANK02,sea_level_rise,IE,3,4,2030,RCP_4.5,ECB_climate_indicators,chronic,1465.9,True,91.44,7.464,C13
PR000174,CP00097,BANK02,drought,DE,2,1,2030,RCP_4.5,ECB_climate_indicators,chronic,36.56,False,2.69,0.186,C13
PR000175,CP00097,BANK02,flood,DE,2,2,2030,RCP_2.6,ECB_climate_indicators,acute,36.56,False,3.76,0.186,C13
PR000176,CP00097,BANK02,sea_level_rise,DE,3,3,2050,RCP_4.5,ECB_climate_indicators,chronic,36.56,False,4.26,0.186,C13
PR000177,CP00098,BANK02,wildfire,PT,2,3,2030,RCP_2.6,ECB_climate_indicators,acute,158.73,False,6.92,0.808,K64
PR000178,CP00098,BANK02,flood,PT,4,2,2030,RCP_4.5,ECB_climate_indicators,acute,158.73,True,21.47,0.808,K64
PR000179,CP00098,BANK02,windstorm,PT,3,3,2050,RCP_8.5,ECB_climate_indicators,acute,158.73,False,6.2,0.808,K64
PR000180,CP00099,BANK02,windstorm,FR,3,3,2030,RCP_4.5,ECB_climate_indicators,acute,33.08,False,1.48,0.168,C28
PR000181,CP00100,BANK02,sea_level_rise,IT,3,5,2050,RCP_2.6,ECB_climate_indicators,chronic,1.62,True,0.15,0.008,F43
PR000182,CP00101,BANK02,flood,NL,5,3,2030,RCP_2.6,ECB_climate_indicators,acute,1468.15,True,165.53,7.476,Q86
PR000183,CP00102,BANK02,heatwave,DE,3,3,2030,RCP_8.5,ECB_climate_indicators,acute,31.2,False,0.77,0.159,F42
PR000184,CP00102,BANK02,sea_level_rise,DE,3,4,2030,RCP_8.5,ECB_climate_indicators,chronic,31.2,True,2.96,0.159,F42
PR000185,CP00102,BANK02,flood,DE,2,2,2050,RCP_8.5,ECB_climate_indicators,acute,31.2,False,3.15,0.159,F42
PR000186,CP00103,BANK02,windstorm,ES,2,3,2050,RCP_4.5,ECB_climate_indicators,acute,11.9,False,0.48,0.061,H51
PR000187,CP00104,BANK02,wildfire,PT,3,2,2030,RCP_4.5,ECB_climate_indicators,acute,2.1,False,0.12,0.011,H52
PR000188,CP00105,BANK02,windstorm,DE,2,2,2050,RCP_8.5,ECB_climate_indicators,acute,1995.11,False,91.36,10.159,H52
PR000189,CP00105,BANK02,sea_level_rise,DE,2,5,2030,RCP_8.5,ECB_climate_indicators,chronic,1995.11,True,110.1,10.159,H52
PR000190,CP00105,BANK02,drought,DE,2,3,2050,RCP_4.5,ECB_climate_indicators,chronic,1995.11,False,139.06,10.159,H52
PR000191,CP00106,BANK02,sea_level_rise,DE,4,3,2030,RCP_4.5,ECB_climate_indicators,chronic,16.4,True,1.38,0.084,A02
PR000192,CP00106,BANK02,heatwave,DE,4,4,2030,RCP_8.5,ECB_climate_indicators,acute,16.4,True,0.63,0.084,A02
PR000193,CP00106,BANK02,windstorm,DE,3,4,2030,RCP_8.5,ECB_climate_indicators,acute,16.4,True,0.56,0.084,A02
PR000194,CP00107,BANK02,sea_level_rise,DE,2,4,2050,RCP_8.5,ECB_climate_indicators,chronic,41.6,True,3.8,0.212,C17
PR000195,CP00107,BANK02,drought,DE,3,3,2050,RCP_2.6,ECB_climate_indicators,chronic,41.6,False,1.64,0.212,C17
PR000196,CP00108,BANK02,drought,IT,4,2,2030,RCP_4.5,ECB_climate_indicators,chronic,75.17,True,4.44,0.383,C24
PR000197,CP00108,BANK02,windstorm,IT,1,4,2050,RCP_4.5,ECB_climate_indicators,acute,75.17,True,3.86,0.383,C24
PR000198,CP00108,BANK02,heatwave,IT,2,2,2050,RCP_2.6,ECB_climate_indicators,acute,75.17,False,3.24,0.383,C24
