counterparty_id,bank_id,legal_name,nace_code,nace_description,sector_carbon_tier,country,country_name,annual_revenue_meur,evic_meur,is_listed,sme_flag,onboarded_date,ppp_adjusted_gdp_meur,national_scope1_tco2e,national_scope2_tco2e,national_scope3_tco2e,sbti_target_flag,data_source_type,transition_risk_score
CP00015,BANK01,Manufacture DE Group 15,C13,Manufacture of textiles,medium,DE,Germany,2750.5,6108.7,False,False,2017-05-20,,,,,False,proxy_model,8.34
CP00016,BANK01,Civil IT Group 16,F42,Civil engineering,medium,IT,Italy,2777.4,5626.8,True,False,2017-10-07,,,,,False,estimated_economic,0.73
CP00017,BANK01,Warehousing NL Group 17,H52,Warehousing and support transport,medium,NL,Netherlands,873.1,1721.0,False,False,2019-01-22,,,,,False,proxy_model,6.1
CP00018,BANK01,Manufacture PL Group 18,C20,Manufacture of chemicals,high,PL,Poland,169.3,230.9,False,False,2015-07-12,,,,,False,audited_report,8.0
CP00019,BANK01,Computer FR Group 19,J62,Computer programming & IT services,low,FR,France,15.1,36.6,False,True,2021-09-08,,,,,False,proxy_model,4.77
CP00020,BANK01,Mining IT Group 20,B05,Mining of coal and lignite,high,IT,Italy,4879.4,10502.4,False,False,2024-08-26,,,,,False,estimated_economic,7.12
CP00021,BANK01,Architectural BE Group 21,M71,Architectural & engineering activities,low,BE,Belgium,11.1,31.0,False,True,2023-06-03,,,,,False,estimated_economic,2.05
CP00022,BANK01,Manufacture BE Group 22,C24,Manufacture of basic metals (steel),high,BE,Belgium,10.8,21.4,False,True,2020-02-02,,,,,False,estimated_economic,5.41
CP00023,BANK01,Crop AT Group 23,A01,Crop and animal production,high,AT,Austria,722.8,2131.8,False,False,2020-09-10,,,,,False,proxy_model,2.8
CP00024,BANK01,Real FI Group 24,L68,Real estate activities,low,FI,Finland,39.4,92.6,False,True,2021-10-30,,,,,False,proxy_model,2.17
CP00025,BANK01,Manufacture IT Group 25,C19,Manufacture of coke and refined petroleum,high,IT,Italy,15.3,44.6,False,True,2020-12-12,,,,,False,proxy_model,6.03
CP00026,BANK01,Real NL Group 26,L68,Real estate activities,low,NL,Netherlands,146.5,205.3,False,False,2019-01-26,,,,,False,estimated_economic,5.14
CP00027,BANK01,Information PT Group 27,J63,Information service activities,low,PT,Portugal,41.9,54.6,False,True,2024-11-05,,,,,False,proxy_model,2.61
CP00028,BANK01,Water DE Group 28,E36,"Water collection, treatment, supply",medium,DE,Germany,786.5,2099.0,False,False,2020-12-21,,,,,False,proxy_model,2.59
CP00029,BANK01,Accommodation DE Group 29,I55,Accommodation (hotels),medium,DE,Germany,133.6,292.5,False,False,2017-12-21,,,,,False,estimated_economic,0.04
CP00030,BANK01,Manufacture NL Group 30,C29,Manufacture of motor vehicles,medium,NL,Netherlands,3918.2,11253.2,False,False,2022-09-26,,,,,False,estimated_economic,7.06
CP00031,BANK01,Manufacture IT Group 31,C19,Manufacture of coke and refined petroleum,high,IT,Italy,4846.7,11485.6,True,False,2020-10-20,,,,,True,proxy_model,1.69
CP00032,BANK01,Manufacture FR Group 32,C25,Manufacture of fabricated metal,medium,FR,France,7.8,9.7,False,True,2021-03-18,,,,,False,estimated_economic,4.09
CP00033,BANK01,Manufacture FR Group 33,C23,"Manufacture of cement, lime and plaster",high,FR,France,8.2,19.2,False,True,2017-07-26,,,,,False,estimated_economic,5.41
CP00034,BANK01,Mining DE Group 34,B05,Mining of coal and lignite,high,DE,Germany,49.1,104.4,False,True,2018-02-14,,,,,False,proxy_model,5.67
CP00035,BANK01,Specialised FR Group 35,F43,Specialised construction,medium,FR,France,12.5,36.0,False,True,2021-05-27,,,,,False,proxy_model,0.68
CP00036,BANK01,Water FR Group 36,E36,"Water collection, treatment, supply",medium,FR,France,131.5,254.2,False,False,2016-01-22,,,,,False,cdp_disclosure,3.79
CP00037,BANK01,Extraction ES Group 37,B06,Extraction of crude petroleum and natural gas,high,ES,Spain,93.5,190.8,False,False,2023-03-06,,,,,False,proxy_model,5.62
CP00038,BANK01,Mining BE Group 38,B05,Mining of coal and lignite,high,BE,Belgium,435.1,569.6,False,False,2023-12-24,,,,,False,estimated_economic,4.42
CP00039,BANK01,Computer FR Group 39,J62,Computer programming & IT services,low,FR,France,18.6,37.3,False,True,2019-09-25,,,,,False,estimated_economic,8.12
CP00040,BANK01,Manufacture ES Group 40,C19,Manufacture of coke and refined petroleum,high,ES,Spain,2106.0,2813.0,False,False,2024-08-07,,,,,False,estimated_economic,3.56
CP00041,BANK01,Manufacture DE Group 41,C30,Manufacture of other transport equipment,medium,DE,Germany,4987.1,13489.4,False,False,2023-06-14,,,,,False,cdp_disclosure,8.62
CP00042,BANK01,Publishing FR Group 42,J58,Publishing activities,low,FR,France,143.5,227.4,False,False,2019-07-01,,,,,False,cdp_disclosure,2.93
CP00043,BANK01,Insurance FR Group 43,K65,Insurance,low,FR,France,5.1,9.7,False,True,2023-10-17,,,,,False,estimated_economic,2.51
CP00044,BANK01,Food FR Group 44,I56,Food and beverage service,medium,FR,France,616.3,1549.9,False,False,2022-06-04,,,,,False,estimated_economic,5.17
CP00045,BANK01,Water FR Group 45,H50,Water transport,medium,FR,France,38.9,114.5,False,True,2021-06-30,,,,,False,proxy_model,7.5
CP00046,BANK01,Warehousing DE Group 46,H52,Warehousing and support transport,medium,DE,Germany,43.7,56.4,False,True,2020-05-06,,,,,False,estimated_economic,4.15
CP00047,BANK01,Manufacture PT Group 47,C28,Manufacture of machinery,medium,PT,Portugal,14.9,43.6,False,True,2015-11-25,,,,,False,estimated_economic,5.13
CP00048,BANK01,Publishing DE Group 48,J58,Publishing activities,low,DE,Germany,8.0,22.0,False,True,2019-07-12,,,,,False,estimated_economic,3.63
CP00049,BANK01,Mining FI Group 49,B07,Mining of metal ores,high,FI,Finland,27.5,62.4,False,True,2021-12-11,,,,,False,estimated_economic,4.76
CP00050,BANK01,Extraction BE Group 50,B06,Extraction of crude petroleum and natural gas,high,BE,Belgium,248.7,440.1,True,False,2022-07-06,,,,,False,estimated_economic,6.1
CP00051,BANK01,Water FR Group 51,H50,Water transport,medium,FR,France,77.2,186.0,False,False,2018-05-13,,,,,False,estimated_economic,2.69
CP00052,BANK01,Manufacture LU Group 52,C27,Manufacture of electrical equipment,medium,LU,Luxembourg,3215.2,3912.2,False,False,2021-04-25,,,,,False,cdp_disclosure,4.37
CP00053,BANK01,Residential DE Group 53,Q87,Residential care activities,low,DE,Germany,21.9,36.7,False,True,2018-11-30,,,,,False,cdp_disclosure,8.76
CP00054,BANK01,Information FI Group 54,J63,Information service activities,low,FI,Finland,64.4,95.6,False,False,2024-05-08,,,,,False,proxy_model,4.19
CP00055,BANK01,Manufacture IT Group 55,C30,Manufacture of other transport equipment,medium,IT,Italy,4482.9,11892.1,False,False,2022-06-28,,,,,False,estimated_economic,5.25
CP00056,BANK01,Wholesale IT Group 56,G45,Wholesale & retail trade of motor vehicles,low,IT,Italy,490.0,1416.1,True,False,2016-04-17,,,,,False,estimated_economic,4.33
CP00057,BANK01,Financial AT Group 57,K64,Financial services,low,AT,Austria,14.7,25.1,False,True,2017-05-12,,,,,False,estimated_economic,6.79
CP00058,BANK01,Water FR Group 58,H50,Water transport,medium,FR,France,400.6,671.1,True,False,2024-06-27,,,,,False,estimated_economic,5.17
CP00059,BANK01,Mining BE Group 59,B05,Mining of coal and lignite,high,BE,Belgium,1541.9,1972.6,True,False,2016-06-19,,,,,False,cdp_disclosure,6.09
CP00060,BANK01,Civil FR Group 60,F42,Civil engineering,medium,FR,France,838.9,1839.7,True,False,2015-02-09,,,,,False,proxy_model,0.75
CP00061,BANK01,Mining LU Group 61,B07,Mining of metal ores,high,LU,Luxembourg,593.0,870.7,True,False,2019-02-21,,,,,False,estimated_economic,7.7
CP00062,BANK01,Waste FR Group 62,E38,Waste management,medium,FR,France,12.1,21.2,False,True,2023-12-05,,,,,False,estimated_economic,6.06
CP00063,BANK01,Education DE Group 63,P85,Education,low,DE,Germany,59.4,144.2,False,False,2022-06-24,,,,,False,proxy_model,3.58
CP00064,BANK01,Mining IE Group 64,B07,Mining of metal ores,high,IE,Ireland,2251.1,4348.0,False,False,2016-09-25,,,,,False,cdp_disclosure,7.27
CP00065,BANK01,Management FR Group 65,M70,Management consultancy,low,FR,France,15.4,40.7,False,True,2016-12-26,,,,,False,proxy_model,1.91
CP00066,BANK01,Information DE Group 66,J63,Information service activities,low,DE,Germany,812.3,1460.5,False,False,2023-12-30,,,,,False,estimated_economic,5.82
CP00067,BANK01,Specialised AT Group 67,F43,Specialised construction,medium,AT,Austria,27.8,41.3,False,True,2022-11-12,,,,,False,proxy_model,2.21
CP00068,BANK01,Mining FI Group 68,B07,Mining of metal ores,high,FI,Finland,1887.0,3019.9,False,False,2020-02-29,,,,,False,estimated_economic,6.96
CP00069,BANK01,Manufacture PT Group 69,C10,Manufacture of food products,medium,PT,Portugal,2060.5,3299.4,False,False,2019-06-21,,,,,False,cdp_disclosure,4.03
CP00070,BANK01,Air FI Group 70,H51,Air transport,high,FI,Finland,3987.2,6787.9,False,False,2019-06-26,,,,,False,estimated_economic,3.62
CP00071,BANK01,Specialised PT Group 71,F43,Specialised construction,medium,PT,Portugal,49.4,61.7,False,True,2024-11-01,,,,,False,audited_report,5.62
CP00072,BANK01,Education FR Group 72,P85,Education,low,FR,France,3869.0,6491.6,True,False,2019-11-15,,,,,True,cdp_disclosure,4.85
CP00073,BANK01,Manufacture IE Group 73,C10,Manufacture of food products,medium,IE,Ireland,102.1,303.4,False,False,2016-04-18,,,,,False,estimated_economic,4.44
CP00074,BANK01,Manufacture NL Group 74,C13,Manufacture of textiles,medium,NL,Netherlands,29.1,72.0,False,True,2015-01-07,,,,,False,estimated_economic,3.78
CP00075,BANK01,Manufacture IE Group 75,C29,Manufacture of motor vehicles,medium,IE,Ireland,576.2,1666.6,False,False,2017-03-18,,,,,True,proxy_model,0.37
CP00076,BANK01,Manufacture DE Group 76,C11,Manufacture of beverages,medium,DE,Germany,492.8,884.3,True,False,2024-07-05,,,,,False,proxy_model,3.97
CP00077,BANK01,Mining FI Group 77,B07,Mining of metal ores,high,FI,Finland,166.5,399.7,False,False,2018-08-29,,,,,False,estimated_economic,6.49
CP00078,BANK01,Manufacture IT Group 78,C13,Manufacture of textiles,medium,IT,Italy,12.1,23.7,False,True,2019-04-02,,,,,False,proxy_model,4.65
CP00079,BANK01,Specialised FI Group 79,F43,Specialised construction,medium,FI,Finland,352.0,613.1,False,False,2015-01-02,,,,,False,estimated_economic,4.34
CP00080,BANK01,Air FR Group 80,H51,Air transport,high,FR,France,1141.0,2615.2,True,False,2019-12-15,,,,,True,estimated_economic,2.52
CP00081,BANK01,Manufacture FR Group 81,C25,Manufacture of fabricated metal,medium,FR,France,131.7,371.7,False,False,2023-12-05,,,,,False,proxy_model,4.02
CP00082,BANK01,Warehousing BE Group 82,H52,Warehousing and support transport,medium,BE,Belgium,35.6,85.3,False,True,2021-12-11,,,,,False,estimated_economic,5.07
CP00083,BANK01,Manufacture PT Group 83,C10,Manufacture of food products,medium,PT,Portugal,898.3,2165.8,True,False,2017-03-26,,,,,False,estimated_economic,5.09
CP00084,BANK01,Other DE Group 84,B08,Other mining and quarrying,high,DE,Germany,4485.5,10318.0,False,False,2020-02-09,,,,,False,cdp_disclosure,5.28
CP00085,BANK01,Manufacture BE Group 85,C22,Manufacture of rubber and plastic,medium,BE,Belgium,19.2,47.1,False,True,2020-07-17,,,,,False,estimated_economic,5.8
CP00086,BANK01,Manufacture FR Group 86,C13,Manufacture of textiles,medium,FR,France,579.3,1626.0,False,False,2024-12-05,,,,,False,estimated_economic,2.53
CP00087,BANK01,Mining IT Group 87,B07,Mining of metal ores,high,IT,Italy,16.9,49.4,False,True,2020-10-22,,,,,False,estimated_economic,8.93
CP00088,BANK01,Manufacture NL Group 88,C27,Manufacture of electrical equipment,medium,NL,Netherlands,2834.1,4020.0,True,False,2020-03-18,,,,,False,proxy_model,4.31
CP00089,BANK01,Specialised PL Group 89,F43,Specialised construction,medium,PL,Poland,306.4,891.6,False,False,2021-11-14,,,,,True,estimated_economic,3.95
CP00090,BANK01,Wholesale FI Group 90,G45,Wholesale & retail trade of motor vehicles,low,FI,Finland,95.5,270.5,False,False,2020-01-01,,,,,False,proxy_model,6.89
CP00091,BANK02,Financial AT Group 91,K64,Financial services,low,AT,Austria,133.1,221.8,False,False,2017-10-09,,,,,False,estimated_economic,2.03
CP00092,BANK02,Retail FR Group 92,G47,Retail trade,low,FR,France,1079.0,2236.0,True,False,2019-12-07,,,,,True,estimated_economic,2.41
CP00093,BANK02,Extraction IT Group 93,B06,Extraction of crude petroleum and natural gas,high,IT,Italy,32.7,58.1,False,True,2021-01-21,,,,,False,estimated_economic,8.27
CP00094,BANK02,Extraction FR Group 94,B06,Extraction of crude petroleum and natural gas,high,FR,France,70.6,104.1,False,False,2017-05-26,,,,,False,estimated_economic,5.75
CP00095,BANK02,Mining IT Group 95,B05,Mining of coal and lignite,high,IT,Italy,212.7,414.4,True,False,2019-09-17,,,,,False,cdp_disclosure,7.35
CP00096,BANK02,Manufacture IE Group 96,C13,Manufacture of textiles,medium,IE,Ireland,3452.9,4264.9,False,False,2021-06-16,,,,,False,cdp_disclosure,2.87
CP00097,BANK02,Manufacture DE Group 97,C13,Manufacture of textiles,medium,DE,Germany,56.9,145.5,False,False,2024-07-27,,,,,False,audited_report,1.61
CP00098,BANK02,Financial PT Group 98,K64,Financial services,low,PT,Portugal,206.4,520.6,False,False,2017-06-22,,,,,False,cdp_disclosure,4.54
CP00099,BANK02,Manufacture FR Group 99,C28,Manufacture of machinery,medium,FR,France,143.5,272.6,False,False,2022-07-02,,,,,False,estimated_economic,5.1
CP00100,BANK02,Specialised IT Group 100,F43,Specialised construction,medium,IT,Italy,15.7,32.0,False,True,2016-06-06,,,,,False,proxy_model,1.57
CP00101,BANK02,Human NL Group 101,Q86,Human health activities,low,NL,Netherlands,2635.0,5969.3,False,False,2015-12-10,,,,,False,estimated_economic,7.23
CP00102,BANK02,Civil DE Group 102,F42,Civil engineering,medium,DE,Germany,121.6,156.9,False,False,2019-04-02,,,,,False,cdp_disclosure,6.64
CP00103,BANK02,Air ES Group 103,H51,Air transport,high,ES,Spain,51.6,143.6,False,False,2018-02-13,,,,,False,estimated_economic,3.94
CP00104,BANK02,Warehousing PT Group 104,H52,Warehousing and support transport,medium,PT,Portugal,28.6,38.5,False,True,2015-03-21,,,,,False,proxy_model,6.17
CP00105,BANK02,Warehousing DE Group 105,H52,Warehousing and support transport,medium,DE,Germany,3595.5,5765.7,True,False,2022-04-23,,,,,False,proxy_model,4.16
CP00106,BANK02,Forestry DE Group 106,A02,Forestry and logging,high,DE,Germany,27.7,75.1,False,True,2021-12-19,,,,,False,estimated_economic,4.09
CP00107,BANK02,Manufacture DE Group 107,C17,Manufacture of paper and paper products,high,DE,Germany,510.9,1131.7,True,False,2022-11-05,,,,,False,audited_report,5.04
CP00108,BANK02,Manufacture IT Group 108,C24,Manufacture of basic metals (steel),high,IT,Italy,329.4,966.7,False,False,2023-09-21,,,,,False,audited_report,6.81
CP00109,BANK02,Wholesale PL Group 109,G45,Wholesale & retail trade of motor vehicles,low,PL,Poland,10.6,13.2,False,True,2018-07-01,,,,,False,cdp_disclosure,3.73
CP00110,BANK02,Water LU Group 110,E36,"Water collection, treatment, supply",medium,LU,Luxembourg,67.0,193.9,False,False,2017-03-23,,,,,False,audited_report,2.95
CP00111,BANK02,Extraction BE Group 111,B06,Extraction of crude petroleum and natural gas,high,BE,Belgium,381.7,528.1,False,False,2024-07-14,,,,,True,estimated_economic,7.35
CP00112,BANK02,Land IE Group 112,H49,Land transport (road & rail),medium,IE,Ireland,1226.5,2721.2,True,False,2020-12-22,,,,,False,proxy_model,3.9
CP00113,BANK02,Manufacture IT Group 113,C22,Manufacture of rubber and plastic,medium,IT,Italy,165.2,299.7,False,False,2024-07-11,,,,,False,cdp_disclosure,5.31
CP00114,BANK02,Manufacture ES Group 114,C22,Manufacture of rubber and plastic,medium,ES,Spain,100.1,185.4,False,False,2024-12-30,,,,,False,cdp_disclosure,6.51
CP00115,BANK02,Wholesale BE Group 115,G46,Wholesale trade,low,BE,Belgium,101.5,255.9,False,False,2022-04-18,,,,,False,estimated_economic,2.44
CP00116,BANK02,Manufacture IE Group 116,C24,Manufacture of basic metals (steel),high,IE,Ireland,206.3,427.1,True,False,2023-03-14,,,,,True,proxy_model,2.63
CP00117,BANK02,Waste IT Group 117,E38,Waste management,medium,IT,Italy,27.3,78.7,False,True,2018-02-16,,,,,False,audited_report,7.79
CP00118,BANK02,Information FR Group 118,J63,Information service activities,low,FR,France,124.2,285.5,False,False,2019-04-02,,,,,False,estimated_economic,2.61
CP00119,BANK02,Manufacture ES Group 119,C10,Manufacture of food products,medium,ES,Spain,47.3,98.3,False,True,2018-12-24,,,,,False,estimated_economic,4.43
CP00120,BANK02,Food IT Group 120,I56,Food and beverage service,medium,IT,Italy,2192.6,5398.5,True,False,2015-02-11,,,,,False,proxy_model,3.15
CP00121,BANK02,Manufacture FR Group 121,C29,Manufacture of motor vehicles,medium,FR,France,26.6,51.4,False,True,2021-03-24,,,,,False,estimated_economic,3.18
CP00122,BANK02,Warehousing BE Group 122,H52,Warehousing and support transport,medium,BE,Belgium,434.2,904.6,False,False,2016-01-17,,,,,False,proxy_model,0.79
CP00123,BANK02,"Electricity, IT Group 123",D35,"Electricity, gas, steam supply",high,IT,Italy,26.9,64.4,False,True,2019-02-20,,,,,False,audited_report,6.37
CP00124,BANK02,Manufacture NL Group 124,C27,Manufacture of electrical equipment,medium,NL,Netherlands,94.7,240.8,False,False,2018-09-16,,,,,False,estimated_economic,3.02
CP00125,BANK02,Manufacture ES Group 125,C10,Manufacture of food products,medium,ES,Spain,41.7,67.3,False,True,2023-02-02,,,,,False,estimated_economic,4.08
CP00126,BANK02,Manufacture DE Group 126,C19,Manufacture of coke and refined petroleum,high,DE,Germany,203.0,522.1,True,False,2017-06-05,,,,,False,proxy_model,7.57
CP00127,BANK02,Warehousing FR Group 127,H52,Warehousing and support transport,medium,FR,France,294.3,755.9,False,False,2016-02-16,,,,,False,estimated_economic,2.03
CP00128,BANK02,Wholesale IT Group 128,G46,Wholesale trade,low,IT,Italy,60.6,105.7,False,False,2022-12-10,,,,,False,cdp_disclosure,3.83
CP00129,BANK02,Manufacture FR Group 129,C30,Manufacture of other transport equipment,medium,FR,France,4196.5,9215.7,False,False,2016-06-01,,,,,False,estimated_economic,5.17
CP00130,BANK02,Civil AT Group 130,F42,Civil engineering,medium,AT,Austria,10.2,12.5,False,True,2018-03-10,,,,,False,cdp_disclosure,6.12
CP00131,BANK02,Manufacture ES Group 131,C27,Manufacture of electrical equipment,medium,ES,Spain,17.9,23.1,False,True,2024-08-30,,,,,False,audited_report,3.81
CP00132,BANK02,Manufacture PT Group 132,C27,Manufacture of electrical equipment,medium,PT,Portugal,79.8,106.4,False,False,2022-01-22,,,,,False,estimated_economic,3.37
CP00133,BANK02,Land FR Group 133,H49,Land transport (road & rail),medium,FR,France,1359.6,3954.3,True,False,2017-10-13,,,,,True,audited_report,3.27
CP00134,BANK02,Mining IE Group 134,B07,Mining of metal ores,high,IE,Ireland,330.3,866.5,True,False,2020-11-10,,,,,False,estimated_economic,5.53
CP00135,BANK02,Manufacture LU Group 135,C13,Manufacture of textiles,medium,LU,Luxembourg,39.1,88.3,False,True,2019-10-23,,,,,False,estimated_economic,6.81
CP00136,BANK02,Air BE Group 136,H51,Air transport,high,BE,Belgium,338.0,855.9,False,False,2017-05-01,,,,,False,cdp_disclosure,4.68
CP00137,BANK02,Construction FR Group 137,F41,Construction of buildings,medium,FR,France,8.8,14.4,False,True,2021-03-10,,,,,False,audited_report,3.55
CP00138,BANK02,Mining DE Group 138,B05,Mining of coal and lignite,high,DE,Germany,112.6,255.5,False,False,2018-04-07,,,,,False,proxy_model,5.58
CP00139,BANK02,Forestry IT Group 139,A02,Forestry and logging,high,IT,Italy,35.3,97.0,False,True,2015-10-19,,,,,False,estimated_economic,4.31
CP00140,BANK02,Land LU Group 140,H49,Land transport (road & rail),medium,LU,Luxembourg,1157.4,2691.1,False,False,2017-03-21,,,,,False,estimated_economic,6.08
CP00141,BANK02,Manufacture NL Group 141,C22,Manufacture of rubber and plastic,medium,NL,Netherlands,439.4,1245.8,False,False,2015-10-20,,,,,False,estimated_economic,7.44
CP00142,BANK02,Mining IE Group 142,B05,Mining of coal and lignite,high,IE,Ireland,305.6,820.1,False,False,2019-12-04,,,,,False,estimated_economic,4.84
CP00143,BANK02,Mining BE Group 143,B07,Mining of metal ores,high,BE,Belgium,629.8,1824.4,False,False,2020-07-15,,,,,False,estimated_economic,5.28
CP00144,BANK02,Manufacture NL Group 144,C25,Manufacture of fabricated metal,medium,NL,Netherlands,2334.9,5889.0,False,False,2015-04-16,,,,,False,estimated_economic,4.35
CP00145,BANK02,Extraction PL Group 145,B06,Extraction of crude petroleum and natural gas,high,PL,Poland,1613.9,3607.6,False,False,2023-07-30,,,,,False,estimated_economic,3.3
CP00146,BANK02,Specialised FR Group 146,F43,Specialised construction,medium,FR,France,6.6,16.9,False,True,2020-04-11,,,,,False,estimated_economic,3.2
CP00147,BANK02,Manufacture ES Group 147,C29,Manufacture of motor vehicles,medium,ES,Spain,34.2,102.4,False,True,2019-11-21,,,,,False,estimated_economic,4.78
CP00148,BANK02,Civil ES Group 148,F42,Civil engineering,medium,ES,Spain,9.4,17.2,False,True,2018-09-27,,,,,False,proxy_model,2.0
CP00149,BANK02,Air DE Group 149,H51,Air transport,high,DE,Germany,15.2,29.5,False,True,2020-07-22,,,,,False,estimated_economic,5.24
CP00150,BANK02,"Electricity, LU Group 150",D35,"Electricity, gas, steam supply",high,LU,Luxembourg,1382.6,3028.1,True,False,2018-07-12,,,,,True,estimated_economic,6.99
CP00151,BANK02,Manufacture DE Group 151,C23,"Manufacture of cement, lime and plaster",high,DE,Germany,1041.5,2871.2,False,False,2015-01-05,,,,,False,audited_report,8.17
CP00152,BANK02,Civil NL Group 152,F42,Civil engineering,medium,NL,Netherlands,87.0,133.8,False,False,2019-01-21,,,,,False,proxy_model,3.97
CP00153,BANK02,Construction ES Group 153,F41,Construction of buildings,medium,ES,Spain,106.2,137.3,False,False,2017-12-29,,,,,False,cdp_disclosure,3.36
CP00154,BANK02,Manufacture LU Group 154,C30,Manufacture of other transport equipment,medium,LU,Luxembourg,103.4,254.0,False,False,2016-05-12,,,,,False,estimated_economic,4.69
CP00155,BANK02,Forestry BE Group 155,A02,Forestry and logging,high,BE,Belgium,1253.0,3104.4,True,False,2015-02-26,,,,,False,proxy_model,6.5
CP00156,BANK02,Manufacture DE Group 156,C30,Manufacture of other transport equipment,medium,DE,Germany,4750.9,13508.1,True,False,2016-04-26,,,,,False,estimated_economic,5.84
CP00157,BANK02,Civil FR Group 157,F42,Civil engineering,medium,FR,France,3147.5,5430.5,False,False,2019-08-29,,,,,False,estimated_economic,2.9
CP00158,BANK02,Wholesale PL Group 158,G46,Wholesale trade,low,PL,Poland,27.0,59.2,False,True,2019-04-21,,,,,False,estimated_economic,5.99
CP00159,BANK02,Manufacture NL Group 159,C19,Manufacture of coke and refined petroleum,high,NL,Netherlands,868.7,1255.9,True,False,2023-08-31,,,,,False,estimated_economic,5.3
CP00160,BANK02,Food IT Group 160,I56,Food and beverage service,medium,IT,Italy,3182.3,6727.2,False,False,2018-03-04,,,,,False,estimated_economic,2.07
CP00161,BANK03,Publishing PT Group 161,J58,Publishing activities,low,PT,Portugal,275.3,657.4,False,False,2020-01-04,,,,,False,audited_report,2.93
CP00162,BANK03,Water IT Group 162,H50,Water transport,medium,IT,Italy,226.9,494.2,True,False,2018-08-11,,,,,True,estimated_economic,0.68
CP00163,BANK03,Management PL Group 163,M70,Management consultancy,low,PL,Poland,26.1,49.3,False,True,2024-08-07,,,,,False,estimated_economic,6.75
CP00164,BANK03,Information DE Group 164,J63,Information service activities,low,DE,Germany,859.2,2121.7,False,False,2019-05-01,,,,,False,estimated_economic,2.51
CP00165,BANK03,Residential IE Group 165,Q87,Residential care activities,low,IE,Ireland,453.0,667.6,False,False,2016-06-01,,,,,False,estimated_economic,6.23
CP00166,BANK03,Specialised NL Group 166,F43,Specialised construction,medium,NL,Netherlands,2037.5,5651.1,True,False,2020-11-24,,,,,False,cdp_disclosure,6.63
CP00167,BANK03,Employment DE Group 167,N78,Employment activities,low,DE,Germany,13.6,37.6,False,True,2016-09-24,,,,,False,estimated_economic,4.88
CP00168,BANK03,Manufacture IE Group 168,C17,Manufacture of paper and paper products,high,IE,Ireland,31.3,72.7,False,True,2019-06-17,,,,,False,proxy_model,4.21
CP00169,BANK03,Wholesale PT Group 169,G45,Wholesale & retail trade of motor vehicles,low,PT,Portugal,1807.3,4964.3,True,False,2018-07-21,,,,,True,estimated_economic,2.92
CP00170,BANK03,Food FI Group 170,I56,Food and beverage service,medium,FI,Finland,145.8,316.9,False,False,2021-12-04,,,,,False,estimated_economic,5.31
CP00171,BANK03,Other BE Group 171,B08,Other mining and quarrying,high,BE,Belgium,2902.6,8694.4,False,False,2019-11-13,,,,,False,estimated_economic,5.27
