meeting_id,bank_id,committee_name,committee_type,meeting_date,reporting_year,quorum_reached,members_present,climate_agenda_flag,climate_topics_discussed,decision_made_flag,decision_summary,ifrs_s2_para_evidence
MTG-BANK02-ESG-2024-007,BANK02,ESG & Sustainability Committee,esg_committee,2024-05-06,2024,True,4,True,green_finance_growth|tcfd_review,False,,§6(a)(iii)
MTG-BANK02-ESG-2024-008,BANK02,ESG & Sustainability Committee,esg_committee,2024-01-22,2024,True,4,True,exec_remuneration_esg_kpis|physical_risk_update|carbon_credit_approval,True,Endorsed updated transition plan,§6(a)(v)
MTG-BANK03-FB-2022-001,BANK03,Full Board,full_board,2022-01-03,2022,True,7,True,carbon_credit_approval|green_finance_growth,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK03-FB-2022-002,BANK03,Full Board,full_board,2022-04-13,2022,True,10,True,exec_remuneration_esg_kpis|net_zero_progress|tcfd_review,True,Approved green finance framework update,§6(a)(iii)
MTG-BANK03-FB-2022-003,BANK03,Full Board,full_board,2022-07-12,2022,True,9,True,carbon_credit_approval|net_zero_progress,False,,§6(a)(iii)
MTG-BANK03-FB-2022-004,BANK03,Full Board,full_board,2022-10-17,2022,True,10,False,,False,,§6(a)(iii)
MTG-BANK03-FB-2022-005,BANK03,Full Board,full_board,2022-06-13,2022,True,9,False,,False,,§6(a)(iii)
MTG-BANK03-ESG-2022-006,BANK03,ESG & Sustainability Committee,esg_committee,2022-03-28,2022,True,4,True,scenario_analysis|green_finance_growth,False,,§6(a)(iii)
MTG-BANK03-ESG-2022-007,BANK03,ESG & Sustainability Committee,esg_committee,2022-10-03,2022,True,4,True,exec_remuneration_esg_kpis|tcfd_review|green_finance_growth|net_zero_progress,True,Approved climate scenario analysis methodology,§6(a)(v)
MTG-BANK03-ESG-2022-008,BANK03,ESG & Sustainability Committee,esg_committee,2022-12-05,2022,True,5,True,exec_remuneration_esg_kpis|transition_plan_review,False,,§6(a)(iii)
MTG-BANK03-ESG-2022-009,BANK03,ESG & Sustainability Committee,esg_committee,2022-04-06,2022,True,4,True,transition_plan_review|physical_risk_update|exec_remuneration_esg_kpis,False,,§6(a)(iii)
MTG-BANK03-FB-2023-001,BANK03,Full Board,full_board,2023-01-19,2023,True,9,True,carbon_credit_approval|tcfd_review,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK03-FB-2023-002,BANK03,Full Board,full_board,2023-04-20,2023,True,9,True,tcfd_review,True,Approved 2024 ESG report for publication,§6(a)(iii)
MTG-BANK03-FB-2023-003,BANK03,Full Board,full_board,2023-07-20,2023,True,10,False,,False,,§6(a)(iii)
MTG-BANK03-FB-2023-004,BANK03,Full Board,full_board,2023-10-16,2023,True,5,True,transition_plan_review,True,Approved climate scenario analysis methodology,§6(a)(iii)
MTG-BANK03-ESG-2023-005,BANK03,ESG & Sustainability Committee,esg_committee,2023-09-18,2023,True,4,True,green_finance_growth|exec_remuneration_esg_kpis,True,Approved climate scenario analysis methodology,§6(a)(v)
MTG-BANK03-ESG-2023-006,BANK03,ESG & Sustainability Committee,esg_committee,2023-02-01,2023,True,5,True,carbon_credit_approval|net_zero_progress|scenario_analysis,True,Endorsed updated transition plan,§6(a)(v)
MTG-BANK03-ESG-2023-007,BANK03,ESG & Sustainability Committee,esg_committee,2023-08-09,2023,True,4,True,exec_remuneration_esg_kpis|carbon_credit_approval|green_finance_growth|net_zero_progress,False,,§6(a)(iii)
MTG-BANK03-ESG-2023-008,BANK03,ESG & Sustainability Committee,esg_committee,2023-12-15,2023,True,4,True,carbon_credit_approval|green_finance_growth|exec_remuneration_esg_kpis|tcfd_review,True,Endorsed updated transition plan,§6(a)(v)
MTG-BANK03-FB-2024-001,BANK03,Full Board,full_board,2024-01-15,2024,True,9,True,exec_remuneration_esg_kpis,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK03-FB-2024-002,BANK03,Full Board,full_board,2024-04-29,2024,True,10,True,net_zero_progress|scenario_analysis,False,,§6(a)(iii)
MTG-BANK03-FB-2024-003,BANK03,Full Board,full_board,2024-07-25,2024,True,8,True,net_zero_progress,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK03-FB-2024-004,BANK03,Full Board,full_board,2024-10-18,2024,True,9,True,exec_remuneration_esg_kpis|green_finance_growth|tcfd_review,True,Endorsed net-zero interim target revision,§6(a)(iii)
MTG-BANK03-ESG-2024-005,BANK03,ESG & Sustainability Committee,esg_committee,2024-10-29,2024,False,4,True,physical_risk_update|exec_remuneration_esg_kpis|carbon_credit_approval,False,,§6(a)(iii)
MTG-BANK03-ESG-2024-006,BANK03,ESG & Sustainability Committee,esg_committee,2024-02-12,2024,True,5,True,carbon_credit_approval|scenario_analysis|physical_risk_update,True,Approved green finance framework update,§6(a)(v)
MTG-BANK03-ESG-2024-007,BANK03,ESG & Sustainability Committee,esg_committee,2024-05-07,2024,True,4,True,net_zero_progress|green_finance_growth,False,,§6(a)(iii)
MTG-BANK03-ESG-2024-008,BANK03,ESG & Sustainability Committee,esg_committee,2024-11-18,2024,True,4,True,tcfd_review|physical_risk_update|scenario_analysis|transition_plan_review,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK04-FB-2022-001,BANK04,Full Board,full_board,2022-01-18,2022,True,10,True,net_zero_progress|carbon_credit_approval,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK04-FB-2022-002,BANK04,Full Board,full_board,2022-04-18,2022,True,9,True,physical_risk_update,False,,§6(a)(iii)
MTG-BANK04-FB-2022-003,BANK04,Full Board,full_board,2022-07-07,2022,True,10,True,carbon_credit_approval|transition_plan_review,False,,§6(a)(iii)
MTG-BANK04-FB-2022-004,BANK04,Full Board,full_board,2022-10-25,2022,True,12,True,green_finance_growth|net_zero_progress,True,Approved green finance framework update,§6(a)(iii)
MTG-BANK04-FB-2022-005,BANK04,Full Board,full_board,2022-01-24,2022,True,7,True,exec_remuneration_esg_kpis|net_zero_progress|carbon_credit_approval,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK04-FB-2022-006,BANK04,Full Board,full_board,2022-04-18,2022,True,10,True,carbon_credit_approval|transition_plan_review|tcfd_review,False,,§6(a)(iii)
MTG-BANK04-FB-2022-007,BANK04,Full Board,full_board,2022-03-18,2022,True,12,True,transition_plan_review|green_finance_growth,False,,§6(a)(iii)
MTG-BANK04-FB-2022-008,BANK04,Full Board,full_board,2022-01-24,2022,True,11,True,physical_risk_update|scenario_analysis,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK04-ESG-2022-009,BANK04,ESG & Sustainability Committee,esg_committee,2022-06-13,2022,True,5,True,exec_remuneration_esg_kpis|physical_risk_update,True,Endorsed net-zero interim target revision,§6(a)(v)
MTG-BANK04-ESG-2022-010,BANK04,ESG & Sustainability Committee,esg_committee,2022-09-09,2022,True,6,True,tcfd_review|carbon_credit_approval|transition_plan_review|net_zero_progress,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK04-ESG-2022-011,BANK04,ESG & Sustainability Committee,esg_committee,2022-11-28,2022,False,5,True,exec_remuneration_esg_kpis|carbon_credit_approval|scenario_analysis,True,Endorsed net-zero interim target revision,§6(a)(v)
MTG-BANK04-ESG-2022-012,BANK04,ESG & Sustainability Committee,esg_committee,2022-03-18,2022,True,5,True,net_zero_progress|tcfd_review|scenario_analysis,False,,§6(a)(iii)
MTG-BANK04-ESG-2022-013,BANK04,ESG & Sustainability Committee,esg_committee,2022-06-27,2022,True,6,True,transition_plan_review|carbon_credit_approval|tcfd_review,True,Approved green finance framework update,§6(a)(v)
MTG-BANK04-ESG-2022-014,BANK04,ESG & Sustainability Committee,esg_committee,2022-05-23,2022,True,6,True,green_finance_growth|exec_remuneration_esg_kpis|transition_plan_review|carbon_credit_approval,False,,§6(a)(iii)
MTG-BANK04-ESG-2022-015,BANK04,ESG & Sustainability Committee,esg_committee,2022-12-19,2022,True,6,True,green_finance_growth|net_zero_progress,True,Endorsed net-zero interim target revision,§6(a)(v)
MTG-BANK04-ESG-2022-016,BANK04,ESG & Sustainability Committee,esg_committee,2022-11-07,2022,True,6,True,green_finance_growth|net_zero_progress,True,Endorsed updated transition plan,§6(a)(v)
MTG-BANK04-ESG-2022-017,BANK04,ESG & Sustainability Committee,esg_committee,2022-01-12,2022,True,6,True,net_zero_progress|tcfd_review,False,,§6(a)(iii)
MTG-BANK04-FB-2023-001,BANK04,Full Board,full_board,2023-01-23,2023,True,12,True,exec_remuneration_esg_kpis,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK04-FB-2023-002,BANK04,Full Board,full_board,2023-04-28,2023,True,11,True,scenario_analysis|carbon_credit_approval,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK04-FB-2023-003,BANK04,Full Board,full_board,2023-07-05,2023,True,12,False,,False,,§6(a)(iii)
MTG-BANK04-FB-2023-004,BANK04,Full Board,full_board,2023-10-24,2023,True,10,True,scenario_analysis|exec_remuneration_esg_kpis|physical_risk_update,True,Approved climate scenario analysis methodology,§6(a)(iii)
MTG-BANK04-ESG-2023-005,BANK04,ESG & Sustainability Committee,esg_committee,2023-11-07,2023,True,6,True,exec_remuneration_esg_kpis|scenario_analysis,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK04-ESG-2023-006,BANK04,ESG & Sustainability Committee,esg_committee,2023-10-16,2023,True,5,True,exec_remuneration_esg_kpis|net_zero_progress|scenario_analysis|carbon_credit_approval,False,,§6(a)(iii)
MTG-BANK04-ESG-2023-007,BANK04,ESG & Sustainability Committee,esg_committee,2023-09-19,2023,True,4,True,exec_remuneration_esg_kpis|scenario_analysis|tcfd_review,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK04-ESG-2023-008,BANK04,ESG & Sustainability Committee,esg_committee,2023-09-12,2023,True,6,True,net_zero_progress|carbon_credit_approval|scenario_analysis,False,,§6(a)(iii)
MTG-BANK04-ESG-2023-009,BANK04,ESG & Sustainability Committee,esg_committee,2023-05-08,2023,True,4,True,transition_plan_review|exec_remuneration_esg_kpis|carbon_credit_approval,True,Approved carbon credit procurement budget,§6(a)(v)
MTG-BANK04-ESG-2023-010,BANK04,ESG & Sustainability Committee,esg_committee,2023-07-10,2023,True,5,True,scenario_analysis|tcfd_review|exec_remuneration_esg_kpis|carbon_credit_approval,True,Approved climate scenario analysis methodology,§6(a)(v)
MTG-BANK04-ESG-2023-011,BANK04,ESG & Sustainability Committee,esg_committee,2023-08-02,2023,False,4,True,physical_risk_update|net_zero_progress|green_finance_growth,False,,§6(a)(iii)
MTG-BANK04-ESG-2023-012,BANK04,ESG & Sustainability Committee,esg_committee,2023-04-10,2023,True,6,True,green_finance_growth|carbon_credit_approval|physical_risk_update|tcfd_review,True,Approved carbon credit procurement budget,§6(a)(v)
MTG-BANK04-ESG-2023-013,BANK04,ESG & Sustainability Committee,esg_committee,2023-07-12,2023,True,5,True,scenario_analysis|transition_plan_review|net_zero_progress,False,,§6(a)(iii)
MTG-BANK04-ESG-2023-014,BANK04,ESG & Sustainability Committee,esg_committee,2023-10-19,2023,True,4,True,physical_risk_update|transition_plan_review|carbon_credit_approval|green_finance_growth,True,Endorsed net-zero interim target revision,§6(a)(v)
MTG-BANK04-FB-2024-001,BANK04,Full Board,full_board,2024-01-08,2024,True,9,True,exec_remuneration_esg_kpis,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK04-FB-2024-002,BANK04,Full Board,full_board,2024-04-25,2024,True,11,True,carbon_credit_approval|tcfd_review|transition_plan_review,False,,§6(a)(iii)
MTG-BANK04-FB-2024-003,BANK04,Full Board,full_board,2024-07-26,2024,True,11,True,green_finance_growth|exec_remuneration_esg_kpis|scenario_analysis,True,Approved 2024 ESG report for publication,§6(a)(iii)
MTG-BANK04-FB-2024-004,BANK04,Full Board,full_board,2024-10-02,2024,True,9,True,scenario_analysis,True,Approved carbon credit procurement budget,§6(a)(iii)
MTG-BANK04-FB-2024-005,BANK04,Full Board,full_board,2024-11-15,2024,True,10,True,carbon_credit_approval,False,,§6(a)(iii)
MTG-BANK04-FB-2024-006,BANK04,Full Board,full_board,2024-06-24,2024,True,11,True,transition_plan_review,True,Endorsed net-zero interim target revision,§6(a)(iii)
MTG-BANK04-ESG-2024-007,BANK04,ESG & Sustainability Committee,esg_committee,2024-09-09,2024,True,5,True,carbon_credit_approval|scenario_analysis,False,,§6(a)(iii)
MTG-BANK04-ESG-2024-008,BANK04,ESG & Sustainability Committee,esg_committee,2024-04-09,2024,True,5,True,scenario_analysis|green_finance_growth,False,,§6(a)(iii)
MTG-BANK04-ESG-2024-009,BANK04,ESG & Sustainability Committee,esg_committee,2024-10-28,2024,True,5,True,scenario_analysis|carbon_credit_approval|transition_plan_review|green_finance_growth,False,,§6(a)(iii)
MTG-BANK04-ESG-2024-010,BANK04,ESG & Sustainability Committee,esg_committee,2024-10-17,2024,True,6,True,net_zero_progress|exec_remuneration_esg_kpis,True,Approved climate scenario analysis methodology,§6(a)(v)
MTG-BANK04-ESG-2024-011,BANK04,ESG & Sustainability Committee,esg_committee,2024-08-23,2024,True,5,True,exec_remuneration_esg_kpis|carbon_credit_approval|transition_plan_review,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK04-ESG-2024-012,BANK04,ESG & Sustainability Committee,esg_committee,2024-05-06,2024,True,6,True,exec_remuneration_esg_kpis|green_finance_growth|transition_plan_review,True,Endorsed net-zero interim target revision,§6(a)(v)
MTG-BANK04-ESG-2024-013,BANK04,ESG & Sustainability Committee,esg_committee,2024-06-05,2024,True,6,True,carbon_credit_approval|transition_plan_review,True,Approved climate scenario analysis methodology,§6(a)(v)
MTG-BANK04-ESG-2024-014,BANK04,ESG & Sustainability Committee,esg_committee,2024-07-29,2024,True,5,True,green_finance_growth|exec_remuneration_esg_kpis|tcfd_review|transition_plan_review,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK04-ESG-2024-015,BANK04,ESG & Sustainability Committee,esg_committee,2024-11-19,2024,True,6,True,green_finance_growth|exec_remuneration_esg_kpis|transition_plan_review,True,Approved climate scenario analysis methodology,§6(a)(v)
MTG-BANK04-ESG-2024-016,BANK04,ESG & Sustainability Committee,esg_committee,2024-12-09,2024,True,6,True,tcfd_review|net_zero_progress,False,,§6(a)(iii)
MTG-BANK04-ESG-2024-017,BANK04,ESG & Sustainability Committee,esg_committee,2024-09-16,2024,True,6,True,tcfd_review|physical_risk_update|net_zero_progress,False,,§6(a)(iii)
MTG-BANK05-FB-2022-001,BANK05,Full Board,full_board,2022-01-19,2022,True,9,True,net_zero_progress|scenario_analysis,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK05-FB-2022-002,BANK05,Full Board,full_board,2022-04-11,2022,True,9,False,,False,,§6(a)(iii)
MTG-BANK05-FB-2022-003,BANK05,Full Board,full_board,2022-07-19,2022,False,10,False,,False,,§6(a)(iii)
MTG-BANK05-FB-2022-004,BANK05,Full Board,full_board,2022-10-26,2022,True,11,False,,False,,§6(a)(iii)
MTG-BANK05-FB-2023-001,BANK05,Full Board,full_board,2023-01-04,2023,True,11,True,tcfd_review,True,Approved 2024 ESG report for publication,§6(a)(v)
MTG-BANK05-FB-2023-002,BANK05,Full Board,full_board,2023-04-17,2023,True,10,False,,False,,§6(a)(iii)
MTG-BANK05-FB-2023-003,BANK05,Full Board,full_board,2023-07-10,2023,True,8,True,net_zero_progress,False,,§6(a)(iii)
MTG-BANK05-FB-2023-004,BANK05,Full Board,full_board,2023-10-24,2023,True,10,True,transition_plan_review|carbon_credit_approval,True,Approved green finance framework update,§6(a)(iii)
MTG-BANK05-FB-2023-005,BANK05,Full Board,full_board,2023-10-11,2023,True,9,True,exec_remuneration_esg_kpis,True,Endorsed updated transition plan,§6(a)(iii)
MTG-BANK05-FB-2023-006,BANK05,Full Board,full_board,2023-02-09,2023,True,10,False,,False,,§6(a)(iii)
MTG-BANK05-FB-2023-007,BANK05,Full Board,full_board,2023-08-24,2023,True,11,False,,False,,§6(a)(iii)
MTG-BANK05-FB-2024-001,BANK05,Full Board,full_board,2024-01-23,2024,True,12,True,transition_plan_review|carbon_credit_approval|net_zero_progress,True,Approved 2024 ESG report for publication,§6(a)(v)
