collateral_id,exposure_id,bank_id,counterparty_id,collateral_type,property_type,country,market_value_meur,ltv_pct,epc_rating,year_built,floor_area_sqm,valuation_date,physical_risk_score,market_value_at_origination_meur,building_emissions_tco2e,postcode,flood_zone_class,exposure_amount_meur
COL00082,EXP000186,BANK02,CP00093,real_estate,industrial,DE,12.96,54.2,A,1972,8300,2023-07-29,1,11.06,157.7,72800,low,7.03
COL00083,EXP000191,BANK02,CP00095,real_estate,residential_multi,DE,27.16,74.1,D,2011,16050,2023-07-08,4,34.69,1524.75,16937,very_high,20.12
COL00084,EXP000195,BANK02,CP00097,real_estate,logistics,BE,30.75,59.0,E,1975,14367,2023-05-30,3,31.29,830.41,99996,high,18.14
COL00085,EXP000197,BANK02,CP00098,real_estate,logistics,ES,109.23,65.9,E,1985,15802,2024-05-06,2,138.47,779.04,45173,medium,72.02
COL00086,EXP000201,BANK02,CP00100,real_estate,residential_multi,IE,2.67,60.7,D,2019,13860,2024-03-11,1,2.67,1004.85,88042,low,1.62
COL00087,EXP000202,BANK02,CP00101,real_estate,residential_multi,IT,1049.1,76.3,B,2016,1596,2023-12-30,5,1630.27,43.41,04755,very_high,800.89
COL00088,EXP000204,BANK02,CP00101,real_estate,retail,FR,352.51,76.4,E,1986,11630,2024-12-24,3,487.82,205.62,28281,high,269.46
COL00089,EXP000205,BANK02,CP00102,real_estate,industrial,AT,50.44,61.9,B,2003,15256,2023-05-24,2,45.34,167.82,36097,medium,31.2
COL00090,EXP000211,BANK02,CP00106,real_estate,mixed_use,IT,14.46,53.2,C,2020,20052,2024-11-05,2,13.33,927.2,12708,medium,7.69
COL00091,EXP000215,BANK02,CP00109,real_estate,retail,IT,1.94,70.6,D,2004,19352,2024-09-24,4,2.32,1315.94,03383,very_high,1.37
COL00092,EXP000219,BANK02,CP00112,real_estate,logistics,DE,322.03,69.3,A,1973,16565,2024-11-26,3,429.5,314.74,57041,high,223.13
COL00093,EXP000226,BANK02,CP00117,real_estate,industrial,IT,10.01,51.1,F,2013,2309,2023-03-05,3,9.38,282.62,01945,high,5.12
COL00094,EXP000230,BANK02,CP00120,real_estate,office,IT,716.67,58.9,E,1963,5903,2023-11-25,1,644.2,545.91,88397,low,422.22
COL00095,EXP000234,BANK02,CP00122,real_estate,logistics,FR,71.53,55.1,B,1992,16292,2024-03-24,3,76.63,84.72,25570,high,39.38
COL00096,EXP000235,BANK02,CP00122,real_estate,residential_multi,IE,59.39,49.2,E,1984,3018,2024-08-19,1,38.5,297.57,70444,low,29.22
COL00097,EXP000237,BANK02,CP00123,real_estate,industrial,IT,17.61,47.5,A,2012,18821,2024-07-13,4,13.21,255.97,08112,very_high,8.37
COL00098,EXP000239,BANK02,CP00124,real_estate,logistics,ES,20.9,53.3,D,1986,18889,2024-04-30,3,18.64,684.73,22446,high,11.13
COL00099,EXP000241,BANK02,CP00126,real_estate,mixed_use,DE,75.97,70.2,F,2014,20695,2024-01-21,4,81.99,3538.84,67251,very_high,53.35
COL00100,EXP000248,BANK02,CP00129,real_estate,office,FR,1137.21,71.1,D,2002,938,2023-08-18,4,1440.03,12.19,15950,very_high,808.75
COL00101,EXP000249,BANK02,CP00129,real_estate,residential_multi,DE,1764.06,51.7,E,1980,9639,2023-03-18,3,1623.49,1245.36,51923,high,912.63
COL00102,EXP000250,BANK02,CP00130,real_estate,warehouse,IT,5.97,57.1,D,1967,18089,2024-12-15,4,5.48,1230.05,77824,very_high,3.41
COL00103,EXP000257,BANK02,CP00133,real_estate,industrial,IE,359.17,62.5,C,1977,6892,2024-07-14,4,354.31,339.78,88976,very_high,224.33
COL00104,EXP000258,BANK02,CP00133,real_estate,office,DE,430.3,66.1,E,1964,11532,2023-03-14,5,508.51,1489.93,19294,very_high,284.58
COL00105,EXP000267,BANK02,CP00136,real_estate,industrial,DE,103.98,64.8,D,1964,16472,2024-06-03,2,106.87,1564.84,87346,medium,67.37
COL00106,EXP000268,BANK02,CP00136,real_estate,mixed_use,PL,68.47,48.4,C,1962,2013,2023-01-27,4,62.04,222.44,97446,very_high,33.16
COL00107,EXP000271,BANK02,CP00137,real_estate,logistics,DE,5.27,52.2,F,2021,1908,2024-02-01,4,5.09,326.27,58762,very_high,2.75
COL00108,EXP000273,BANK02,CP00138,real_estate,industrial,DE,49.56,71.2,C,2007,11727,2023-07-18,2,67.74,757.56,24840,medium,35.3
COL00109,EXP000276,BANK02,CP00139,real_estate,office,AT,13.46,66.5,B,1965,688,2023-09-13,4,18.15,7.57,89717,very_high,8.95
COL00110,EXP000278,BANK02,CP00140,real_estate,industrial,IT,443.44,64.3,B,1991,9781,2023-05-13,3,442.59,266.04,70041,high,285.29
COL00111,EXP000280,BANK02,CP00141,real_estate,office,LU,145.8,73.1,B,1986,16417,2024-12-23,3,240.86,147.75,73940,high,106.52
COL00112,EXP000281,BANK02,CP00141,real_estate,industrial,IT,227.45,58.9,F,2006,18268,2023-10-27,4,198.48,2236.0,35586,very_high,133.86
COL00113,EXP000282,BANK02,CP00142,real_estate,retail,ES,119.07,51.9,F,1966,11558,2024-02-25,3,135.78,754.16,44477,high,61.76
COL00114,EXP000285,BANK02,CP00144,real_estate,industrial,ES,1522.88,48.6,B,1999,24510,2024-07-20,2,1345.05,355.39,33028,medium,740.24
COL00115,EXP000286,BANK02,CP00144,real_estate,industrial,FR,579.65,75.1,E,2016,21496,2024-04-09,5,759.28,380.05,40707,very_high,435.08
COL00116,EXP000287,BANK02,CP00145,real_estate,retail,IT,694.99,64.5,E,1970,2156,2023-10-13,4,675.32,199.39,66911,very_high,448.33
COL00117,EXP000288,BANK02,CP00146,real_estate,residential_multi,DE,2.83,60.8,A,1986,12629,2023-07-08,3,2.77,239.95,73272,high,1.72
COL00118,EXP000289,BANK02,CP00146,real_estate,office,IT,0.97,55.7,D,1963,20147,2023-12-11,5,0.86,1370.0,65359,very_high,0.54
COL00119,EXP000298,BANK02,CP00150,real_estate,residential_multi,IE,799.81,48.1,E,1967,3778,2024-07-20,2,665.15,372.51,38590,medium,384.68
COL00120,EXP000309,BANK02,CP00154,real_estate,warehouse,FR,28.91,50.2,D,2008,15513,2023-09-01,1,30.33,201.67,06473,low,14.51
COL00121,EXP000311,BANK02,CP00154,real_estate,retail,FR,16.57,72.6,E,1997,11260,2024-08-07,2,18.41,199.08,95996,medium,12.03
COL00122,EXP000314,BANK02,CP00156,real_estate,mixed_use,IE,2396.3,53.0,D,1961,4273,2023-11-11,3,2070.72,309.79,19189,high,1269.41
COL00123,EXP000318,BANK02,CP00159,real_estate,industrial,DE,106.25,58.8,C,1961,15484,2023-02-07,5,95.5,1000.27,16005,very_high,62.52
COL00124,EXP000320,BANK02,CP00160,real_estate,industrial,NL,1412.18,60.0,E,1970,9258,2024-09-16,3,1516.07,944.32,9442 WY,high,846.76
COL00125,EXP000323,BANK03,CP00162,real_estate,mixed_use,FI,84.39,64.6,C,1976,7652,2024-10-07,2,105.98,325.21,22940,medium,54.5
COL00126,EXP000328,BANK03,CP00167,real_estate,industrial,FI,1.84,52.2,D,2000,1574,2024-07-20,3,2.02,98.38,25848,high,0.96
COL00127,EXP000329,BANK03,CP00168,real_estate,retail,DE,15.0,45.9,E,2005,17909,2023-02-15,3,12.4,2313.84,51194,high,6.89
COL00128,EXP000330,BANK03,CP00169,real_estate,residential_multi,DE,458.17,71.3,A,1986,10875,2024-08-07,2,461.65,206.62,27121,medium,326.83
COL00129,EXP000332,BANK03,CP00169,real_estate,retail,IT,819.57,70.0,D,2006,11176,2024-02-22,4,1187.49,759.97,04690,very_high,573.62
COL00130,EXP000334,BANK03,CP00170,real_estate,retail,FR,51.96,53.8,G,1965,9731,2023-06-03,5,42.76,303.61,07416,very_high,27.94
COL00131,EXP000336,BANK03,CP00171,real_estate,mixed_use,AT,1340.49,63.2,D,2004,7240,2024-01-23,4,1170.96,199.1,18098,very_high,847.45
COL00132,EXP000337,BANK03,CP00171,real_estate,residential_multi,BE,1266.95,50.3,E,1969,7559,2024-08-01,3,941.13,436.91,37110,high,637.83
COL00133,EXP000339,BANK03,CP00172,real_estate,logistics,FI,297.14,71.0,C,1966,20093,2024-04-28,3,374.53,853.95,23380,high,210.87
COL00134,EXP000341,BANK03,CP00173,real_estate,industrial,IT,803.72,48.7,C,1991,10970,2023-09-06,4,684.94,507.25,12371,very_high,391.6
COL00135,EXP000346,BANK03,CP00176,real_estate,office,ES,73.18,52.0,C,2012,12058,2023-03-23,2,62.85,297.23,13009,medium,38.04
COL00136,EXP000351,BANK03,CP00179,real_estate,logistics,FR,27.86,57.6,F,2013,7728,2024-08-06,4,24.78,180.84,74257,very_high,16.05
COL00137,EXP000355,BANK03,CP00180,real_estate,logistics,DE,1803.67,54.8,F,1993,9600,2023-12-16,2,1863.53,1641.6,42614,medium,987.62
COL00138,EXP000357,BANK03,CP00181,real_estate,industrial,BE,1864.27,55.0,C,1985,6095,2024-04-09,1,1451.69,176.15,98709,low,1025.22
COL00139,EXP000358,BANK03,CP00182,real_estate,warehouse,ES,269.29,51.5,C,1972,4341,2023-02-04,4,264.65,107.01,02861,very_high,138.79
COL00140,EXP000359,BANK03,CP00182,real_estate,office,FI,614.32,70.5,B,2009,14039,2023-12-29,1,794.34,350.98,43079,low,432.88
COL00141,EXP000363,BANK03,CP00185,real_estate,retail,FI,1953.99,47.4,C,1973,23864,2023-02-16,1,1898.11,1014.22,59685,low,927.08
COL00142,EXP000373,BANK03,CP00191,real_estate,logistics,FR,11.35,70.4,E,1970,5189,2023-01-08,3,14.73,91.74,76479,high,7.99
COL00143,EXP000374,BANK03,CP00191,real_estate,residential_multi,FR,10.55,62.9,D,1995,3375,2023-08-26,2,9.56,43.88,36658,medium,6.64
COL00144,EXP000375,BANK03,CP00192,real_estate,warehouse,PT,15.1,54.9,D,2014,9547,2023-11-27,2,12.64,596.69,76232,medium,8.29
COL00145,EXP000381,BANK03,CP00194,real_estate,logistics,ES,32.16,67.1,G,2000,3459,2023-12-22,2,39.3,300.93,46157,medium,21.59
COL00146,EXP000382,BANK03,CP00195,real_estate,residential_multi,FR,3.15,66.7,C,1993,20062,2023-04-19,5,3.46,177.35,22766,very_high,2.1
COL00147,EXP000389,BANK03,CP00198,real_estate,mixed_use,FR,5.26,56.8,B,1965,17889,2024-07-04,4,4.17,93.02,48782,very_high,2.99
COL00148,EXP000393,BANK03,CP00199,real_estate,office,FR,414.22,61.3,E,2014,24189,2024-03-31,3,417.83,427.66,19580,high,253.72
COL00149,EXP000397,BANK03,CP00201,real_estate,logistics,DE,1.51,47.0,B,2015,16362,2023-09-27,1,1.32,621.76,25282,low,0.71
COL00150,EXP000399,BANK03,CP00202,real_estate,logistics,IT,306.99,71.2,C,1970,24588,2023-08-16,3,323.59,1136.95,03172,high,218.53
COL00151,EXP000400,BANK03,CP00202,real_estate,retail,AT,202.41,58.5,D,1969,23360,2024-12-05,2,170.81,642.4,31640,medium,118.5
COL00152,EXP000403,BANK03,CP00204,real_estate,mixed_use,FR,1233.89,56.5,F,1964,20991,2024-10-04,1,1022.37,491.19,49698,low,697.44
COL00153,EXP000404,BANK03,CP00204,real_estate,industrial,FR,512.11,52.5,C,1979,16076,2023-07-11,3,535.13,142.11,82681,high,268.68
COL00154,EXP000405,BANK03,CP00205,real_estate,office,FI,312.09,46.4,B,1987,304,2024-03-20,1,204.43,7.6,55227,low,144.77
COL00155,EXP000409,BANK03,CP00207,real_estate,residential_multi,NL,13.57,52.1,B,1990,21096,2023-12-24,3,10.55,632.88,3419 AJ,high,7.07
COL00156,EXP000411,BANK03,CP00208,real_estate,industrial,BE,69.26,47.9,C,2022,20844,2024-02-06,3,63.6,602.39,52533,high,33.18
COL00157,EXP000414,BANK03,CP00210,real_estate,industrial,FI,2.28,71.5,C,1996,13949,2024-04-02,2,2.61,592.83,92880,medium,1.63
COL00158,EXP000416,BANK03,CP00210,real_estate,retail,IT,2.43,52.7,C,2010,23295,2023-05-12,4,1.94,1077.16,67556,very_high,1.28
COL00159,EXP000417,BANK03,CP00211,real_estate,residential_multi,BE,97.24,54.3,E,1963,9733,2023-10-02,3,88.74,562.57,47736,high,52.82
COL00160,EXP000426,BANK03,CP00214,real_estate,retail,IT,307.54,52.4,E,2016,14132,2024-02-13,2,259.16,1306.93,33512,medium,161.23
COL00161,EXP000428,BANK03,CP00214,real_estate,industrial,PT,674.78,62.3,D,1999,14868,2024-02-24,2,653.48,929.25,66063,medium,420.2
COL00162,EXP000433,BANK03,CP00217,real_estate,office,NL,82.2,46.4,E,2002,4434,2024-09-11,3,63.96,452.27,5325 LS,high,38.18
COL00163,EXP000435,BANK03,CP00218,real_estate,mixed_use,LU,234.61,51.7,C,1968,21660,2023-02-20,3,218.06,331.4,78058,high,121.29
COL00164,EXP000437,BANK03,CP00218,real_estate,industrial,IT,347.88,48.7,B,1989,9708,2023-06-15,5,329.12,264.06,88307,very_high,169.34
COL00165,EXP000439,BANK03,CP00220,real_estate,logistics,DE,2.06,65.5,B,1962,24943,2024-06-23,1,2.09,947.83,66242,low,1.35
COL00166,EXP000440,BANK04,CP00221,real_estate,industrial,DE,7.49,64.4,B,1991,1306,2023-10-06,3,8.44,49.63,23470,high,4.82
COL00167,EXP000442,BANK04,CP00222,real_estate,mixed_use,FR,30.7,50.8,B,1970,2707,2023-03-17,3,26.51,14.08,18926,high,15.61
COL00168,EXP000446,BANK04,CP00224,real_estate,warehouse,FR,111.97,54.2,C,2010,6566,2024-09-12,4,100.16,58.04,15165,very_high,60.71
COL00169,EXP000448,BANK04,CP00225,real_estate,retail,FR,18.06,64.7,C,1993,21697,2024-08-13,3,23.25,191.8,80783,high,11.68
COL00170,EXP000449,BANK04,CP00225,real_estate,residential_multi,ES,26.57,55.4,A,1991,12730,2023-01-18,5,23.64,92.29,24527,very_high,14.72
COL00171,EXP000458,BANK04,CP00229,real_estate,office,FR,1.84,60.3,B,2007,15823,2024-07-30,1,1.83,82.28,56646,low,1.11
COL00172,EXP000459,BANK04,CP00230,real_estate,logistics,DE,68.11,45.9,A,1981,7005,2024-05-16,3,46.71,133.09,55506,high,31.27
COL00173,EXP000461,BANK04,CP00230,real_estate,mixed_use,AT,26.34,57.9,B,1989,2131,2024-05-20,2,25.41,23.44,52469,medium,15.26
COL00174,EXP000464,BANK04,CP00232,real_estate,industrial,BE,2.57,75.1,B,2012,382,2023-10-02,3,3.69,6.49,34302,high,1.93
COL00175,EXP000467,BANK04,CP00233,real_estate,logistics,ES,1042.61,66.1,A,2021,17056,2024-07-22,4,1005.42,123.66,51339,very_high,689.48
COL00176,EXP000469,BANK04,CP00234,real_estate,logistics,DE,133.19,73.0,A,1961,5511,2024-06-16,3,192.48,104.71,19891,high,97.24
COL00177,EXP000470,BANK04,CP00235,real_estate,office,IT,115.84,74.9,B,1981,20718,2024-06-21,3,137.59,563.53,05792,high,86.76
COL00178,EXP000473,BANK04,CP00237,real_estate,retail,PL,9.46,71.1,B,1994,17320,2023-11-27,3,10.01,1125.8,64673,high,6.73
COL00179,EXP000475,BANK04,CP00238,real_estate,industrial,BE,48.62,64.0,C,2007,17219,2024-09-11,2,48.48,497.63,91975,medium,31.14
