exposure_id,bank_id,counterparty_id,product_type,origination_date,maturity_date,outstanding_amount_meur,committed_amount_meur,currency,interest_rate_pct,stage,eu_taxonomy_aligned,pcaf_asset_class,undrawn_amount_meur,green_label_flag,green_taxonomy,origination_property_value_meur,total_project_cost_meur,has_control,instrument_type
EXP000032,BANK01,CP00018,revolving_credit,2024-06-27,2039-06-24,9.82,10.71,EUR,2.76,stage_1,False,business_loan,0.89,False,,,,,
EXP000033,BANK01,CP00019,mortgage,2022-04-07,2027-04-06,4.02,5.34,EUR,3.71,stage_1,False,commercial_re,1.32,False,,6.11,,,
EXP000034,BANK01,CP00019,term_loan,2022-12-12,2029-12-10,3.93,4.59,EUR,4.56,stage_1,False,business_loan,0.66,False,,,,,
EXP000035,BANK01,CP00020,revolving_credit,2018-09-13,2023-09-12,1139.06,1375.38,EUR,5.3,stage_3,False,business_loan,236.32,False,,,,,
EXP000036,BANK01,CP00020,revolving_credit,2019-12-11,2029-12-08,944.22,1288.72,EUR,4.21,stage_1,False,business_loan,344.5,False,,,,,
EXP000037,BANK01,CP00021,corporate_bond,2020-12-18,2035-12-15,2.96,3.53,EUR,7.29,stage_1,False,business_loan,0.57,False,,,,,
EXP000038,BANK01,CP00021,green_loan,2021-05-04,2028-05-02,1.55,1.99,EUR,5.95,stage_1,True,business_loan,0.44,True,EU_Taxonomy,,,,
EXP000039,BANK01,CP00021,project_finance,2021-01-25,2028-01-24,2.15,2.25,EUR,5.88,stage_1,False,project_finance,0.1,False,,,6.44,False,project_loan
EXP000040,BANK01,CP00022,green_loan,2019-08-23,2026-08-21,3.19,3.24,EUR,7.28,stage_1,True,business_loan,0.05,True,EU_Taxonomy,,,,
EXP000041,BANK01,CP00022,corporate_bond,2023-05-17,2028-05-15,3.53,3.82,EUR,5.19,stage_2,False,business_loan,0.29,False,,,,,
EXP000042,BANK01,CP00022,term_loan,2024-11-26,2039-11-23,2.8,3.07,EUR,2.75,stage_2,False,business_loan,0.27,False,,,,,
EXP000043,BANK01,CP00022,term_loan,2019-02-15,2029-02-12,1.27,1.44,EUR,4.86,stage_1,False,business_loan,0.17,False,,,,,
EXP000044,BANK01,CP00023,green_loan,2019-10-09,2029-10-06,245.29,309.35,EUR,6.9,stage_1,True,business_loan,64.06,True,LMA_GLP,,,,
EXP000045,BANK01,CP00024,term_loan,2021-03-15,2024-03-14,10.9,14.86,EUR,2.95,stage_1,False,business_loan,3.96,False,,,,,
EXP000046,BANK01,CP00024,corporate_bond,2018-06-02,2023-06-01,8.3,9.69,EUR,6.69,stage_2,False,business_loan,1.39,False,,,,,
EXP000047,BANK01,CP00025,mortgage,2020-02-03,2027-02-01,4.6,6.21,EUR,2.55,stage_1,False,commercial_re,1.61,False,,11.37,,,
EXP000048,BANK01,CP00026,term_loan,2024-02-04,2039-01-31,50.53,60.51,EUR,7.19,stage_2,False,business_loan,9.98,False,,,,,
EXP000049,BANK01,CP00027,term_loan,2019-10-28,2029-10-25,4.52,5.69,EUR,6.09,stage_1,False,business_loan,1.17,False,,,,,
EXP000050,BANK01,CP00027,term_loan,2020-03-02,2025-03-01,6.33,7.88,EUR,5.69,stage_1,False,business_loan,1.55,False,,,,,
EXP000051,BANK01,CP00028,revolving_credit,2019-01-26,2024-01-25,116.7,162.53,EUR,4.89,stage_2,False,business_loan,45.83,False,,,,,
EXP000052,BANK01,CP00028,revolving_credit,2023-01-04,2030-01-02,40.94,56.56,EUR,4.01,stage_1,False,business_loan,15.62,False,,,,,
EXP000053,BANK01,CP00029,corporate_bond,2018-09-12,2021-09-11,32.88,39.0,EUR,3.3,stage_1,False,business_loan,6.12,False,,,,,
EXP000054,BANK01,CP00030,mortgage,2019-04-26,2026-04-24,1239.49,1421.72,EUR,3.6,stage_2,False,commercial_re,182.23,False,,2507.01,,,
EXP000055,BANK01,CP00030,revolving_credit,2024-10-17,2031-10-16,757.99,884.07,EUR,5.25,stage_1,False,business_loan,126.08,False,,,,,
EXP000056,BANK01,CP00030,corporate_bond,2020-06-13,2025-06-12,827.74,1053.0,EUR,5.48,stage_1,False,business_loan,225.26,False,,,,,
EXP000057,BANK01,CP00030,revolving_credit,2022-01-21,2025-01-20,813.62,1112.14,EUR,3.06,stage_1,False,business_loan,298.52,False,,,,,
EXP000058,BANK01,CP00031,revolving_credit,2019-11-05,2026-11-03,536.27,719.56,EUR,4.71,stage_1,False,business_loan,183.29,False,,,,,
EXP000059,BANK01,CP00031,revolving_credit,2023-09-22,2033-09-19,1284.74,1700.32,EUR,4.77,stage_1,False,business_loan,415.58,False,,,,,
EXP000060,BANK01,CP00031,term_loan,2023-03-09,2030-03-07,906.52,1168.79,EUR,4.48,stage_1,False,business_loan,262.27,False,,,,,
EXP000061,BANK01,CP00032,term_loan,2021-11-12,2024-11-11,1.74,2.12,EUR,2.8,stage_2,False,business_loan,0.38,False,,,,,
EXP000062,BANK01,CP00032,revolving_credit,2021-03-21,2031-03-19,2.7,2.89,EUR,3.18,stage_1,False,business_loan,0.19,False,,,,,
EXP000063,BANK01,CP00032,green_loan,2022-03-14,2032-03-11,2.1,2.48,EUR,7.09,stage_1,True,business_loan,0.38,True,ICMA_GBP,,,,
EXP000064,BANK01,CP00033,mortgage,2019-06-29,2026-06-27,2.78,2.91,EUR,7.46,stage_1,False,mortgage,0.13,False,,4.24,,,
EXP000065,BANK01,CP00034,mortgage,2018-04-04,2025-04-02,16.87,19.99,EUR,6.1,stage_1,False,commercial_re,3.12,False,,27.71,,,
EXP000066,BANK01,CP00035,revolving_credit,2019-09-28,2026-09-26,1.49,1.6,EUR,6.88,stage_1,False,business_loan,0.11,False,,,,,
EXP000067,BANK01,CP00035,corporate_bond,2024-11-23,2027-11-23,0.75,0.82,EUR,2.84,stage_1,False,business_loan,0.07,False,,,,,
EXP000068,BANK01,CP00036,mortgage,2020-09-29,2023-09-29,33.09,38.41,EUR,3.67,stage_1,False,mortgage,5.32,False,,57.34,,,
EXP000069,BANK01,CP00036,term_loan,2023-08-26,2030-08-24,40.65,44.46,EUR,7.08,stage_1,False,business_loan,3.81,False,,,,,
EXP000070,BANK01,CP00037,mortgage,2020-08-28,2027-08-27,26.34,35.57,EUR,7.43,stage_1,False,commercial_re,9.23,False,,43.7,,,
EXP000071,BANK01,CP00037,term_loan,2024-03-30,2039-03-27,16.28,22.01,EUR,7.06,stage_1,False,business_loan,5.73,False,,,,,
EXP000072,BANK01,CP00038,green_loan,2022-04-11,2037-04-07,86.45,97.47,EUR,4.58,stage_1,True,mortgage,11.02,True,EU_Taxonomy,143.72,,,
EXP000073,BANK01,CP00038,corporate_bond,2023-04-24,2028-04-22,70.89,94.97,EUR,4.0,stage_1,False,business_loan,24.08,False,,,,,
EXP000074,BANK01,CP00039,project_finance,2022-09-03,2037-08-30,6.03,7.31,EUR,4.44,stage_1,False,project_finance,1.28,False,,,21.63,False,project_loan
EXP000075,BANK01,CP00039,term_loan,2023-01-17,2030-01-15,2.77,2.87,EUR,6.12,stage_1,False,business_loan,0.1,False,,,,,
EXP000076,BANK01,CP00039,corporate_bond,2024-10-05,2027-10-05,2.43,3.28,EUR,3.44,stage_1,False,business_loan,0.85,False,,,,,
EXP000077,BANK01,CP00040,revolving_credit,2021-09-25,2028-09-23,458.38,633.85,EUR,2.58,stage_2,False,business_loan,175.47,False,,,,,
EXP000078,BANK01,CP00040,term_loan,2023-05-16,2028-05-14,713.14,911.57,EUR,6.02,stage_1,False,business_loan,198.43,False,,,,,
EXP000079,BANK01,CP00041,term_loan,2023-03-25,2038-03-21,730.53,920.09,EUR,4.04,stage_1,False,business_loan,189.56,False,,,,,
EXP000080,BANK01,CP00042,mortgage,2023-04-08,2030-04-06,27.24,37.2,EUR,4.35,stage_1,False,mortgage,9.96,False,,47.15,,,
EXP000081,BANK01,CP00042,term_loan,2019-08-21,2022-08-20,31.39,34.66,EUR,7.17,stage_1,False,business_loan,3.27,False,,,,,
EXP000082,BANK01,CP00042,term_loan,2021-09-13,2026-09-12,25.15,28.97,EUR,6.67,stage_1,False,business_loan,3.82,False,,,,,
EXP000083,BANK01,CP00043,term_loan,2023-06-25,2033-06-22,1.3,1.54,EUR,6.16,stage_1,False,business_loan,0.24,False,,,,,
EXP000084,BANK01,CP00043,project_finance,2020-01-24,2035-01-20,0.47,0.66,EUR,7.29,stage_1,False,project_finance,0.19,False,,,1.81,False,project_loan
EXP000085,BANK01,CP00044,mortgage,2018-07-18,2021-07-17,44.56,51.91,EUR,6.71,stage_1,False,commercial_re,7.35,False,,73.13,,,
EXP000086,BANK01,CP00044,term_loan,2023-09-03,2033-08-31,161.56,185.68,EUR,5.59,stage_1,False,business_loan,24.12,False,,,,,
EXP000087,BANK01,CP00044,revolving_credit,2023-06-22,2026-06-21,144.8,145.18,EUR,5.26,stage_1,False,business_loan,0.38,False,,,,,
EXP000088,BANK01,CP00045,green_loan,2018-03-12,2033-03-08,5.15,6.83,EUR,5.87,stage_1,True,mortgage,1.68,True,LMA_GLP,9.25,,,
EXP000089,BANK01,CP00045,term_loan,2019-01-30,2034-01-26,12.56,13.31,EUR,3.46,stage_1,False,business_loan,0.75,False,,,,,
EXP000090,BANK01,CP00046,revolving_credit,2022-03-09,2032-03-06,5.69,6.73,EUR,3.72,stage_1,False,business_loan,1.04,False,,,,,
EXP000091,BANK01,CP00046,mortgage,2018-11-27,2021-11-26,6.12,6.35,EUR,4.4,stage_1,False,commercial_re,0.23,False,,10.41,,,
EXP000092,BANK01,CP00046,term_loan,2019-12-03,2022-12-02,2.92,3.5,EUR,4.67,stage_1,False,business_loan,0.58,False,,,,,
EXP000093,BANK01,CP00047,term_loan,2023-12-04,2026-12-03,4.58,5.0,EUR,7.01,stage_1,False,business_loan,0.42,False,,,,,
EXP000094,BANK01,CP00047,term_loan,2018-11-01,2025-10-30,3.28,4.46,EUR,5.32,stage_1,False,business_loan,1.18,False,,,,,
EXP000095,BANK01,CP00048,green_loan,2024-08-01,2029-07-31,1.15,1.5,EUR,6.06,stage_1,True,mortgage,0.35,True,EU_Taxonomy,1.91,,,
EXP000096,BANK01,CP00048,term_loan,2020-09-11,2035-09-08,0.58,0.77,EUR,4.45,stage_2,False,business_loan,0.19,False,,,,,
EXP000097,BANK01,CP00048,corporate_bond,2019-07-28,2022-07-27,1.2,1.44,EUR,7.37,stage_1,False,business_loan,0.24,False,,,,,
EXP000098,BANK01,CP00048,mortgage,2021-10-27,2036-10-23,1.45,1.9,EUR,7.27,stage_1,False,commercial_re,0.45,False,,2.12,,,
EXP000099,BANK01,CP00049,term_loan,2023-01-20,2033-01-17,1.62,1.77,EUR,5.27,stage_1,False,business_loan,0.15,False,,,,,
EXP000100,BANK01,CP00049,project_finance,2022-04-06,2025-04-05,2.91,3.81,EUR,3.98,stage_1,False,project_finance,0.9,False,,,10.02,False,project_loan
EXP000101,BANK01,CP00049,term_loan,2022-04-06,2027-04-05,1.98,2.57,EUR,4.08,stage_1,False,business_loan,0.59,False,,,,,
EXP000102,BANK01,CP00050,revolving_credit,2021-01-09,2024-01-09,35.43,37.31,EUR,3.44,stage_1,False,business_loan,1.88,False,,,,,
EXP000103,BANK01,CP00051,term_loan,2021-12-20,2036-12-16,13.31,13.81,EUR,5.49,stage_1,False,business_loan,0.5,False,,,,,
EXP000104,BANK01,CP00051,term_loan,2022-05-08,2025-05-07,12.78,16.49,EUR,5.3,stage_3,False,business_loan,3.71,False,,,,,
EXP000105,BANK01,CP00052,corporate_bond,2019-11-26,2024-11-24,663.4,734.76,EUR,3.84,stage_1,False,business_loan,71.36,False,,,,,
EXP000106,BANK01,CP00053,term_loan,2018-11-12,2025-11-10,2.91,3.2,EUR,3.73,stage_1,False,business_loan,0.29,False,,,,,
EXP000107,BANK01,CP00054,term_loan,2021-06-01,2024-05-31,7.0,9.66,EUR,4.16,stage_1,False,business_loan,2.66,False,,,,,
EXP000108,BANK01,CP00054,revolving_credit,2021-10-03,2031-10-01,18.75,24.87,EUR,6.8,stage_3,False,business_loan,6.12,False,,,,,
EXP000109,BANK01,CP00055,green_loan,2020-04-02,2030-03-31,655.4,737.77,EUR,7.32,stage_2,True,commercial_re,82.37,True,LMA_GLP,1060.52,,,
EXP000110,BANK01,CP00056,revolving_credit,2024-06-16,2029-06-15,126.66,143.17,EUR,3.9,stage_1,False,business_loan,16.51,False,,,,,
EXP000111,BANK01,CP00057,term_loan,2024-02-13,2029-02-11,4.85,6.17,EUR,5.25,stage_2,False,business_loan,1.32,False,,,,,
EXP000112,BANK01,CP00057,corporate_bond,2022-12-01,2029-11-29,2.77,3.69,EUR,2.85,stage_1,False,business_loan,0.92,False,,,,,
EXP000113,BANK01,CP00058,term_loan,2021-05-25,2026-05-24,100.91,111.11,EUR,3.27,stage_1,False,business_loan,10.2,False,,,,,
EXP000114,BANK01,CP00058,revolving_credit,2024-09-15,2034-09-13,65.34,80.56,EUR,5.17,stage_2,False,business_loan,15.22,False,,,,,
EXP000115,BANK01,CP00058,revolving_credit,2018-05-31,2025-05-29,124.54,159.49,EUR,6.56,stage_1,False,business_loan,34.95,False,,,,,
EXP000116,BANK01,CP00059,term_loan,2021-12-25,2026-12-24,127.69,160.74,EUR,2.72,stage_3,False,business_loan,33.05,False,,,,,
EXP000117,BANK01,CP00059,revolving_credit,2021-09-20,2031-09-18,390.47,407.02,EUR,2.99,stage_1,False,business_loan,16.55,False,,,,,
EXP000118,BANK01,CP00059,project_finance,2024-06-14,2029-06-13,422.57,497.92,EUR,4.46,stage_1,False,project_finance,75.35,False,,,1246.91,True,project_equity
EXP000119,BANK01,CP00059,revolving_credit,2021-11-13,2024-11-12,349.36,416.82,EUR,3.98,stage_2,False,business_loan,67.46,False,,,,,
EXP000120,BANK01,CP00060,corporate_bond,2021-11-27,2028-11-25,251.16,285.63,EUR,6.42,stage_1,False,listed_equity,34.47,False,,,,,
EXP000121,BANK01,CP00061,corporate_bond,2023-01-28,2030-01-26,47.02,48.28,EUR,2.72,stage_1,False,listed_equity,1.26,False,,,,,
EXP000122,BANK01,CP00062,term_loan,2019-11-05,2024-11-03,1.85,2.23,EUR,5.26,stage_1,False,business_loan,0.38,False,,,,,
EXP000123,BANK01,CP00063,mortgage,2020-01-26,2025-01-24,11.2,14.07,EUR,4.66,stage_1,False,mortgage,2.87,False,,15.76,,,
EXP000124,BANK01,CP00063,term_loan,2024-08-22,2034-08-20,13.91,16.07,EUR,6.02,stage_1,False,business_loan,2.16,False,,,,,
EXP000125,BANK01,CP00064,term_loan,2019-02-21,2034-02-17,658.71,707.97,EUR,4.13,stage_1,False,business_loan,49.26,False,,,,,
EXP000126,BANK01,CP00064,mortgage,2023-12-02,2030-11-30,289.73,358.91,EUR,5.56,stage_1,False,commercial_re,69.18,False,,491.5,,,
EXP000127,BANK01,CP00064,mortgage,2024-12-03,2029-12-02,347.52,460.64,EUR,6.03,stage_1,False,mortgage,113.12,False,,549.99,,,
EXP000128,BANK01,CP00065,term_loan,2019-04-28,2024-04-26,1.16,1.3,EUR,3.42,stage_1,False,business_loan,0.14,False,,,,,
EXP000129,BANK01,CP00065,revolving_credit,2019-07-19,2034-07-15,3.13,3.61,EUR,3.43,stage_1,False,business_loan,0.48,False,,,,,
EXP000130,BANK01,CP00066,green_loan,2024-03-22,2029-03-21,197.86,236.61,EUR,3.2,stage_1,True,business_loan,38.75,True,ICMA_GBP,,,,
EXP000131,BANK01,CP00066,term_loan,2022-01-10,2025-01-09,150.52,179.7,EUR,3.48,stage_1,False,business_loan,29.18,False,,,,,
EXP000132,BANK01,CP00067,revolving_credit,2023-07-08,2033-07-05,6.84,8.78,EUR,4.72,stage_1,False,business_loan,1.94,False,,,,,
EXP000133,BANK01,CP00067,mortgage,2020-06-22,2027-06-21,6.11,6.19,EUR,3.62,stage_1,False,mortgage,0.08,False,,8.69,,,
EXP000134,BANK01,CP00068,mortgage,2023-07-22,2038-07-18,414.56,499.26,EUR,5.36,stage_1,False,mortgage,84.7,False,,678.76,,,
EXP000135,BANK01,CP00068,green_loan,2024-01-30,2027-01-29,401.8,523.95,EUR,4.71,stage_1,True,business_loan,122.15,True,LMA_GLP,,,,
EXP000136,BANK01,CP00068,corporate_bond,2020-10-10,2027-10-09,335.03,452.27,EUR,2.66,stage_1,False,business_loan,117.24,False,,,,,
EXP000137,BANK01,CP00069,mortgage,2019-04-26,2024-04-24,156.79,169.95,EUR,6.19,stage_1,False,commercial_re,13.16,False,,237.0,,,
EXP000138,BANK01,CP00069,project_finance,2022-10-20,2027-10-19,635.28,791.85,EUR,6.42,stage_1,False,project_finance,156.57,False,,,1032.5,True,project_equity
EXP000139,BANK01,CP00069,project_finance,2023-12-21,2030-12-19,600.91,744.37,EUR,3.34,stage_3,False,project_finance,143.46,False,,,1248.48,False,project_loan
EXP000140,BANK01,CP00070,green_loan,2023-10-09,2026-10-08,884.44,932.41,EUR,6.25,stage_1,True,commercial_re,47.97,True,ICMA_GBP,1294.83,,,
EXP000141,BANK01,CP00071,corporate_bond,2019-06-28,2024-06-26,6.58,6.96,EUR,4.11,stage_1,False,business_loan,0.38,False,,,,,
EXP000142,BANK01,CP00072,term_loan,2021-01-05,2031-01-03,649.26,746.69,EUR,2.88,stage_1,False,business_loan,97.43,False,,,,,
EXP000143,BANK01,CP00072,revolving_credit,2021-02-13,2028-02-12,1085.89,1283.39,EUR,4.94,stage_1,False,business_loan,197.5,False,,,,,
EXP000144,BANK01,CP00072,mortgage,2019-01-17,2029-01-14,1201.99,1507.22,EUR,5.99,stage_2,False,commercial_re,305.23,False,,2167.67,,,
EXP000145,BANK01,CP00073,green_loan,2020-05-17,2030-05-15,17.29,19.15,EUR,6.64,stage_1,True,business_loan,1.86,True,LMA_GLP,,,,
EXP000146,BANK01,CP00073,project_finance,2023-06-11,2030-06-09,22.81,30.97,EUR,6.31,stage_1,False,project_finance,8.16,False,,,57.92,False,project_loan
EXP000147,BANK01,CP00073,mortgage,2018-03-08,2021-03-07,24.28,33.31,EUR,3.29,stage_1,False,commercial_re,9.03,False,,37.46,,,
EXP000148,BANK01,CP00074,green_loan,2019-06-25,2026-06-23,5.19,5.52,EUR,7.16,stage_1,True,mortgage,0.33,True,EU_Taxonomy,9.3,,,
EXP000149,BANK01,CP00074,term_loan,2022-03-04,2027-03-03,7.17,7.32,EUR,5.63,stage_1,False,business_loan,0.15,False,,,,,
EXP000150,BANK01,CP00074,revolving_credit,2019-01-09,2022-01-08,8.05,8.05,EUR,4.88,stage_1,False,business_loan,0.0,False,,,,,
EXP000151,BANK01,CP00074,corporate_bond,2018-02-08,2021-02-07,3.43,4.38,EUR,6.59,stage_3,False,business_loan,0.95,False,,,,,
EXP000152,BANK01,CP00075,term_loan,2022-04-19,2025-04-18,51.66,66.76,EUR,3.01,stage_1,False,business_loan,15.1,False,,,,,
EXP000153,BANK01,CP00075,term_loan,2019-06-30,2024-06-28,181.1,186.06,EUR,5.32,stage_1,False,business_loan,4.96,False,,,,,
EXP000154,BANK01,CP00076,term_loan,2019-09-13,2029-09-10,76.56,95.43,EUR,4.71,stage_1,False,business_loan,18.87,False,,,,,
EXP000155,BANK01,CP00077,term_loan,2022-04-22,2029-04-20,15.32,21.22,EUR,4.07,stage_1,False,business_loan,5.9,False,,,,,
EXP000156,BANK01,CP00077,term_loan,2024-03-16,2039-03-13,22.16,27.48,EUR,5.54,stage_1,False,business_loan,5.32,False,,,,,
EXP000157,BANK01,CP00077,mortgage,2021-05-20,2026-05-19,42.81,51.68,EUR,5.05,stage_1,False,commercial_re,8.87,False,,61.13,,,
EXP000158,BANK01,CP00078,mortgage,2020-09-07,2030-09-05,0.8,0.92,EUR,3.71,stage_1,False,commercial_re,0.12,False,,1.31,,,
EXP000159,BANK01,CP00079,term_loan,2022-01-19,2029-01-17,111.45,117.33,EUR,6.8,stage_1,False,business_loan,5.88,False,,,,,
EXP000160,BANK01,CP00080,corporate_bond,2018-10-26,2021-10-25,290.82,359.15,EUR,2.57,stage_1,False,listed_equity,68.33,False,,,,,
EXP000161,BANK01,CP00080,green_loan,2022-06-19,2037-06-15,372.85,415.58,EUR,6.06,stage_1,True,commercial_re,42.73,True,EU_Taxonomy,569.67,,,
EXP000162,BANK01,CP00081,corporate_bond,2024-01-12,2039-01-08,22.48,23.85,EUR,2.92,stage_1,False,business_loan,1.37,False,,,,,
EXP000163,BANK01,CP00081,green_loan,2019-09-29,2034-09-25,42.97,48.59,EUR,5.43,stage_1,True,commercial_re,5.62,True,ICMA_GBP,77.19,,,
EXP000164,BANK01,CP00082,revolving_credit,2022-11-27,2027-11-26,8.65,8.85,EUR,2.93,stage_1,False,business_loan,0.2,False,,,,,
EXP000165,BANK01,CP00082,project_finance,2021-06-20,2026-06-19,6.62,6.94,EUR,6.04,stage_1,False,project_finance,0.32,False,,,11.83,False,project_loan
EXP000166,BANK01,CP00083,revolving_credit,2020-11-27,2025-11-26,301.74,346.62,EUR,6.25,stage_2,False,business_loan,44.88,False,,,,,
EXP000167,BANK01,CP00084,mortgage,2021-10-04,2031-10-02,383.14,424.82,EUR,2.82,stage_1,False,mortgage,41.68,False,,709.99,,,
EXP000168,BANK01,CP00084,term_loan,2023-02-08,2038-02-04,1000.25,1144.34,EUR,5.0,stage_1,False,business_loan,144.09,False,,,,,
EXP000169,BANK01,CP00084,term_loan,2019-02-26,2034-02-22,719.05,912.94,EUR,3.08,stage_1,False,business_loan,193.89,False,,,,,
EXP000170,BANK01,CP00085,term_loan,2018-07-08,2028-07-05,5.91,6.77,EUR,7.1,stage_1,False,business_loan,0.86,False,,,,,
EXP000171,BANK01,CP00086,mortgage,2022-09-14,2027-09-13,35.11,39.63,EUR,4.58,stage_1,False,commercial_re,4.52,False,,58.52,,,
EXP000172,BANK01,CP00086,term_loan,2022-03-08,2025-03-07,76.11,91.39,EUR,7.01,stage_1,False,business_loan,15.28,False,,,,,
EXP000173,BANK01,CP00086,green_loan,2022-07-01,2025-06-30,168.75,227.95,EUR,6.83,stage_1,True,business_loan,59.2,True,ICMA_GBP,,,,
EXP000174,BANK01,CP00086,term_loan,2023-02-14,2026-02-13,82.96,95.2,EUR,3.96,stage_1,False,business_loan,12.24,False,,,,,
EXP000175,BANK01,CP00087,revolving_credit,2023-07-14,2028-07-12,2.07,2.68,EUR,5.23,stage_1,False,business_loan,0.61,False,,,,,
EXP000176,BANK01,CP00087,green_loan,2018-04-08,2023-04-07,1.61,1.96,EUR,5.68,stage_1,True,business_loan,0.35,True,ICMA_GBP,,,,
EXP000177,BANK01,CP00087,revolving_credit,2022-03-22,2029-03-20,0.89,0.93,EUR,5.15,stage_1,False,business_loan,0.04,False,,,,,
EXP000178,BANK01,CP00088,green_loan,2021-02-20,2024-02-20,192.63,196.01,EUR,3.66,stage_1,True,mortgage,3.38,True,EU_Taxonomy,278.03,,,
