requirement_id,standard,paragraph_id,page,report_section,official_section_heading,nearest_pdf_heading,mapping_method,appendix,clause_index,clause_marker,clause_level,clause_path,is_leaf_requirement,requirement_label,requirement_text,clean_requirement_text,parent_context,source_paragraph_text,obligation_type,mandatory,generation_bucket,evidence_tags,banking_relevance,paragraph_quality_score,paragraph_quality_issues,requirement_quality_score,requirement_quality_issues
IFRS_S1_11_C01,IFRS S1,11,8,General Requirements,Fair presentation,Fair presentation,auto_toc_body_range,,1,,0,,True,A complete set of sustainability-related financial disclosures shall present fairly all sustainability-related risks and opportunities that…,A complete set of sustainability-related financial disclosures shall present fairly all sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects.,A complete set of sustainability-related financial disclosures shall present fairly all sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects.,,A complete set of sustainability-related financial disclosures shall present fairly all sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects.,mandatory,True,must_disclose_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_12_C01,IFRS S1,12,8,General Requirements,Fair presentation,Fair presentation,auto_toc_body_range,,1,,0,,True,"To identify sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects,…","To identify sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply paragraphs B1–B12.","To identify sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply paragraphs B1–B12.",,"To identify sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s prospects, an entity shall apply paragraphs B1–B12.",mandatory,True,must_disclose_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_13_C01,IFRS S1,13,8,General Requirements,Fair presentation,Fair presentation,auto_toc_body_range,,1,,0,,True,Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be…,"Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects, and their faithful representation in accordance with the principles set out in this Standard. To achieve faithful representation, an entity shall provide a complete, neutral and accurate depiction of those sustainability-related risks and opportunities.","Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects, and their faithful representation in accordance with the principles set out in this Standard. To achieve faithful representation, an entity shall provide a complete, neutral and accurate depiction of those sustainability-related risks and opportunities.",,"Fair presentation requires disclosure of relevant information about sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects, and their faithful representation in accordance with the principles set out in this Standard. To achieve faithful representation, an entity shall provide a complete, neutral and accurate depiction of those sustainability-related risks and opportunities.",mandatory,True,must_disclose_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_14_C01,IFRS S1,14,8,General Requirements,Fair presentation,Fair presentation,auto_toc_body_range,,1,,0,,True,"Materiality is an entity-specific aspect of relevance based on the nature or magnitude, or both, of…","Materiality is an entity-specific aspect of relevance based on the nature or magnitude, or both, of the items to which the information relates, in the context of the entity’s sustainability-related financial disclosures.","Materiality is an entity-specific aspect of relevance based on the nature or magnitude, or both, of the items to which the information relates, in the context of the entity’s sustainability-related financial disclosures.",,"Materiality is an entity-specific aspect of relevance based on the nature or magnitude, or both, of the items to which the information relates, in the context of the entity’s sustainability-related financial disclosures.",guidance,False,supporting_guidance_leaf,"[""materiality""]",general,1.0,[],1.0,[]
IFRS_S1_15_C01,IFRS S1,15,8,General Requirements,Fair presentation,Fair presentation,auto_toc_body_range,,1,(a),1,(a),True,"Fair presentation also requires an entity — (a) to disclose information that is comparable, verifiable, timely…","Fair presentation also requires an entity — (a) to disclose information that is comparable, verifiable, timely and understandable","Fair presentation also requires an entity — (a) to disclose information that is comparable, verifiable, timely and understandable",Fair presentation also requires an entity,"Fair presentation also requires an entity: (a) to disclose information that is comparable, verifiable, timely and understandable; and (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.",mandatory,True,must_disclose_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_15_C02,IFRS S1,15,8,General Requirements,Fair presentation,Fair presentation,auto_toc_body_range,,2,(b),1,(b),True,Fair presentation also requires an entity — (b) to disclose additional information if compliance with the…,"Fair presentation also requires an entity — (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.","Fair presentation also requires an entity — (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.",Fair presentation also requires an entity,"Fair presentation also requires an entity: (a) to disclose information that is comparable, verifiable, timely and understandable; and (b) to disclose additional information if compliance with the specifically applicable requirements in IFRS Sustainability Disclosure Standards is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.",mandatory,True,must_disclose_leaf,"[""financial_effects""]",medium,1.0,[],1.0,[]
IFRS_S1_16_C01,IFRS S1,16,9,General Requirements,Fair presentation,Fair presentation,auto_toc_body_range,,1,,0,,True,"Applying IFRS Sustainability Disclosure Standards, with additional information disclosed when necessary (see paragraph 15(b)), is presumed…","Applying IFRS Sustainability Disclosure Standards, with additional information disclosed when necessary (see paragraph 15(b)), is presumed to result in sustainability-related financial disclosures that achieve fair presentation.","Applying IFRS Sustainability Disclosure Standards, with additional information disclosed when necessary (see paragraph 15(b)), is presumed to result in sustainability-related financial disclosures that achieve fair presentation.",,"Applying IFRS Sustainability Disclosure Standards, with additional information disclosed when necessary (see paragraph 15(b)), is presumed to result in sustainability-related financial disclosures that achieve fair presentation.",guidance,False,supporting_guidance_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_17_C01,IFRS S1,17,9,General Requirements,Materiality,Materiality,auto_toc_body_range,,1,,0,,True,material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the…,An entity shall disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects.,An entity shall disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects.,,An entity shall disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects.,mandatory,True,must_disclose_leaf,"[""materiality""]",general,1.0,[],1.0,[]
IFRS_S1_18_C01,IFRS S1,18,9,General Requirements,Materiality,Materiality,auto_toc_body_range,,1,,0,,True,"In the context of sustainability-related financial disclosures, information is material if omitting, misstating or obscuring that…","In the context of sustainability-related financial disclosures, information is material if omitting, misstating or obscuring that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports, which include financial statements and sustainability-related financial disclosures and which provide information about a specific reporting entity.","In the context of sustainability-related financial disclosures, information is material if omitting, misstating or obscuring that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports, which include financial statements and sustainability-related financial disclosures and which provide information about a specific reporting entity.",,"In the context of sustainability-related financial disclosures, information is material if omitting, misstating or obscuring that information could reasonably be expected to influence decisions that primary users of general purpose financial reports make on the basis of those reports, which include financial statements and sustainability-related financial disclosures and which provide information about a specific reporting entity.",guidance,False,supporting_guidance_leaf,"[""materiality"", ""connected_information""]",general,1.0,[],1.0,[]
IFRS_S1_19_C01,IFRS S1,19,9,General Requirements,Materiality,Materiality,auto_toc_body_range,,1,,0,,True,"To identify and disclose material information, an entity shall apply paragraphs B13–B37.","To identify and disclose material information, an entity shall apply paragraphs B13–B37.","To identify and disclose material information, an entity shall apply paragraphs B13–B37.",,"To identify and disclose material information, an entity shall apply paragraphs B13–B37.",mandatory,True,must_disclose_leaf,"[""materiality""]",general,1.0,[],1.0,[]
IFRS_S1_20_C01,IFRS S1,20,9,General Requirements,Reporting entity,Reporting entity,auto_toc_body_range,,1,,0,,True,An entity’s sustainability-related financial disclosures shall be for the same reporting entity as the related financial…,An entity’s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38).,An entity’s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38).,,An entity’s sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements (see paragraph B38).,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,1.0,[],1.0,[]
IFRS_S1_21_C01,IFRS S1,21,9,General Requirements,Connected information,Connected information,auto_toc_body_range,,1,(a),1,(a),True,An entity shall provide information in a manner that enables users of general purpose financial reports…,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections: (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; and (b) the connections between disclosures provided by the entity: (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets; and (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).",mandatory,True,must_disclose_leaf,"[""connected_information""]",general,1.0,[],1.0,[]
IFRS_S1_21_C02,IFRS S1,21,9,General Requirements,Connected information,Connected information,auto_toc_body_range,,2,(b),1,(b),False,An entity shall provide information in a manner that enables users of general purpose financial reports…,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (b) the connections between disclosures provided by the entity:,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (b) the connections between disclosures provided by the entity:,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections: (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; and (b) the connections between disclosures provided by the entity: (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets; and (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).",mandatory,True,container_context,"[""connected_information""]",general,1.0,[],1.0,[]
IFRS_S1_21_C03,IFRS S1,21,9,General Requirements,Connected information,Connected information,auto_toc_body_range,,3,(i),2,(b)>(i),True,An entity shall provide information in a manner that enables users of general purpose financial reports…,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (b) the connections between disclosures provided by the entity: — (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets","An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (b) the connections between disclosures provided by the entity: — (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets",An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (b) the connections between disclosures provided by the entity:,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections: (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; and (b) the connections between disclosures provided by the entity: (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets; and (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).",mandatory,True,must_disclose_leaf,"[""metrics"", ""targets"", ""connected_information""]",general,1.0,[],1.0,[]
IFRS_S1_21_C04,IFRS S1,21,9,General Requirements,Connected information,Connected information,auto_toc_body_range,,4,(ii),2,(b)>(ii),True,An entity shall provide information in a manner that enables users of general purpose financial reports…,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (b) the connections between disclosures provided by the entity: — (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (b) the connections between disclosures provided by the entity: — (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).,An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections — (b) the connections between disclosures provided by the entity:,"An entity shall provide information in a manner that enables users of general purpose financial reports to understand the following types of connections: (a) the connections between the items to which the information relates —such as connections between various sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects; and (b) the connections between disclosures provided by the entity: (i) within its sustainability-related financial disclosures—such as connections between disclosures on governance, strategy, risk management and metrics and targets; and (ii) across its sustainability-related financial disclosures and other general purpose financial reports published by the entity —such as its related financial statements (see paragraphs B39–B44).",mandatory,True,must_disclose_leaf,"[""connected_information""]",general,1.0,[],1.0,[]
IFRS_S1_22_C01,IFRS S1,22,9,General Requirements,Connected information,Connected information,auto_toc_body_range,,1,,0,,True,An entity shall identify the financial statements to which the sustainability-related financial disclosures relate.,An entity shall identify the financial statements to which the sustainability-related financial disclosures relate.,An entity shall identify the financial statements to which the sustainability-related financial disclosures relate.,,An entity shall identify the financial statements to which the sustainability-related financial disclosures relate.,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,1.0,[],1.0,[]
IFRS_S1_23_C01,IFRS S1,23,10,General Requirements,Connected information,Connected information,auto_toc_body_range,,1,,0,,True,Data and assumptions used in preparing the sustainability-related financial disclosures shall be consistent—to the extent possible…,Data and assumptions used in preparing the sustainability-related financial disclosures shall be consistent—to the extent possible considering the requirements of IFRS Accounting Standards or other applicable GAAP— with the corresponding data and assumptions used in preparing the related financial statements (see paragraph B42).,Data and assumptions used in preparing the sustainability-related financial disclosures shall be consistent—to the extent possible considering the requirements of IFRS Accounting Standards or other applicable GAAP— with the corresponding data and assumptions used in preparing the related financial statements (see paragraph B42).,,Data and assumptions used in preparing the sustainability-related financial disclosures shall be consistent—to the extent possible considering the requirements of IFRS Accounting Standards or other applicable GAAP— with the corresponding data and assumptions used in preparing the related financial statements (see paragraph B42).,mandatory,True,must_disclose_leaf,"[""connected_information""]",general,1.0,[],1.0,[]
IFRS_S1_24_C01,IFRS S1,24,10,General Requirements,Connected information,Connected information,auto_toc_body_range,,1,,0,,True,"When currency is specified as the unit of measure in the sustainability-related financial disclosures, the entity…","When currency is specified as the unit of measure in the sustainability-related financial disclosures, the entity shall use the presentation currency of its related financial statements.","When currency is specified as the unit of measure in the sustainability-related financial disclosures, the entity shall use the presentation currency of its related financial statements.",,"When currency is specified as the unit of measure in the sustainability-related financial disclosures, the entity shall use the presentation currency of its related financial statements.",mandatory,True,must_disclose_leaf,"[""connected_information""]",general,1.0,[],1.0,[]
IFRS_S1_25_C01,IFRS S1,25,10,General Requirements,CORE CONTENT,Core content,auto_toc_body_range,,1,(a),1,(a),True,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall…","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about — (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27)","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about — (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27)","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27); (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42); (c) risk management—the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities (see paragraphs 43–44); and (d) metrics and targets—the entity’s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law or regulation (see paragraphs 45–53).",mandatory,True,must_disclose_leaf,[],general,1.0,[],1.0,[]
IFRS_S1_25_C02,IFRS S1,25,10,General Requirements,CORE CONTENT,Core content,auto_toc_body_range,,2,(b),1,(b),True,"Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall…","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about — (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42)","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about — (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42)","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about","Unless another IFRS Sustainability Disclosure Standard permits or requires otherwise in specified circumstances, an entity shall provide disclosures about: (a) governance—the governance processes, controls and procedures the entity uses to monitor and manage sustainability-related risks and opportunities (see paragraphs 26–27); (b) strategy—the approach the entity uses to manage sustainability-related risks and opportunities (see paragraphs 28–42); (c) risk management—the processes the entity uses to identify, assess, prioritise and monitor sustainability-related risks and opportunities (see paragraphs 43–44); and (d) metrics and targets—the entity’s performance in relation to sustainability-related risks and opportunities, including progress towards any targets the entity has set or is required to meet by law or regulation (see paragraphs 45–53).",mandatory,True,must_disclose_leaf,[],general,1.0,[],1.0,[]
