investment_id,bank_id,asset_class,issuer_name,nace_code,country,nominal_amount_meur,market_value_meur,currency,esg_classification,purchase_date,issuer_revenue_meur,issuer_evic_meur,ppp_gdp_meur,pcaf_data_quality_score,counterparty_id,reporting_year
INV00043,BANK01,corporate_bond,Water 43,H50,FR,482.17,526.32,EUR,article_6,2022-04-12,4718.2,,,3,,2024
INV00044,BANK01,fund,Manufacture 44,C22,DE,390.76,356.96,EUR,article_8,2019-02-19,,,,5,,2024
INV00045,BANK01,corporate_bond,Residential 45,Q87,FI,186.84,187.78,EUR,article_8,2020-11-28,950.2,,,4,,2024
INV00046,BANK01,fund,Management 46,M70,PT,24.53,23.16,EUR,article_8,2024-06-10,,,,5,,2024
INV00047,BANK01,sovereign_bond,Sovereign 47,O84,ES,1502.99,1495.77,EUR,article_8,2019-09-23,,,2320000,3,,2024
INV00048,BANK01,corporate_bond,Manufacture 48,C28,FR,32.82,33.89,EUR,article_9,2020-05-04,298.7,,,3,,2024
INV00049,BANK01,sovereign_bond,Sovereign 49,O84,ES,77.85,87.49,EUR,not_applicable,2024-11-16,,,2320000,3,,2024
INV00050,BANK01,fund,Air 50,H51,DE,81.08,84.15,EUR,not_applicable,2024-09-09,,,,5,,2024
INV00051,BANK01,listed_equity,Publishing 51,J58,PT,2535.95,2564.65,EUR,article_6,2019-08-18,23609.3,54956.7,,2,,2024
INV00052,BANK01,corporate_bond,Wholesale 52,G46,FR,41.68,44.67,EUR,article_9,2021-09-30,425.0,,,3,,2024
INV00053,BANK01,corporate_bond,Human 53,Q86,DE,138.09,142.61,EUR,article_8,2020-01-10,1219.7,,,4,,2024
INV00054,BANK01,etf,Residential 54,Q87,DE,1193.25,1337.56,EUR,article_8,2019-09-07,,,,5,,2024
INV00055,BANK01,listed_equity,Manufacture 55,C13,NL,291.2,288.08,EUR,article_8,2019-07-29,3368.1,4373.5,,2,,2024
INV00056,BANK01,corporate_bond,Real 56,L68,ES,15.23,14.96,EUR,article_8,2020-02-14,68.7,,,4,,2024
INV00057,BANK01,sovereign_bond,Sovereign 57,O84,ES,34.47,35.19,EUR,article_8,2020-04-01,,,2320000,3,,2024
INV00058,BANK01,etf,Water 58,H50,FR,877.99,958.53,EUR,article_8,2024-02-12,,,,5,,2024
INV00059,BANK01,fund,Manufacture 59,C22,NL,769.84,768.13,EUR,article_6,2024-09-08,,,,5,,2024
INV00060,BANK01,corporate_bond,Manufacture 60,C27,IT,2391.05,2654.49,EUR,article_6,2022-02-01,17836.3,,,3,,2024
INV00061,BANK02,sovereign_bond,Sovereign 61,O84,BE,180.99,159.89,EUR,not_applicable,2021-01-16,,,680000,3,,2024
INV00062,BANK02,corporate_bond,Manufacture 62,C29,ES,1711.66,1709.5,EUR,article_6,2023-11-05,11445.0,,,3,,2024
INV00063,BANK02,sovereign_bond,Sovereign 63,O84,FI,17.24,16.43,EUR,article_9,2021-01-18,,,500000,3,,2024
INV00064,BANK02,listed_equity,Manufacture 64,C17,FR,807.48,807.91,EUR,article_8,2024-12-12,1885.5,3614.7,,2,,2024
INV00065,BANK02,corporate_bond,Employment 65,N78,NL,56.25,57.45,EUR,article_6,2020-10-02,594.4,,,4,,2024
INV00066,BANK02,listed_equity,Civil 66,F42,PT,921.57,952.02,EUR,article_6,2024-10-16,7205.8,16310.4,,2,,2024
INV00067,BANK02,fund,Management 67,M70,IT,307.66,328.56,EUR,article_6,2021-12-12,,,,5,,2024
INV00068,BANK02,corporate_bond,Manufacture 68,C28,IT,84.52,90.27,EUR,not_applicable,2022-07-15,615.2,,,4,,2024
INV00069,BANK02,corporate_bond,Land 69,H49,IE,255.99,218.03,EUR,not_applicable,2019-08-15,858.0,,,3,,2024
INV00070,BANK02,fund,Water 70,E36,DE,411.61,406.29,EUR,article_8,2021-04-08,,,,5,,2024
INV00071,BANK02,listed_equity,Human 71,Q86,PT,43.63,37.4,EUR,article_8,2023-04-16,309.2,608.3,,2,,2024
INV00072,BANK02,corporate_bond,Publishing 72,J58,IE,703.95,728.78,EUR,article_8,2022-01-27,7368.2,,,4,,2024
INV00073,BANK02,listed_equity,Manufacture 73,C13,AT,25.18,28.52,EUR,article_8,2019-07-08,255.6,333.7,,2,,2024
INV00074,BANK02,etf,Construction 74,F41,LU,524.21,522.17,EUR,article_8,2023-03-17,,,,5,,2024
INV00075,BANK02,listed_equity,Extraction 75,B06,FR,397.26,381.7,EUR,not_applicable,2020-03-30,3966.8,6589.3,,2,,2024
INV00076,BANK02,corporate_bond,Mining 76,B07,IE,64.77,63.09,EUR,article_6,2020-09-08,311.6,,,4,,2024
INV00077,BANK02,sovereign_bond,Sovereign 77,O84,NL,272.41,267.36,EUR,article_8,2021-12-03,,,1120000,3,,2024
INV00078,BANK02,sovereign_bond,Sovereign 78,O84,BE,1104.78,985.62,EUR,not_applicable,2022-07-09,,,680000,3,,2024
INV00079,BANK02,fund,Waste 79,E38,ES,1831.3,2042.59,EUR,article_6,2024-04-02,,,,5,,2024
INV00080,BANK02,corporate_bond,Waste 80,E38,BE,68.0,72.16,EUR,article_8,2019-04-05,489.0,,,4,,2024
INV00081,BANK02,listed_equity,Management 81,M70,IT,106.4,105.96,EUR,article_6,2024-12-04,1084.6,2416.6,,2,,2024
INV00082,BANK02,listed_equity,Wholesale 82,G45,NL,85.84,98.6,EUR,not_applicable,2022-09-01,915.7,1455.6,,2,,2024
INV00083,BANK02,etf,Food 83,I56,IT,50.89,44.28,EUR,article_6,2020-01-13,,,,5,,2024
INV00084,BANK02,fund,Manufacture 84,C19,IE,213.5,235.68,EUR,article_6,2024-04-02,,,,5,,2024
INV00085,BANK02,sovereign_bond,Sovereign 85,O84,AT,3036.51,3279.84,EUR,article_8,2022-02-08,,,560000,3,,2024
INV00086,BANK02,corporate_bond,Manufacture 86,C23,DE,422.77,441.52,EUR,article_8,2024-12-01,2697.0,,,4,,2024
INV00087,BANK02,etf,Land 87,H49,IT,1672.99,1569.51,EUR,article_8,2023-05-17,,,,5,,2024
INV00088,BANK02,listed_equity,Manufacture 88,C11,FR,63.97,70.79,EUR,article_8,2022-08-30,240.6,674.8,,2,,2024
INV00089,BANK02,sovereign_bond,Sovereign 89,O84,FR,430.56,472.09,EUR,not_applicable,2020-09-17,,,3680000,3,,2024
INV00090,BANK02,listed_equity,Manufacture 90,C23,FR,32.76,28.1,EUR,article_8,2019-06-11,310.0,811.0,,2,,2024
INV00091,BANK02,etf,Retail 91,G47,DE,74.35,82.62,EUR,not_applicable,2021-05-05,,,,5,,2024
INV00092,BANK02,listed_equity,Manufacture 92,C24,FR,115.0,130.05,EUR,article_6,2022-12-26,541.0,1426.9,,2,,2024
INV00093,BANK02,listed_equity,Water 93,H50,LU,20.31,17.42,EUR,not_applicable,2021-05-04,186.3,539.7,,2,,2024
INV00094,BANK02,corporate_bond,Water 94,H50,FR,124.84,134.99,EUR,article_8,2020-05-25,312.7,,,3,,2024
INV00095,BANK02,listed_equity,"Electricity, 95",D35,NL,184.82,185.73,EUR,article_6,2021-05-08,1959.0,2900.1,,2,,2024
INV00096,BANK02,listed_equity,Food 96,I56,IT,710.57,816.17,EUR,article_8,2021-05-11,5159.0,10129.4,,2,,2024
INV00097,BANK02,fund,Wholesale 97,G45,FR,79.37,70.13,EUR,article_8,2019-01-30,,,,5,,2024
INV00098,BANK02,corporate_bond,Specialised 98,F43,FI,100.18,95.81,EUR,not_applicable,2019-09-25,927.9,,,4,,2024
INV00099,BANK02,corporate_bond,Management 99,M70,PL,56.46,49.42,EUR,article_8,2023-05-16,592.6,,,3,,2024
INV00100,BANK02,fund,Forestry 100,A02,FR,2389.31,2494.94,EUR,article_8,2020-07-30,,,,5,,2024
INV00101,BANK02,etf,"Electricity, 101",D35,DE,257.9,231.27,EUR,article_9,2019-06-09,,,,5,,2024
INV00102,BANK02,listed_equity,Manufacture 102,C10,BE,1465.08,1408.69,EUR,article_8,2020-10-07,3771.6,5748.4,,2,,2024
INV00103,BANK02,corporate_bond,"Electricity, 103",D35,PL,2191.44,2350.52,EUR,not_applicable,2021-01-13,8948.9,,,4,,2024
INV00104,BANK02,corporate_bond,Manufacture 104,C19,DE,925.53,843.36,EUR,article_8,2023-03-09,2573.6,,,4,,2024
INV00105,BANK02,fund,Manufacture 105,C22,DE,358.74,307.71,EUR,article_6,2024-04-11,,,,5,,2024
INV00106,BANK02,listed_equity,Manufacture 106,C23,DE,1922.84,1851.91,EUR,article_8,2024-11-21,12107.4,18062.9,,2,,2024
INV00107,BANK02,listed_equity,Manufacture 107,C17,FI,10.9,9.57,EUR,not_applicable,2020-04-05,115.8,318.6,,2,,2024
INV00108,BANK02,fund,Warehousing 108,H52,PT,2873.57,2905.23,EUR,article_6,2019-01-03,,,,5,,2024
INV00109,BANK02,corporate_bond,Accommodation 109,I55,FR,1773.67,1679.42,EUR,article_8,2020-01-30,10335.3,,,4,,2024
INV00110,BANK02,corporate_bond,Computer 110,J62,FR,30.95,27.51,EUR,not_applicable,2021-07-12,296.7,,,3,,2024
INV00111,BANK03,sovereign_bond,Sovereign 111,O84,AT,721.05,673.96,EUR,article_8,2021-10-20,,,560000,3,,2024
INV00112,BANK03,corporate_bond,"Electricity, 112",D35,IT,668.46,710.67,EUR,article_8,2024-10-30,4331.0,,,4,,2024
INV00113,BANK03,sovereign_bond,Sovereign 113,O84,FR,2945.15,3298.15,EUR,article_8,2023-03-16,,,3680000,3,,2024
INV00114,BANK03,sovereign_bond,Sovereign 114,O84,LU,280.82,241.58,EUR,not_applicable,2023-04-27,,,80000,3,,2024
INV00115,BANK03,sovereign_bond,Sovereign 115,O84,PL,967.14,826.22,EUR,article_8,2021-09-01,,,1400000,3,,2024
INV00116,BANK03,listed_equity,Manufacture 116,C29,ES,10.7,11.85,EUR,article_6,2023-07-20,87.7,243.0,,2,,2024
INV00117,BANK03,corporate_bond,Manufacture 117,C10,FR,135.83,133.38,EUR,article_9,2024-10-08,1611.9,,,4,,2024
INV00118,BANK03,fund,Manufacture 118,C30,FR,3102.52,2954.51,EUR,not_applicable,2024-02-13,,,,5,,2024
INV00119,BANK03,sovereign_bond,Sovereign 119,O84,IT,467.77,470.45,EUR,article_6,2023-02-05,,,3020000,3,,2024
INV00120,BANK03,corporate_bond,Forestry 120,A02,DE,2581.57,2370.24,EUR,article_8,2020-03-31,15217.7,,,3,,2024
INV00121,BANK03,listed_equity,Human 121,Q86,FI,54.86,51.68,EUR,article_8,2019-12-06,359.5,660.5,,2,,2024
INV00122,BANK03,fund,Wholesale 122,G45,PT,28.61,31.92,EUR,article_8,2020-08-03,,,,5,,2024
INV00123,BANK03,etf,Manufacture 123,C11,FR,870.52,934.4,EUR,article_8,2020-09-13,,,,5,,2024
INV00124,BANK03,sovereign_bond,Sovereign 124,O84,DE,212.03,214.14,EUR,article_8,2024-12-14,,,4580000,3,,2024
INV00125,BANK03,listed_equity,Manufacture 125,C24,FR,17.8,18.52,EUR,article_8,2020-09-14,130.0,227.1,,2,,2024
INV00126,BANK03,sovereign_bond,Sovereign 126,O84,IT,2442.45,2224.24,EUR,article_6,2023-06-30,,,3020000,3,,2024
INV00127,BANK03,corporate_bond,Wholesale 127,G46,FI,2691.67,2665.83,EUR,article_6,2022-05-13,29685.4,,,3,,2024
INV00128,BANK03,listed_equity,Manufacture 128,C22,BE,590.0,538.45,EUR,article_9,2019-10-01,3499.8,4825.6,,2,,2024
INV00129,BANK03,listed_equity,Specialised 129,F43,ES,22.43,20.14,EUR,not_applicable,2021-09-20,97.5,125.6,,2,,2024
INV00130,BANK03,corporate_bond,Manufacture 130,C24,IT,412.3,374.37,EUR,not_applicable,2019-10-16,4769.0,,,4,,2024
INV00131,BANK03,corporate_bond,Manufacture 131,C25,IT,22.44,23.96,EUR,article_8,2020-09-13,69.9,,,3,,2024
INV00132,BANK03,listed_equity,Manufacture 132,C23,AT,479.29,408.94,EUR,article_6,2022-06-28,2761.3,4881.9,,2,,2024
INV00133,BANK03,sovereign_bond,Sovereign 133,O84,NL,849.46,781.21,EUR,article_8,2020-05-26,,,1120000,3,,2024
INV00134,BANK03,sovereign_bond,Sovereign 134,O84,FR,335.03,373.25,EUR,not_applicable,2022-10-30,,,3680000,3,,2024
INV00135,BANK03,fund,Mining 135,B05,FI,89.9,79.46,EUR,article_8,2020-11-20,,,,5,,2024
INV00136,BANK03,fund,Education 136,P85,ES,1458.03,1366.66,EUR,article_8,2019-12-29,,,,5,,2024
INV00137,BANK03,fund,Financial 137,K64,FI,2508.05,2313.39,EUR,not_applicable,2024-07-18,,,,5,,2024
INV00138,BANK03,etf,Land 138,H49,BE,113.29,125.7,EUR,article_8,2022-02-03,,,,5,,2024
INV00139,BANK03,fund,Real 139,L68,IT,186.02,204.79,EUR,not_applicable,2019-12-07,,,,5,,2024
INV00140,BANK03,listed_equity,Human 140,Q86,FR,1035.09,1033.53,EUR,article_8,2021-12-24,4182.4,8782.4,,2,,2024
INV00141,BANK04,listed_equity,Human 141,Q86,NL,165.83,169.09,EUR,article_9,2023-04-17,1447.8,2397.5,,2,,2024
INV00142,BANK04,listed_equity,Manufacture 142,C17,IE,299.13,339.88,EUR,article_9,2020-04-26,3403.2,4601.3,,2,,2024
INV00143,BANK04,fund,Manufacture 143,C13,BE,79.75,89.41,EUR,article_9,2023-06-01,,,,5,,2024
INV00144,BANK04,etf,Mining 144,B05,IE,73.83,81.63,EUR,article_9,2024-11-11,,,,5,,2024
INV00145,BANK04,listed_equity,Civil 145,F42,BE,1078.7,1168.54,EUR,article_9,2019-04-16,11442.2,20504.1,,2,,2024
INV00146,BANK04,corporate_bond,"Electricity, 146",D35,LU,11.49,10.11,EUR,not_applicable,2019-04-27,27.6,,,3,,2024
INV00147,BANK04,etf,Manufacture 147,C22,BE,78.79,75.3,EUR,not_applicable,2022-02-07,,,,5,,2024
INV00148,BANK04,corporate_bond,Extraction 148,B06,BE,64.76,67.38,EUR,article_9,2020-10-19,400.5,,,3,,2024
INV00149,BANK04,listed_equity,Publishing 149,J58,AT,417.56,449.29,EUR,article_9,2020-12-05,1671.0,2015.8,,2,,2024
INV00150,BANK04,etf,Other 150,B08,NL,68.3,73.21,EUR,article_9,2021-07-21,,,,5,,2024
INV00151,BANK04,corporate_bond,Manufacture 151,C28,AT,17.92,18.67,EUR,article_8,2024-07-29,153.8,,,3,,2024
INV00152,BANK04,sovereign_bond,Sovereign 152,O84,FR,778.77,861.94,EUR,article_9,2022-10-12,,,3680000,3,,2024
INV00153,BANK04,etf,Waste 153,E38,PL,770.77,729.79,EUR,article_8,2022-06-25,,,,5,,2024
INV00154,BANK04,fund,Education 154,P85,IT,403.43,410.68,EUR,article_8,2019-11-08,,,,5,,2024
INV00155,BANK04,listed_equity,Other 155,B08,LU,601.4,630.84,EUR,article_9,2020-08-20,2731.9,4443.0,,2,,2024
INV00156,BANK04,etf,Retail 156,G47,DE,76.65,74.01,EUR,article_9,2022-04-18,,,,5,,2024
INV00157,BANK04,sovereign_bond,Sovereign 157,O84,IT,2672.16,2451.57,EUR,article_9,2021-10-04,,,3020000,3,,2024
INV00158,BANK04,sovereign_bond,Sovereign 158,O84,FR,466.45,465.68,EUR,article_9,2021-06-15,,,3680000,3,,2024
INV00159,BANK04,corporate_bond,Manufacture 159,C11,PT,126.15,112.73,EUR,article_8,2019-03-27,255.1,,,3,,2024
INV00160,BANK04,fund,Accommodation 160,I55,IT,1244.02,1263.14,EUR,article_9,2023-08-16,,,,5,,2024
INV00161,BANK05,listed_equity,Wholesale 161,G46,BE,283.3,316.33,EUR,not_applicable,2021-12-07,2137.9,3998.9,,2,,2024
INV00162,BANK05,sovereign_bond,Sovereign 162,O84,IE,2849.64,2647.51,EUR,article_8,2021-08-19,,,520000,3,,2024
INV00163,BANK05,corporate_bond,Water 163,E36,BE,15.58,14.75,EUR,not_applicable,2021-10-08,136.7,,,3,,2024
INV00164,BANK05,etf,Information 164,J63,PL,20.99,22.78,EUR,article_8,2024-05-02,,,,5,,2024
INV00165,BANK05,sovereign_bond,Sovereign 165,O84,PT,18.28,16.79,EUR,article_8,2021-07-06,,,390000,3,,2024
INV00166,BANK05,corporate_bond,Computer 166,J62,ES,1234.62,1211.61,EUR,article_8,2019-09-22,10881.3,,,3,,2024
INV00167,BANK05,fund,Manufacture 167,C24,ES,11.36,11.87,EUR,not_applicable,2024-05-06,,,,5,,2024
INV00168,BANK05,fund,Manufacture 168,C23,IT,14.44,16.41,EUR,article_8,2021-10-29,,,,5,,2024
INV00169,BANK05,fund,Residential 169,Q87,NL,11.72,11.48,EUR,not_applicable,2020-06-30,,,,5,,2024
INV00170,BANK05,fund,Manufacture 170,C10,IT,451.34,478.04,EUR,article_8,2021-08-10,,,,5,,2024
INV00171,BANK05,sovereign_bond,Sovereign 171,O84,LU,1548.54,1383.26,EUR,article_8,2022-07-12,,,80000,3,,2024
INV00172,BANK05,fund,Insurance 172,K65,AT,13.57,13.93,EUR,not_applicable,2019-10-18,,,,5,,2024
INV00173,BANK05,sovereign_bond,Sovereign 173,O84,AT,211.07,225.8,EUR,article_6,2021-01-04,,,560000,3,,2024
INV00174,BANK05,etf,Forestry 174,A02,ES,420.26,372.29,EUR,article_6,2023-07-11,,,,5,,2024
INV00175,BANK05,sovereign_bond,Sovereign 175,O84,IT,2358.17,2292.78,EUR,article_9,2020-07-21,,,3020000,3,,2024
INV00176,BANK05,etf,"Electricity, 176",D35,IT,17.36,18.44,EUR,not_applicable,2024-08-08,,,,5,,2024
INV00177,BANK05,listed_equity,Manufacture 177,C22,FR,100.83,115.52,EUR,article_8,2022-10-23,278.4,559.8,,2,,2024
INV00178,BANK05,corporate_bond,Manufacture 178,C17,DE,204.02,210.52,EUR,not_applicable,2019-08-31,614.8,,,3,,2024
INV00179,BANK05,sovereign_bond,Sovereign 179,O84,DE,17.33,19.85,EUR,article_6,2022-08-31,,,4580000,3,,2024
INV00180,BANK05,corporate_bond,Forestry 180,A02,NL,1000.22,962.66,EUR,article_6,2020-12-07,5171.5,,,4,,2024
INV00181,BANK05,listed_equity,Insurance 181,K65,NL,176.0,201.12,EUR,article_6,2020-09-25,2037.3,5289.1,,2,,2024
INV00182,BANK05,sovereign_bond,Sovereign 182,O84,FI,272.25,289.11,EUR,not_applicable,2020-12-28,,,500000,3,,2024
INV00183,BANK05,sovereign_bond,Sovereign 183,O84,ES,1086.18,1125.96,EUR,not_applicable,2020-05-07,,,2320000,3,,2024
INV00184,BANK05,etf,Manufacture 184,C28,DE,2175.61,2295.07,EUR,article_8,2020-11-16,,,,5,,2024
INV00185,BANK05,fund,Food 185,I56,FR,30.4,31.43,EUR,article_8,2024-02-06,,,,5,,2024
